Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	67	36.21621621621622	4.442669543745828E-5	ENSG00000071894, ENSG00000099622, ENSG00000198026, ENSG00000104824, ENSG00000133422, ENSG00000025434, ENSG00000196923, ENSG00000100867, ENSG00000101158, ENSG00000221978, ENSG00000140400, ENSG00000183258, ENSG00000142546, ENSG00000141456, ENSG00000072778, ENSG00000087087, ENSG00000126456, ENSG00000087191, ENSG00000179950, ENSG00000182944, ENSG00000140829, ENSG00000104852, ENSG00000096746, ENSG00000170581, ENSG00000196235, ENSG00000112511, ENSG00000132780, ENSG00000204463, ENSG00000283189, ENSG00000131652, ENSG00000188130, ENSG00000100813, ENSG00000165792, ENSG00000188976, ENSG00000167978, ENSG00000186635, ENSG00000108773, ENSG00000076924, ENSG00000104960, ENSG00000182979, ENSG00000148341, ENSG00000198563, ENSG00000008838, ENSG00000094631, ENSG00000171163, ENSG00000012817, ENSG00000104529, ENSG00000204371, ENSG00000144028, ENSG00000102901, ENSG00000183431, ENSG00000142208, ENSG00000169727, ENSG00000160633, ENSG00000127445, ENSG00000160957, ENSG00000127054, ENSG00000145020, ENSG00000104518, ENSG00000155229, ENSG00000140451, ENSG00000009950, ENSG00000169696, ENSG00000100911, ENSG00000187741, ENSG00000185122, ENSG00000123136	180	2643	11171	1.5732479926010006	0.014160075590669341	0.014260969235424109	0.014216542539986651
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	17	9.18918918918919	1.7667436706335214E-4	ENSG00000087191, ENSG00000160957, ENSG00000140829, ENSG00000198563, ENSG00000105726, ENSG00000204351, ENSG00000064687, ENSG00000074582, ENSG00000133422, ENSG00000119688, ENSG00000144028, ENSG00000140451, ENSG00000100813, ENSG00000123136, ENSG00000183258, ENSG00000167702, ENSG00000278259	177	345	10709	2.981298616228609	0.0616275976111913	0.06377944650987012	0.06342609777574341
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	10	5.405405405405405	2.389542282948302E-4	ENSG00000076924, ENSG00000144028, ENSG00000140829, ENSG00000104852, ENSG00000096746, ENSG00000198563, ENSG00000183431, ENSG00000123136, ENSG00000183258, ENSG00000167978	173	129	10635	4.765425460411345	0.2518300327227374	0.289851478921629	0.289851478921629
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	8	4.324324324324325	7.643885896359886E-4	ENSG00000144028, ENSG00000140829, ENSG00000104852, ENSG00000096746, ENSG00000198563, ENSG00000099622, ENSG00000183431, ENSG00000183258	180	94	11171	5.281796690307329	0.2176574286806262	0.12268436863657618	0.12230217434175819
GOTERM_MF_DIRECT	GO:0005515~protein binding	147	79.45945945945945	0.001150597700926393	ENSG00000071894, ENSG00000068120, ENSG00000197530, ENSG00000104824, ENSG00000117616, ENSG00000104946, ENSG00000138834, ENSG00000133422, ENSG00000173327, ENSG00000100867, ENSG00000215041, ENSG00000101158, ENSG00000103335, ENSG00000221978, ENSG00000142546, ENSG00000183258, ENSG00000141456, ENSG00000126456, ENSG00000108465, ENSG00000179950, ENSG00000182944, ENSG00000160813, ENSG00000141959, ENSG00000115307, ENSG00000170581, ENSG00000110011, ENSG00000204305, ENSG00000188130, ENSG00000164062, ENSG00000165792, ENSG00000167615, ENSG00000167978, ENSG00000186635, ENSG00000076924, ENSG00000105655, ENSG00000182979, ENSG00000161999, ENSG00000148341, ENSG00000008838, ENSG00000094631, ENSG00000215305, ENSG00000160948, ENSG00000171163, ENSG00000074582, ENSG00000100918, ENSG00000249115, ENSG00000115211, ENSG00000204371, ENSG00000144028, ENSG00000229117, ENSG00000204410, ENSG00000183431, ENSG00000125503, ENSG00000141556, ENSG00000140983, ENSG00000142765, ENSG00000160957, ENSG00000241404, ENSG00000160318, ENSG00000108479, ENSG00000104835, ENSG00000100911, ENSG00000187741, ENSG00000160282, ENSG00000076928, ENSG00000125991, ENSG00000165458, ENSG00000090539, ENSG00000213983, ENSG00000101194, ENSG00000099622, ENSG00000213347, ENSG00000198026, ENSG00000111674, ENSG00000204351, ENSG00000025434, ENSG00000196405, ENSG00000196923, ENSG00000197969, ENSG00000119688, ENSG00000061656, ENSG00000168056, ENSG00000087088, ENSG00000140688, ENSG00000164896, ENSG00000101199, ENSG00000072778, ENSG00000185359, ENSG00000188747, ENSG00000087087, ENSG00000087191, ENSG00000140829, ENSG00000104852, ENSG00000096746, ENSG00000105426, ENSG00000144591, ENSG00000196235, ENSG00000132780, ENSG00000112511, ENSG00000173531, ENSG00000204463, ENSG00000132024, ENSG00000283189, ENSG00000141002, ENSG00000100813, ENSG00000188976, ENSG00000141524, ENSG00000108773, ENSG00000092098, ENSG00000104522, ENSG00000198563, ENSG00000012817, ENSG00000152767, ENSG00000104529, ENSG00000177106, ENSG00000078061, ENSG00000092929, ENSG00000120896, ENSG00000102901, ENSG00000125149, ENSG00000142208, ENSG00000169727, ENSG00000160633, ENSG00000185813, ENSG00000127445, ENSG00000127054, ENSG00000126001, ENSG00000213398, ENSG00000155463, ENSG00000124181, ENSG00000106538, ENSG00000135596, ENSG00000074276, ENSG00000104518, ENSG00000175455, ENSG00000104915, ENSG00000155229, ENSG00000137411, ENSG00000114270, ENSG00000169696, ENSG00000168000, ENSG00000185122, ENSG00000123136, ENSG00000163516, ENSG00000142798, ENSG00000100031, ENSG00000126522	177	7812	10709	1.138494016159407	0.33929884565519797	0.19500648441113175	0.19392611607644403
GOTERM_BP_DIRECT	GO:0045861~negative regulation of proteolysis	4	2.1621621621621623	0.0013270976424556075	ENSG00000094631, ENSG00000142208, ENSG00000204463, ENSG00000025434	173	14	10635	17.563996696944674	0.8005449788381289	0.7036713998531734	0.7036713998531734
GOTERM_BP_DIRECT	GO:0043484~regulation of RNA splicing	6	3.2432432432432434	0.0017403249790268098	ENSG00000104852, ENSG00000096746, ENSG00000104824, ENSG00000221978, ENSG00000164896, ENSG00000108773	173	54	10635	6.830443159922928	0.8793178561442467	0.7036713998531734	0.7036713998531734
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	6	3.2432432432432434	0.002567740862957248	ENSG00000144028, ENSG00000140829, ENSG00000198563, ENSG00000204351, ENSG00000123136, ENSG00000183258	177	58	10709	6.258912916423145	0.6036967345334492	0.19500648441113175	0.19392611607644403
GOTERM_MF_DIRECT	GO:0003779~actin binding	12	6.486486486486487	0.002616137888641026	ENSG00000266714, ENSG00000197530, ENSG00000215305, ENSG00000094631, ENSG00000198467, ENSG00000135596, ENSG00000177106, ENSG00000183963, ENSG00000196405, ENSG00000278259, ENSG00000165458, ENSG00000196923	177	248	10709	2.927556041552761	0.6105593284223476	0.19500648441113175	0.19392611607644403
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	11	5.9459459459459465	0.002700920836719276	ENSG00000071894, ENSG00000160957, ENSG00000144028, ENSG00000140829, ENSG00000100813, ENSG00000104852, ENSG00000198563, ENSG00000099622, ENSG00000123136, ENSG00000183258, ENSG00000087087	177	213	10709	3.1245590302644493	0.6222969467886958	0.19500648441113175	0.19392611607644403
