Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0071716~leukotriene transport	3	1.89873417721519	0.0026353893447394034	ENSG00000091262, ENSG00000108846, ENSG00000124574	145	6	10635	36.67241379310345	0.9270336681473802	1.0	1.0
GOTERM_BP_DIRECT	GO:0006413~translational initiation	5	3.1645569620253164	0.002874949440600225	ENSG00000145191, ENSG00000114867, ENSG00000110321, ENSG00000242372, ENSG00000115211	145	44	10635	8.334639498432601	0.9425050019445217	1.0	1.0
GOTERM_MF_DIRECT	GO:0003743~translation initiation factor activity	5	3.1645569620253164	0.0030211114801550103	ENSG00000145191, ENSG00000114867, ENSG00000110321, ENSG00000242372, ENSG00000115211	148	44	10709	8.222512285012286	0.6370913842430823	0.42072541618466697	0.42072541618466697
GOTERM_MF_DIRECT	GO:0005085~guanyl-nucleotide exchange factor activity	9	5.69620253164557	0.003344363596526706	ENSG00000145191, ENSG00000174791, ENSG00000100599, ENSG00000066777, ENSG00000104805, ENSG00000198837, ENSG00000237441, ENSG00000115211, ENSG00000090924	148	180	10709	3.6179054054054056	0.6744500721599116	0.42072541618466697	0.42072541618466697
GOTERM_MF_DIRECT	GO:0015431~glutathione S-conjugate-exporting ATPase activity	3	1.89873417721519	0.003756476930220241	ENSG00000091262, ENSG00000108846, ENSG00000124574	148	7	10709	31.01061776061776	0.7165697789600073	0.42072541618466697	0.42072541618466697
GOTERM_MF_DIRECT	GO:0043225~ATPase-coupled anion transmembrane transporter activity	3	1.89873417721519	0.006324601272009167	ENSG00000091262, ENSG00000108846, ENSG00000124574	148	9	10709	24.11936936936937	0.8806231411117961	0.53126650684877	0.53126650684877
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	49	31.0126582278481	0.007907566746784767	ENSG00000071894, ENSG00000091262, ENSG00000108424, ENSG00000175221, ENSG00000166908, ENSG00000196923, ENSG00000156304, ENSG00000171858, ENSG00000126457, ENSG00000149532, ENSG00000277258, ENSG00000197122, ENSG00000239306, ENSG00000175634, ENSG00000154832, ENSG00000204469, ENSG00000165792, ENSG00000063244, ENSG00000184216, ENSG00000167978, ENSG00000148677, ENSG00000161956, ENSG00000171163, ENSG00000143409, ENSG00000068745, ENSG00000162298, ENSG00000082258, ENSG00000109332, ENSG00000165804, ENSG00000160799, ENSG00000163466, ENSG00000105204, ENSG00000108557, ENSG00000212864, ENSG00000270647, ENSG00000196497, ENSG00000213639, ENSG00000066777, ENSG00000242372, ENSG00000198837, ENSG00000204569, ENSG00000009950, ENSG00000010295, ENSG00000169696, ENSG00000184634, ENSG00000204209, ENSG00000143442, ENSG00000123297, ENSG00000166987	148	2643	11171	1.3993593479972595	0.8818251874624589	1.0	1.0
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	8	5.063291139240507	0.008655262014640487	ENSG00000168488, ENSG00000239306, ENSG00000114867, ENSG00000110321, ENSG00000149532, ENSG00000179218, ENSG00000167978, ENSG00000070756	148	169	10709	3.4252358867743484	0.9456403796575036	0.5816336073838407	0.5816336073838407
GOTERM_BP_DIRECT	GO:0070528~protein kinase C signaling	3	1.89873417721519	0.00924316568225069	ENSG00000225697, ENSG00000137312, ENSG00000148677	145	11	10635	20.003134796238243	0.9999001518094047	1.0	1.0
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	8	5.063291139240507	0.012088145518243176	ENSG00000132677, ENSG00000091262, ENSG00000139540, ENSG00000225697, ENSG00000108846, ENSG00000137312, ENSG00000124574, ENSG00000158887	148	188	11171	3.2119033927544565	0.9620514717298395	1.0	1.0
