Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	11	2.7160493827160495	1.8941539605821217E-4	ENSG00000197728, ENSG00000171858, ENSG00000229117, ENSG00000110700, ENSG00000112306, ENSG00000172809, ENSG00000105372, ENSG00000171863, ENSG00000167526, ENSG00000162244, ENSG00000130255	368	73	10635	4.354712626563431	0.3261711116702549	0.39455226998925597	0.39455226998925597
GOTERM_MF_DIRECT	GO:0003723~RNA binding	58	14.320987654320987	3.273123770463251E-4	ENSG00000103495, ENSG00000177885, ENSG00000178252, ENSG00000099622, ENSG00000114867, ENSG00000110700, ENSG00000204351, ENSG00000115677, ENSG00000120948, ENSG00000171863, ENSG00000169062, ENSG00000104907, ENSG00000197728, ENSG00000171858, ENSG00000116560, ENSG00000126457, ENSG00000149532, ENSG00000144045, ENSG00000143793, ENSG00000183258, ENSG00000167526, ENSG00000122257, ENSG00000239306, ENSG00000132507, ENSG00000170144, ENSG00000169710, ENSG00000086504, ENSG00000182196, ENSG00000102317, ENSG00000141526, ENSG00000162244, ENSG00000167978, ENSG00000169957, ENSG00000089280, ENSG00000185728, ENSG00000174231, ENSG00000197157, ENSG00000112306, ENSG00000130255, ENSG00000229117, ENSG00000100722, ENSG00000172809, ENSG00000162613, ENSG00000105372, ENSG00000101361, ENSG00000105202, ENSG00000105323, ENSG00000132603, ENSG00000270647, ENSG00000197102, ENSG00000132361, ENSG00000204569, ENSG00000168488, ENSG00000011304, ENSG00000007376, ENSG00000125835, ENSG00000164924, ENSG00000143321	379	1024	10709	1.6004339132585752	0.20166564442678792	0.20422303926076604	0.20422303926076604
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	163	40.24691358024691	4.2701158825902464E-4	ENSG00000177885, ENSG00000110700, ENSG00000114867, ENSG00000169220, ENSG00000157870, ENSG00000204673, ENSG00000115677, ENSG00000169062, ENSG00000148925, ENSG00000126457, ENSG00000215041, ENSG00000183773, ENSG00000179262, ENSG00000273611, ENSG00000214078, ENSG00000140365, ENSG00000182600, ENSG00000197122, ENSG00000141959, ENSG00000239306, ENSG00000132507, ENSG00000133275, ENSG00000158552, ENSG00000171552, ENSG00000038382, ENSG00000174307, ENSG00000086504, ENSG00000165795, ENSG00000011009, ENSG00000168385, ENSG00000158792, ENSG00000103326, ENSG00000089280, ENSG00000105655, ENSG00000185728, ENSG00000215305, ENSG00000197157, ENSG00000204099, ENSG00000263020, ENSG00000008710, ENSG00000131584, ENSG00000131069, ENSG00000130255, ENSG00000115694, ENSG00000229117, ENSG00000172809, ENSG00000162613, ENSG00000105372, ENSG00000149311, ENSG00000100243, ENSG00000184009, ENSG00000176170, ENSG00000102890, ENSG00000105401, ENSG00000099875, ENSG00000130822, ENSG00000134905, ENSG00000111640, ENSG00000136883, ENSG00000213639, ENSG00000111642, ENSG00000001631, ENSG00000198758, ENSG00000100908, ENSG00000137171, ENSG00000162980, ENSG00000204520, ENSG00000160282, ENSG00000139197, ENSG00000166946, ENSG00000164924, ENSG00000122126, ENSG00000143321, ENSG00000183207, ENSG00000099901, ENSG00000177169, ENSG00000108788, ENSG00000137824, ENSG00000178252, ENSG00000106009, ENSG00000099622, ENSG00000073350, ENSG00000171863, ENSG00000177963, ENSG00000004975, ENSG00000025434, ENSG00000115355, ENSG00000141013, ENSG00000197728, ENSG00000171858, ENSG00000100429, ENSG00000115073, ENSG00000125967, ENSG00000084652, ENSG00000160058, ENSG00000187778, ENSG00000149499, ENSG00000149532, ENSG00000187017, ENSG00000134709, ENSG00000167526, ENSG00000128159, ENSG00000087191, ENSG00000102030, ENSG00000240972, ENSG00000125170, ENSG00000072310, ENSG00000204220, ENSG00000170144, ENSG00000112511, ENSG00000204463, ENSG00000138764, ENSG00000169710, ENSG00000102317, ENSG00000185189, ENSG00000141480, ENSG00000148399, ENSG00000141524, ENSG00000162244, ENSG00000149923, ENSG00000127511, ENSG00000158109, ENSG00000242802, ENSG00000104884, ENSG00000137802, ENSG00000112306, ENSG00000104529, ENSG00000177106, ENSG00000139546, ENSG00000120896, ENSG00000167543, ENSG00000100722, ENSG00000044090, ENSG00000165801, ENSG00000100288, ENSG00000169727, ENSG00000184205, ENSG00000167702, ENSG00000166337, ENSG00000185813, ENSG00000129355, ENSG00000101361, ENSG00000180089, ENSG00000124181, ENSG00000171097, ENSG00000270647, ENSG00000197102, ENSG00000132361, ENSG00000196655, ENSG00000110074, ENSG00000205250, ENSG00000213719, ENSG00000242372, ENSG00000115365, ENSG00000117266, ENSG00000088826, ENSG00000172977, ENSG00000009950, ENSG00000125835, ENSG00000169696, ENSG00000141504, ENSG00000182378, ENSG00000014216	389	3759	11171	1.2452533798916874	0.18501228003102677	0.2045385507760728	0.2045385507760728
GOTERM_MF_DIRECT	GO:0005515~protein binding	304	75.06172839506173	5.928099833403949E-4	ENSG00000115718, ENSG00000177885, ENSG00000110700, ENSG00000114867, ENSG00000169220, ENSG00000204673, ENSG00000245532, ENSG00000133142, ENSG00000204316, ENSG00000163249, ENSG00000179262, ENSG00000122257, ENSG00000146587, ENSG00000140365, ENSG00000107404, ENSG00000197122, ENSG00000239306, ENSG00000132507, ENSG00000130208, ENSG00000133275, ENSG00000158552, ENSG00000171552, ENSG00000165795, ENSG00000086504, ENSG00000168385, ENSG00000127837, ENSG00000158792, ENSG00000163251, ENSG00000167978, ENSG00000087152, ENSG00000076924, ENSG00000105135, ENSG00000185728, ENSG00000215305, ENSG00000103876, ENSG00000197157, ENSG00000204099, ENSG00000177426, ENSG00000013275, ENSG00000162613, ENSG00000102786, ENSG00000105372, ENSG00000163703, ENSG00000100243, ENSG00000147533, ENSG00000102890, ENSG00000241404, ENSG00000068078, ENSG00000172780, ENSG00000132604, ENSG00000132603, ENSG00000092841, ENSG00000153406, ENSG00000173511, ENSG00000114993, ENSG00000148290, ENSG00000100908, ENSG00000011304, ENSG00000137171, ENSG00000204520, ENSG00000162066, ENSG00000160685, ENSG00000164924, ENSG00000122126, ENSG00000090539, ENSG00000103495, ENSG00000183207, ENSG00000213983, ENSG00000155256, ENSG00000137824, ENSG00000099622, ENSG00000073350, ENSG00000111674, ENSG00000204351, ENSG00000154845, ENSG00000120948, ENSG00000004975, ENSG00000204592, ENSG00000104907, ENSG00000197858, ENSG00000197728, ENSG00000116560, ENSG00000100429, ENSG00000125967, ENSG00000136295, ENSG00000168056, ENSG00000149499, ENSG00000167526, ENSG00000185513, ENSG00000090924, ENSG00000087191, ENSG00000102030, ENSG00000073921, ENSG00000240972, ENSG00000177697, ENSG00000125170, ENSG00000204220, ENSG00000112511, ENSG00000204463, ENSG00000170144, ENSG00000173531, ENSG00000132386, ENSG00000060971, ENSG00000169710, ENSG00000163050, ENSG00000149809, ENSG00000054179, ENSG00000100897, ENSG00000126705, ENSG00000187244, ENSG00000141526, ENSG00000148399, ENSG00000141524, ENSG00000149923, ENSG00000169957, ENSG00000125730, ENSG00000101187, ENSG00000242802, ENSG00000095002, ENSG00000137802, ENSG00000112306, ENSG00000008517, ENSG00000177106, ENSG00000139546, ENSG00000167543, ENSG00000161202, ENSG00000141756, ENSG00000184205, ENSG00000166337, ENSG00000169727, ENSG00000167548, ENSG00000158856, ENSG00000197063, ENSG00000105202, ENSG00000105323, ENSG00000126001, ENSG00000180089, ENSG00000124181, ENSG00000006327, ENSG00000196655, ENSG00000104915, ENSG00000213719, ENSG00000242372, ENSG00000115365, ENSG00000204569, ENSG00000163870, ENSG00000114270, ENSG00000125835, ENSG00000102978, ENSG00000223501, ENSG00000167792, ENSG00000141505, ENSG00000141504, ENSG00000275023, ENSG00000124067, ENSG00000071894, ENSG00000101152, ENSG00000197774, ENSG00000168890, ENSG00000157870, ENSG00000115677, ENSG00000164050, ENSG00000169062, ENSG00000173327, ENSG00000067836, ENSG00000144567, ENSG00000148925, ENSG00000183010, ENSG00000141736, ENSG00000126457, ENSG00000215041, ENSG00000273611, ENSG00000214078, ENSG00000183258, ENSG00000213780, ENSG00000182600, ENSG00000164733, ENSG00000141959, ENSG00000038382, ENSG00000175756, ENSG00000124608, ENSG00000011009, ENSG00000103326, ENSG00000105063, ENSG00000089280, ENSG00000105655, ENSG00000171163, ENSG00000074582, ENSG00000263020, ENSG00000244187, ENSG00000008710, ENSG00000115694, ENSG00000229117, ENSG00000172809, ENSG00000149311, ENSG00000140983, ENSG00000184009, ENSG00000176170, ENSG00000105401, ENSG00000099875, ENSG00000092203, ENSG00000117748, ENSG00000111640, ENSG00000196576, ENSG00000213639, ENSG00000115207, ENSG00000111642, ENSG00000198758, ENSG00000001631, ENSG00000172943, ENSG00000176619, ENSG00000160282, ENSG00000082641, ENSG00000139197, ENSG00000188157, ENSG00000166946, ENSG00000072609, ENSG00000146830, ENSG00000163795, ENSG00000179588, ENSG00000172270, ENSG00000099901, ENSG00000177169, ENSG00000108788, ENSG00000106009, ENSG00000184939, ENSG00000178252, ENSG00000095787, ENSG00000196365, ENSG00000178814, ENSG00000115998, ENSG00000172037, ENSG00000171863, ENSG00000177963, ENSG00000025434, ENSG00000141013, ENSG00000166278, ENSG00000171858, ENSG00000115073, ENSG00000146826, ENSG00000138074, ENSG00000084652, ENSG00000162591, ENSG00000160058, ENSG00000187778, ENSG00000149532, ENSG00000134709, ENSG00000143793, ENSG00000164897, ENSG00000129255, ENSG00000161944, ENSG00000072310, ENSG00000110057, ENSG00000213339, ENSG00000156858, ENSG00000105707, ENSG00000114650, ENSG00000161395, ENSG00000185101, ENSG00000182196, ENSG00000102317, ENSG00000141480, ENSG00000100258, ENSG00000078403, ENSG00000109065, ENSG00000127511, ENSG00000104884, ENSG00000160867, ENSG00000132635, ENSG00000104522, ENSG00000113119, ENSG00000174233, ENSG00000104886, ENSG00000174231, ENSG00000104529, ENSG00000168591, ENSG00000157379, ENSG00000172732, ENSG00000092929, ENSG00000120896, ENSG00000143418, ENSG00000100722, ENSG00000044090, ENSG00000146247, ENSG00000185813, ENSG00000129355, ENSG00000101361, ENSG00000129473, ENSG00000197102, ENSG00000171097, ENSG00000270647, ENSG00000116857, ENSG00000104518, ENSG00000205250, ENSG00000117266, ENSG00000168488, ENSG00000172977, ENSG00000007376, ENSG00000119559, ENSG00000169696, ENSG00000140931, ENSG00000101246, ENSG00000167711, ENSG00000014216	379	7812	10709	1.0995653800998937	0.33500396854475767	0.20422303926076604	0.20422303926076604
GOTERM_CC_DIRECT	GO:0005840~ribosome	13	3.2098765432098766	8.647981140101958E-4	ENSG00000110700, ENSG00000171863, ENSG00000130255, ENSG00000175756, ENSG00000204316, ENSG00000197728, ENSG00000171858, ENSG00000229117, ENSG00000086504, ENSG00000172809, ENSG00000105372, ENSG00000162244, ENSG00000167526	389	119	11171	3.1371756928992673	0.3392749697300784	0.2071191483054419	0.2071191483054419
GOTERM_BP_DIRECT	GO:0045727~positive regulation of translation	9	2.2222222222222223	9.925203110301298E-4	ENSG00000185728, ENSG00000099622, ENSG00000102317, ENSG00000141736, ENSG00000196576, ENSG00000126457, ENSG00000169062, ENSG00000242372, ENSG00000139546	368	60	10635	4.33491847826087	0.8737434686263024	1.0	1.0
GOTERM_BP_DIRECT	GO:0001701~in utero embryonic development	13	3.2098765432098766	0.0021394776863226774	ENSG00000197063, ENSG00000104884, ENSG00000095002, ENSG00000132604, ENSG00000124181, ENSG00000171552, ENSG00000177963, ENSG00000169062, ENSG00000008710, ENSG00000126457, ENSG00000141756, ENSG00000122126, ENSG00000122257	368	133	10635	2.824758908139915	0.9884774342402254	1.0	1.0
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	12	2.9629629629629632	0.0027888635665996447	ENSG00000197728, ENSG00000171858, ENSG00000229117, ENSG00000086504, ENSG00000110700, ENSG00000112306, ENSG00000172809, ENSG00000105372, ENSG00000171863, ENSG00000167526, ENSG00000162244, ENSG00000130255	379	117	10709	2.8980447872268456	0.8536008770397098	0.6405089991290517	0.6405089991290517
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	9	2.2222222222222223	0.004358288041361314	ENSG00000171858, ENSG00000110700, ENSG00000112306, ENSG00000172809, ENSG00000105372, ENSG00000171863, ENSG00000167526, ENSG00000162244, ENSG00000130255	389	75	11171	3.4460668380462725	0.8765825117622441	0.6121695770566752	0.6121695770566752
GOTERM_BP_DIRECT	GO:0006412~translation	13	3.2098765432098766	0.005136608686277884	ENSG00000114867, ENSG00000110700, ENSG00000112306, ENSG00000171863, ENSG00000130255, ENSG00000197728, ENSG00000171858, ENSG00000229117, ENSG00000086504, ENSG00000172809, ENSG00000105372, ENSG00000162244, ENSG00000167526	368	148	10635	2.5384657755581665	0.9999781711904473	1.0	1.0
