Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	49	41.52542372881356	6.662521292720733E-20	ENSG00000092199, ENSG00000072501, ENSG00000181222, ENSG00000142937, ENSG00000114867, ENSG00000100029, ENSG00000149136, ENSG00000087365, ENSG00000143793, ENSG00000106682, ENSG00000141456, ENSG00000198492, ENSG00000113649, ENSG00000239306, ENSG00000047410, ENSG00000116754, ENSG00000064607, ENSG00000089737, ENSG00000182196, ENSG00000168066, ENSG00000188976, ENSG00000141367, ENSG00000163938, ENSG00000135387, ENSG00000229117, ENSG00000115053, ENSG00000145912, ENSG00000125944, ENSG00000161960, ENSG00000183431, ENSG00000106263, ENSG00000105373, ENSG00000105202, ENSG00000198231, ENSG00000092201, ENSG00000174243, ENSG00000067225, ENSG00000115524, ENSG00000116898, ENSG00000179218, ENSG00000071082, ENSG00000168488, ENSG00000114391, ENSG00000122406, ENSG00000123136, ENSG00000130816, ENSG00000108312, ENSG00000165733, ENSG00000187109	117	1024	10709	4.379849425747864	1.5523674612039308E-17	1.5590299824966516E-17	1.499067290862165E-17
GOTERM_MF_DIRECT	GO:0005515~protein binding	112	94.91525423728814	1.390023676103276E-10	ENSG00000092199, ENSG00000072501, ENSG00000181222, ENSG00000133706, ENSG00000142937, ENSG00000114867, ENSG00000151779, ENSG00000013810, ENSG00000123349, ENSG00000144848, ENSG00000165669, ENSG00000106682, ENSG00000141456, ENSG00000113649, ENSG00000239306, ENSG00000047410, ENSG00000198730, ENSG00000116754, ENSG00000172757, ENSG00000173209, ENSG00000089737, ENSG00000133030, ENSG00000221983, ENSG00000137076, ENSG00000121851, ENSG00000105655, ENSG00000182979, ENSG00000163938, ENSG00000135387, ENSG00000156802, ENSG00000204371, ENSG00000167863, ENSG00000167468, ENSG00000229117, ENSG00000115053, ENSG00000145912, ENSG00000061676, ENSG00000159593, ENSG00000183431, ENSG00000105373, ENSG00000160799, ENSG00000140983, ENSG00000167986, ENSG00000143575, ENSG00000038219, ENSG00000140740, ENSG00000160957, ENSG00000198231, ENSG00000105401, ENSG00000092201, ENSG00000111642, ENSG00000171456, ENSG00000179218, ENSG00000058272, ENSG00000071082, ENSG00000100239, ENSG00000122406, ENSG00000130816, ENSG00000164402, ENSG00000187109, ENSG00000178773, ENSG00000099901, ENSG00000022840, ENSG00000178814, ENSG00000162191, ENSG00000196923, ENSG00000100029, ENSG00000149136, ENSG00000087365, ENSG00000143793, ENSG00000184702, ENSG00000198492, ENSG00000147065, ENSG00000139613, ENSG00000132780, ENSG00000197448, ENSG00000009335, ENSG00000175826, ENSG00000116670, ENSG00000166164, ENSG00000143549, ENSG00000168066, ENSG00000182196, ENSG00000166165, ENSG00000188976, ENSG00000141367, ENSG00000166965, ENSG00000092010, ENSG00000154781, ENSG00000154305, ENSG00000125944, ENSG00000108561, ENSG00000161960, ENSG00000106263, ENSG00000184840, ENSG00000137818, ENSG00000105202, ENSG00000105723, ENSG00000174243, ENSG00000067225, ENSG00000134308, ENSG00000115524, ENSG00000122966, ENSG00000168488, ENSG00000164442, ENSG00000115241, ENSG00000114391, ENSG00000254505, ENSG00000123136, ENSG00000108312, ENSG00000275023, ENSG00000123374	117	7812	10709	1.3122568391385596	3.238755053036613E-8	1.6263277010408328E-8	1.5637766356161855E-8
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	57	48.30508474576271	5.6042574326684E-9	ENSG00000092199, ENSG00000072501, ENSG00000181222, ENSG00000142937, ENSG00000162191, ENSG00000196923, ENSG00000100029, ENSG00000149136, ENSG00000087365, ENSG00000141456, ENSG00000113649, ENSG00000239306, ENSG00000047410, ENSG00000198730, ENSG00000139613, ENSG00000132780, ENSG00000116754, ENSG00000064607, ENSG00000116670, ENSG00000166164, ENSG00000221983, ENSG00000168066, ENSG00000188976, ENSG00000121851, ENSG00000092010, ENSG00000182979, ENSG00000154781, ENSG00000156802, ENSG00000204371, ENSG00000115053, ENSG00000145912, ENSG00000125944, ENSG00000122034, ENSG00000183431, ENSG00000105373, ENSG00000160799, ENSG00000167986, ENSG00000038219, ENSG00000140740, ENSG00000160957, ENSG00000105202, ENSG00000198231, ENSG00000092201, ENSG00000174243, ENSG00000115524, ENSG00000116898, ENSG00000111642, ENSG00000171456, ENSG00000058272, ENSG00000164442, ENSG00000115241, ENSG00000122406, ENSG00000123136, ENSG00000130816, ENSG00000108312, ENSG00000123374, ENSG00000165733	117	2643	11171	2.059130552887647	1.490731359132802E-6	1.1785742955765879E-6	1.1076826086246127E-6
GOTERM_CC_DIRECT	GO:0005634~nucleus	68	57.6271186440678	8.861460868996902E-9	ENSG00000178773, ENSG00000099901, ENSG00000022840, ENSG00000092199, ENSG00000072501, ENSG00000181222, ENSG00000142937, ENSG00000114867, ENSG00000162191, ENSG00000123349, ENSG00000149136, ENSG00000087365, ENSG00000141456, ENSG00000198492, ENSG00000147065, ENSG00000113649, ENSG00000239306, ENSG00000047410, ENSG00000132780, ENSG00000116754, ENSG00000064607, ENSG00000172757, ENSG00000009335, ENSG00000116670, ENSG00000166164, ENSG00000182196, ENSG00000221983, ENSG00000168066, ENSG00000166165, ENSG00000188976, ENSG00000121851, ENSG00000182979, ENSG00000154781, ENSG00000163938, ENSG00000156802, ENSG00000204371, ENSG00000140264, ENSG00000167468, ENSG00000115053, ENSG00000159593, ENSG00000125944, ENSG00000122034, ENSG00000108561, ENSG00000183431, ENSG00000167986, ENSG00000160957, ENSG00000105202, ENSG00000198231, ENSG00000092201, ENSG00000174243, ENSG00000105723, ENSG00000067225, ENSG00000115524, ENSG00000111642, ENSG00000171456, ENSG00000179218, ENSG00000122966, ENSG00000164442, ENSG00000115241, ENSG00000100239, ENSG00000254505, ENSG00000122406, ENSG00000123136, ENSG00000130816, ENSG00000108312, ENSG00000275023, ENSG00000123374, ENSG00000187109	117	3580	11171	1.8135606169125724	2.357145831299867E-6	1.1785742955765879E-6	1.1076826086246127E-6
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	14	11.864406779661017	3.188612839992101E-8	ENSG00000198492, ENSG00000239306, ENSG00000067225, ENSG00000047410, ENSG00000114867, ENSG00000135387, ENSG00000115524, ENSG00000179218, ENSG00000168488, ENSG00000114391, ENSG00000125944, ENSG00000168066, ENSG00000108561, ENSG00000161960	117	169	10709	7.5823597835432155	7.429440438189161E-6	2.4871180151938385E-6	2.3914596299940756E-6
GOTERM_CC_DIRECT	GO:0005730~nucleolus	23	19.491525423728813	2.9399065691188925E-7	ENSG00000105202, ENSG00000239306, ENSG00000174243, ENSG00000142937, ENSG00000163938, ENSG00000116898, ENSG00000115524, ENSG00000058272, ENSG00000145912, ENSG00000115053, ENSG00000089737, ENSG00000116670, ENSG00000182196, ENSG00000122406, ENSG00000100029, ENSG00000108561, ENSG00000188976, ENSG00000149136, ENSG00000105373, ENSG00000108312, ENSG00000141456, ENSG00000167986, ENSG00000165733	117	616	11171	3.56494893994894	7.81984685789272E-5	2.6067171579520848E-5	2.4499221409324103E-5
GOTERM_CC_DIRECT	GO:0005694~chromosome	12	10.16949152542373	3.313887922365619E-6	ENSG00000160957, ENSG00000115053, ENSG00000072501, ENSG00000116670, ENSG00000181222, ENSG00000163938, ENSG00000100029, ENSG00000188976, ENSG00000149136, ENSG00000038219, ENSG00000166965, ENSG00000165733	117	185	11171	6.193208593208593	8.811072447949542E-4	2.2037354683731366E-4	2.0711799514785118E-4
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	7	5.932203389830509	4.906462465931029E-6	ENSG00000137818, ENSG00000145912, ENSG00000229117, ENSG00000114391, ENSG00000221983, ENSG00000122406, ENSG00000071082	117	43	11171	15.543033194195985	0.0013042709161097399	2.6102380318753074E-4	2.4532312329655144E-4
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	14	11.864406779661017	2.65735179109562E-5	ENSG00000137818, ENSG00000147065, ENSG00000142937, ENSG00000134308, ENSG00000179218, ENSG00000058272, ENSG00000196923, ENSG00000071082, ENSG00000172757, ENSG00000061676, ENSG00000133030, ENSG00000137076, ENSG00000122406, ENSG00000141367	117	320	11171	4.177190170940171	0.007043725541239221	0.001178092627385725	0.0011072299129565083
GOTERM_CC_DIRECT	GO:0005829~cytosol	61	51.69491525423729	3.492091543019822E-5	ENSG00000099901, ENSG00000092199, ENSG00000072501, ENSG00000133706, ENSG00000142937, ENSG00000114867, ENSG00000178814, ENSG00000151779, ENSG00000162191, ENSG00000196923, ENSG00000013810, ENSG00000123349, ENSG00000144848, ENSG00000100029, ENSG00000106682, ENSG00000198492, ENSG00000147065, ENSG00000197448, ENSG00000172757, ENSG00000173209, ENSG00000116670, ENSG00000166164, ENSG00000143549, ENSG00000133030, ENSG00000221983, ENSG00000137076, ENSG00000166165, ENSG00000188976, ENSG00000121851, ENSG00000141367, ENSG00000166965, ENSG00000092010, ENSG00000105655, ENSG00000182979, ENSG00000135387, ENSG00000140264, ENSG00000167468, ENSG00000229117, ENSG00000061676, ENSG00000159593, ENSG00000108561, ENSG00000161960, ENSG00000106263, ENSG00000105373, ENSG00000137818, ENSG00000105401, ENSG00000198231, ENSG00000105723, ENSG00000067225, ENSG00000134308, ENSG00000179218, ENSG00000058272, ENSG00000071082, ENSG00000122966, ENSG00000164442, ENSG00000168488, ENSG00000114391, ENSG00000100239, ENSG00000254505, ENSG00000122406, ENSG00000123374	117	3738	11171	1.5581050243971595	0.009246115049788783	0.0013269947863475324	0.001247175551078508
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	9	7.627118644067797	6.641092152203558E-5	ENSG00000092199, ENSG00000239306, ENSG00000174243, ENSG00000125944, ENSG00000168066, ENSG00000183431, ENSG00000123136, ENSG00000087365, ENSG00000115524	114	129	10635	6.508567931456548	0.05161778272725426	0.04348430499054627	0.043375185028211145
GOTERM_MF_DIRECT	GO:0042393~histone binding	9	7.627118644067797	1.1055971387073295E-4	ENSG00000166164, ENSG00000139613, ENSG00000188976, ENSG00000111642, ENSG00000132780, ENSG00000149136, ENSG00000156802, ENSG00000275023, ENSG00000187109	117	136	10709	6.057126696832579	0.025432832645074788	0.006467743261437877	0.006218983905228729
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	7	5.932203389830509	1.2017607317647678E-4	ENSG00000137818, ENSG00000229117, ENSG00000114391, ENSG00000142937, ENSG00000221983, ENSG00000122406, ENSG00000071082	114	73	10635	8.945565969718816	0.09145082899936652	0.04348430499054627	0.043375185028211145
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	7	5.932203389830509	1.2373120062328228E-4	ENSG00000137818, ENSG00000022840, ENSG00000114391, ENSG00000142937, ENSG00000221983, ENSG00000122406, ENSG00000071082	117	75	11171	8.911339031339033	0.03237874685739328	0.004114062420724136	0.0038666000194775715
GOTERM_MF_DIRECT	GO:0003714~transcription corepressor activity	9	7.627118644067797	1.5677438461999914E-4	ENSG00000164442, ENSG00000182979, ENSG00000166164, ENSG00000113649, ENSG00000123349, ENSG00000168066, ENSG00000108561, ENSG00000188976, ENSG00000111642	117	143	10709	5.7606239913932225	0.03587207922612057	0.006641989476842083	0.006386528343117388
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	13	11.016949152542372	1.7030742248313034E-4	ENSG00000072501, ENSG00000182979, ENSG00000047410, ENSG00000139613, ENSG00000111642, ENSG00000156802, ENSG00000171456, ENSG00000164442, ENSG00000188976, ENSG00000130816, ENSG00000108312, ENSG00000141456, ENSG00000187109	117	319	10709	3.7300592128178334	0.03890787301772314	0.006641989476842083	0.006386528343117388
GOTERM_BP_DIRECT	GO:0006412~translation	9	7.627118644067797	1.7368480904032216E-4	ENSG00000137818, ENSG00000229117, ENSG00000114391, ENSG00000142937, ENSG00000114867, ENSG00000221983, ENSG00000122406, ENSG00000116898, ENSG00000071082	114	148	10635	5.67300853485064	0.12943470624982745	0.04348430499054627	0.043375185028211145
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	9	7.627118644067797	2.1823992467024476E-4	ENSG00000064607, ENSG00000092199, ENSG00000113649, ENSG00000174243, ENSG00000182196, ENSG00000108561, ENSG00000087365, ENSG00000115524, ENSG00000116754	114	153	10635	5.487616099071207	0.1598496932034733	0.04348430499054627	0.043375185028211145
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	6.779661016949152	2.3323523575022404E-4	ENSG00000137818, ENSG00000229117, ENSG00000114391, ENSG00000168066, ENSG00000142937, ENSG00000221983, ENSG00000122406, ENSG00000071082	117	119	11171	6.418731595202184	0.06016204686276749	0.0068933969677288445	0.006478756548617334
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	8	6.779661016949152	2.710860420727544E-4	ENSG00000137818, ENSG00000229117, ENSG00000114391, ENSG00000142937, ENSG00000221983, ENSG00000122406, ENSG00000116898, ENSG00000071082	117	117	10709	6.258455694353131	0.06121764519559303	0.00906201912071779	0.008713479923767106
GOTERM_CC_DIRECT	GO:0005684~U2-type spliceosomal complex	4	3.389830508474576	2.8923467417095813E-4	ENSG00000183431, ENSG00000087365, ENSG00000115524, ENSG00000160799	117	13	11171	29.378040762656152	0.07406158387862583	0.007693642332947487	0.0072308668542739535
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	12	10.16949152542373	3.4107883379959656E-4	ENSG00000168488, ENSG00000198231, ENSG00000239306, ENSG00000113649, ENSG00000182196, ENSG00000198730, ENSG00000183431, ENSG00000123136, ENSG00000087365, ENSG00000115524, ENSG00000116754, ENSG00000204371	117	307	11171	3.7320638102397057	0.08674710730126489	0.008247906344608426	0.007751791677263558
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	7	5.932203389830509	4.264695959858199E-4	ENSG00000115053, ENSG00000092199, ENSG00000125944, ENSG00000168066, ENSG00000183431, ENSG00000087365, ENSG00000115524	117	94	11171	7.110110929259865	0.10726465566929444	0.009453409377685676	0.00888478324970458
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	6	5.084745762711865	4.815699158790728E-4	ENSG00000092199, ENSG00000174243, ENSG00000125944, ENSG00000183431, ENSG00000087365, ENSG00000115524	117	63	11171	9.093203093203092	0.12025963208719892	0.009853661355679489	0.0092609599207514
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	30	25.423728813559322	5.410363850414904E-4	ENSG00000092010, ENSG00000178773, ENSG00000092199, ENSG00000182979, ENSG00000142937, ENSG00000156802, ENSG00000167468, ENSG00000115053, ENSG00000061676, ENSG00000161960, ENSG00000106263, ENSG00000184840, ENSG00000167986, ENSG00000105202, ENSG00000105401, ENSG00000147065, ENSG00000174243, ENSG00000067225, ENSG00000134308, ENSG00000197448, ENSG00000179218, ENSG00000071082, ENSG00000172757, ENSG00000114391, ENSG00000143549, ENSG00000221983, ENSG00000137076, ENSG00000166165, ENSG00000122406, ENSG00000141367	117	1498	11171	1.9121221457670052	0.13407296076786812	0.010279691315788318	0.009661364018598044
GOTERM_CC_DIRECT	GO:0005635~nuclear envelope	8	6.779661016949152	8.024605080238554E-4	ENSG00000099901, ENSG00000167468, ENSG00000175826, ENSG00000182979, ENSG00000047410, ENSG00000179218, ENSG00000123374, ENSG00000143575	117	146	11171	5.2317058892401365	0.19228029902535138	0.014230299675623035	0.01337434180039759
GOTERM_MF_DIRECT	GO:0048027~mRNA 5'-UTR binding	4	3.389830508474576	0.0010573677304707568	ENSG00000115053, ENSG00000229117, ENSG00000163938, ENSG00000122406	117	19	10709	19.269455690508323	0.218466311978734	0.030928006116269637	0.029738467419490038
GOTERM_MF_DIRECT	GO:0008097~5S rRNA binding	3	2.5423728813559325	0.0016960179130770204	ENSG00000122406, ENSG00000122034, ENSG00000105373	117	6	10709	45.76495726495726	0.3266618761647373	0.04381708579548604	0.042131813264890426
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	4	3.389830508474576	0.0017716520058268796	ENSG00000100029, ENSG00000122406, ENSG00000122034, ENSG00000188976	114	23	10635	16.22425629290618	0.7570821948724373	0.2659382466241746	0.26527089845196833
GOTERM_MF_DIRECT	GO:0031491~nucleosome binding	4	3.389830508474576	0.00187252503399513	ENSG00000092201, ENSG00000188976, ENSG00000149136, ENSG00000275023	117	23	10709	15.918246005202528	0.35383948662798015	0.04381708579548604	0.042131813264890426
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	8	6.779661016949152	0.0021999757243473307	ENSG00000064607, ENSG00000113649, ENSG00000125944, ENSG00000182196, ENSG00000108561, ENSG00000183431, ENSG00000087365, ENSG00000116754	114	170	10635	4.390092879256966	0.8275270010117494	0.2659382466241746	0.26527089845196833
GOTERM_BP_DIRECT	GO:0006260~DNA replication	6	5.084745762711865	0.0024095080359144076	ENSG00000160957, ENSG00000092201, ENSG00000132780, ENSG00000149136, ENSG00000123374, ENSG00000187109	114	88	10635	6.360645933014354	0.8541399423696892	0.2659382466241746	0.26527089845196833
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	15	12.711864406779661	0.0026693926888248388	ENSG00000182979, ENSG00000113649, ENSG00000047410, ENSG00000198730, ENSG00000139613, ENSG00000111642, ENSG00000179218, ENSG00000204371, ENSG00000164442, ENSG00000116670, ENSG00000108561, ENSG00000188976, ENSG00000130816, ENSG00000105373, ENSG00000123374	114	567	10635	2.4679754942912835	0.8815214766920675	0.2659382466241746	0.26527089845196833
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	5	4.23728813559322	0.0035352526022200807	ENSG00000198231, ENSG00000089737, ENSG00000174243, ENSG00000123136, ENSG00000161960	117	58	10709	7.890509873268495	0.561840953788733	0.07520446444722717	0.07231198504541074
GOTERM_CC_DIRECT	GO:0016281~eukaryotic translation initiation factor 4F complex	3	2.5423728813559325	0.0036694893963990266	ENSG00000114867, ENSG00000161960, ENSG00000106682	117	9	11171	31.826210826210826	0.6238921861941995	0.06100526121513382	0.05733577181873479
