Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	94	42.34234234234234	1.0975393497867746E-26	ENSG00000172270, ENSG00000158769, ENSG00000068120, ENSG00000213741, ENSG00000197694, ENSG00000110700, ENSG00000104823, ENSG00000103811, ENSG00000159377, ENSG00000104824, ENSG00000172037, ENSG00000156508, ENSG00000064601, ENSG00000166278, ENSG00000170889, ENSG00000183255, ENSG00000166710, ENSG00000164733, ENSG00000243649, ENSG00000112514, ENSG00000213614, ENSG00000072274, ENSG00000117448, ENSG00000198931, ENSG00000204463, ENSG00000158874, ENSG00000170421, ENSG00000150991, ENSG00000171557, ENSG00000233927, ENSG00000030582, ENSG00000169710, ENSG00000172757, ENSG00000143106, ENSG00000149925, ENSG00000120885, ENSG00000143947, ENSG00000163931, ENSG00000167815, ENSG00000106397, ENSG00000204628, ENSG00000185624, ENSG00000121410, ENSG00000105220, ENSG00000141522, ENSG00000197081, ENSG00000108654, ENSG00000182899, ENSG00000178035, ENSG00000137801, ENSG00000104805, ENSG00000135821, ENSG00000132475, ENSG00000224389, ENSG00000084674, ENSG00000164032, ENSG00000165527, ENSG00000090863, ENSG00000140105, ENSG00000106263, ENSG00000163586, ENSG00000184009, ENSG00000167986, ENSG00000131236, ENSG00000105202, ENSG00000105401, ENSG00000150093, ENSG00000092841, ENSG00000067225, ENSG00000197102, ENSG00000196576, ENSG00000213639, ENSG00000213719, ENSG00000179218, ENSG00000228278, ENSG00000178921, ENSG00000115884, ENSG00000152234, ENSG00000117984, ENSG00000175899, ENSG00000118785, ENSG00000204525, ENSG00000170315, ENSG00000114391, ENSG00000166340, ENSG00000168003, ENSG00000188157, ENSG00000089597, ENSG00000180879, ENSG00000149428, ENSG00000166986, ENSG00000122566, ENSG00000169738, ENSG00000090339	221	1498	11171	3.1718732065076205	4.2913788576662885E-24	4.2913788576662885E-24	3.885289298245182E-24
GOTERM_CC_DIRECT	GO:0016020~membrane	97	43.69369369369369	2.989095584921843E-14	ENSG00000110700, ENSG00000104823, ENSG00000242265, ENSG00000104824, ENSG00000064601, ENSG00000139644, ENSG00000127948, ENSG00000183255, ENSG00000106682, ENSG00000100342, ENSG00000185559, ENSG00000067167, ENSG00000113368, ENSG00000115268, ENSG00000172757, ENSG00000120885, ENSG00000120802, ENSG00000105220, ENSG00000197081, ENSG00000110321, ENSG00000172893, ENSG00000058262, ENSG00000130255, ENSG00000144028, ENSG00000170348, ENSG00000184009, ENSG00000105404, ENSG00000150093, ENSG00000092841, ENSG00000179218, ENSG00000001630, ENSG00000204525, ENSG00000116133, ENSG00000103502, ENSG00000149428, ENSG00000147403, ENSG00000161016, ENSG00000172270, ENSG00000127463, ENSG00000197694, ENSG00000156508, ENSG00000116685, ENSG00000163682, ENSG00000170889, ENSG00000182481, ENSG00000204632, ENSG00000140688, ENSG00000167526, ENSG00000166710, ENSG00000073921, ENSG00000177697, ENSG00000129255, ENSG00000112514, ENSG00000105669, ENSG00000213614, ENSG00000072274, ENSG00000204463, ENSG00000112077, ENSG00000030582, ENSG00000169710, ENSG00000149925, ENSG00000143947, ENSG00000102316, ENSG00000141526, ENSG00000079459, ENSG00000108654, ENSG00000141522, ENSG00000182899, ENSG00000178035, ENSG00000169682, ENSG00000104805, ENSG00000131143, ENSG00000088832, ENSG00000165527, ENSG00000090863, ENSG00000141756, ENSG00000166734, ENSG00000105202, ENSG00000134824, ENSG00000104635, ENSG00000197102, ENSG00000116459, ENSG00000213719, ENSG00000152234, ENSG00000115486, ENSG00000198715, ENSG00000231925, ENSG00000114391, ENSG00000168003, ENSG00000167792, ENSG00000089597, ENSG00000166986, ENSG00000182774, ENSG00000122566, ENSG00000179091, ENSG00000090339, ENSG00000091947	221	2360	11171	2.0775883886801134	1.1677214750704934E-11	5.8436818685222035E-12	5.2906991853116626E-12
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	17	7.657657657657657	5.893443837843128E-13	ENSG00000182899, ENSG00000137818, ENSG00000213741, ENSG00000110700, ENSG00000115268, ENSG00000130255, ENSG00000233927, ENSG00000163682, ENSG00000170889, ENSG00000114391, ENSG00000143947, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000204628, ENSG00000161016	211	73	10635	11.737648510030512	9.511404996942474E-10	8.765571711484994E-10	8.754703054682161E-10
GOTERM_BP_DIRECT	GO:0006412~translation	22	9.90990990990991	1.0868656802833222E-12	ENSG00000182899, ENSG00000137818, ENSG00000172590, ENSG00000213741, ENSG00000110700, ENSG00000172053, ENSG00000156508, ENSG00000115268, ENSG00000130255, ENSG00000233927, ENSG00000115364, ENSG00000163682, ENSG00000170889, ENSG00000114391, ENSG00000143947, ENSG00000172809, ENSG00000140105, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000204628, ENSG00000161016	211	148	10635	7.492314589470987	1.7542700625483576E-9	8.765571711484994E-10	8.754703054682161E-10
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	19	8.558558558558559	1.3562017745285566E-11	ENSG00000182899, ENSG00000137818, ENSG00000172590, ENSG00000213741, ENSG00000110700, ENSG00000115268, ENSG00000130255, ENSG00000233927, ENSG00000115364, ENSG00000163682, ENSG00000170889, ENSG00000114391, ENSG00000143947, ENSG00000062582, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	214	117	10709	8.126487738637271	7.106509158916197E-9	7.120059316274922E-9	7.025125192057923E-9
GOTERM_CC_DIRECT	GO:0005840~ribosome	19	8.558558558558559	1.579870476866297E-11	ENSG00000182899, ENSG00000137818, ENSG00000213741, ENSG00000110700, ENSG00000156508, ENSG00000115268, ENSG00000130255, ENSG00000175756, ENSG00000233927, ENSG00000115364, ENSG00000163682, ENSG00000170889, ENSG00000114391, ENSG00000143947, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	221	119	11171	8.070611049849804	6.177290012843173E-9	2.0590978548490736E-9	1.86424716270223E-9
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	15	6.756756756756757	1.6939292755991433E-10	ENSG00000182899, ENSG00000137818, ENSG00000110700, ENSG00000156508, ENSG00000115268, ENSG00000130255, ENSG00000163682, ENSG00000170889, ENSG00000114391, ENSG00000143947, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	221	75	11171	10.109502262443439	6.623263892890918E-8	1.6558158668981625E-8	1.4991274089052418E-8
GOTERM_MF_DIRECT	GO:0005515~protein binding	191	86.03603603603604	3.61702497050225E-9	ENSG00000068120, ENSG00000110700, ENSG00000104823, ENSG00000242265, ENSG00000159377, ENSG00000104824, ENSG00000135446, ENSG00000115310, ENSG00000139644, ENSG00000204394, ENSG00000204713, ENSG00000127948, ENSG00000183255, ENSG00000106682, ENSG00000100342, ENSG00000164611, ENSG00000185559, ENSG00000164733, ENSG00000175197, ENSG00000243649, ENSG00000067167, ENSG00000129691, ENSG00000117448, ENSG00000113368, ENSG00000115268, ENSG00000171557, ENSG00000175756, ENSG00000172757, ENSG00000143106, ENSG00000100219, ENSG00000120885, ENSG00000120802, ENSG00000163931, ENSG00000256269, ENSG00000152291, ENSG00000106397, ENSG00000105220, ENSG00000197081, ENSG00000204308, ENSG00000160789, ENSG00000110321, ENSG00000172893, ENSG00000135821, ENSG00000058262, ENSG00000135940, ENSG00000144028, ENSG00000170348, ENSG00000134294, ENSG00000084674, ENSG00000172809, ENSG00000140105, ENSG00000167900, ENSG00000100242, ENSG00000184009, ENSG00000167986, ENSG00000131236, ENSG00000065361, ENSG00000105401, ENSG00000072210, ENSG00000105404, ENSG00000150093, ENSG00000092841, ENSG00000196576, ENSG00000213639, ENSG00000173113, ENSG00000179218, ENSG00000117984, ENSG00000175899, ENSG00000118785, ENSG00000204525, ENSG00000116133, ENSG00000169136, ENSG00000171848, ENSG00000167992, ENSG00000188157, ENSG00000125995, ENSG00000103502, ENSG00000149428, ENSG00000147403, ENSG00000070669, ENSG00000161016, ENSG00000172270, ENSG00000158769, ENSG00000127463, ENSG00000197694, ENSG00000103811, ENSG00000172037, ENSG00000156508, ENSG00000104904, ENSG00000168291, ENSG00000116685, ENSG00000166278, ENSG00000163682, ENSG00000170889, ENSG00000182481, ENSG00000204632, ENSG00000147872, ENSG00000149257, ENSG00000255302, ENSG00000140688, ENSG00000167526, ENSG00000166710, ENSG00000167645, ENSG00000073921, ENSG00000177697, ENSG00000129255, ENSG00000161944, ENSG00000112514, ENSG00000105669, ENSG00000213614, ENSG00000072274, ENSG00000198931, ENSG00000204463, ENSG00000158874, ENSG00000112077, ENSG00000265972, ENSG00000170421, ENSG00000150991, ENSG00000173812, ENSG00000233927, ENSG00000030582, ENSG00000169710, ENSG00000149925, ENSG00000183283, ENSG00000102317, ENSG00000143947, ENSG00000102316, ENSG00000141526, ENSG00000079459, ENSG00000167815, ENSG00000149923, ENSG00000204628, ENSG00000185624, ENSG00000108654, ENSG00000141522, ENSG00000169714, ENSG00000181029, ENSG00000182899, ENSG00000160867, ENSG00000108604, ENSG00000178035, ENSG00000172053, ENSG00000169682, ENSG00000104529, ENSG00000104805, ENSG00000137801, ENSG00000132475, ENSG00000130175, ENSG00000131143, ENSG00000234906, ENSG00000143811, ENSG00000088832, ENSG00000164032, ENSG00000165527, ENSG00000125148, ENSG00000141756, ENSG00000106263, ENSG00000163586, ENSG00000160752, ENSG00000137818, ENSG00000105202, ENSG00000101084, ENSG00000099797, ENSG00000149100, ENSG00000067225, ENSG00000106538, ENSG00000197102, ENSG00000116459, ENSG00000139318, ENSG00000213719, ENSG00000115884, ENSG00000152234, ENSG00000115364, ENSG00000170315, ENSG00000231925, ENSG00000114391, ENSG00000166340, ENSG00000168003, ENSG00000123416, ENSG00000167792, ENSG00000109084, ENSG00000126768, ENSG00000179010, ENSG00000089597, ENSG00000122566, ENSG00000169738, ENSG00000179091, ENSG00000090339, ENSG00000123374, ENSG00000091947, ENSG00000104870	214	7812	10709	1.2235064913313332	1.895319314049182E-6	9.494690547568406E-7	9.368094673600827E-7
GOTERM_MF_DIRECT	GO:0003723~RNA binding	49	22.07207207207207	1.1119601777757056E-8	ENSG00000213741, ENSG00000110700, ENSG00000242265, ENSG00000104824, ENSG00000156508, ENSG00000115310, ENSG00000163682, ENSG00000170889, ENSG00000182481, ENSG00000062582, ENSG00000149257, ENSG00000167526, ENSG00000106682, ENSG00000072274, ENSG00000115268, ENSG00000150991, ENSG00000173812, ENSG00000233927, ENSG00000030582, ENSG00000169710, ENSG00000149925, ENSG00000102317, ENSG00000143947, ENSG00000141526, ENSG00000204628, ENSG00000185624, ENSG00000108654, ENSG00000169714, ENSG00000182899, ENSG00000178035, ENSG00000110321, ENSG00000130175, ENSG00000130255, ENSG00000144028, ENSG00000172809, ENSG00000106263, ENSG00000160752, ENSG00000105202, ENSG00000067225, ENSG00000197102, ENSG00000179218, ENSG00000152234, ENSG00000114391, ENSG00000168003, ENSG00000089597, ENSG00000182774, ENSG00000122566, ENSG00000147403, ENSG00000161016	214	1024	10709	2.394590573890187	5.8266543978557905E-6	1.945930311107485E-6	1.9199845736260515E-6
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	39	17.56756756756757	1.375737288427307E-8	ENSG00000160867, ENSG00000104529, ENSG00000137801, ENSG00000172893, ENSG00000135821, ENSG00000130175, ENSG00000064601, ENSG00000058262, ENSG00000139644, ENSG00000115310, ENSG00000170348, ENSG00000127948, ENSG00000147872, ENSG00000141756, ENSG00000149257, ENSG00000167526, ENSG00000167645, ENSG00000099797, ENSG00000067167, ENSG00000213719, ENSG00000179218, ENSG00000001630, ENSG00000204525, ENSG00000030582, ENSG00000231925, ENSG00000116133, ENSG00000100219, ENSG00000120885, ENSG00000114391, ENSG00000109084, ENSG00000079459, ENSG00000180879, ENSG00000106397, ENSG00000149428, ENSG00000185624, ENSG00000147403, ENSG00000204308, ENSG00000169714, ENSG00000181029	221	711	11171	2.7726482998262596	5.379118376391823E-6	1.075826559550154E-6	9.740220002065334E-7
