Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	51	27.56756756756757	2.5890331424571897E-13	ENSG00000108349, ENSG00000055609, ENSG00000213741, ENSG00000076108, ENSG00000135486, ENSG00000156508, ENSG00000120948, ENSG00000113013, ENSG00000166598, ENSG00000170889, ENSG00000134030, ENSG00000136450, ENSG00000151923, ENSG00000101158, ENSG00000161547, ENSG00000070756, ENSG00000096746, ENSG00000099899, ENSG00000131051, ENSG00000072274, ENSG00000170144, ENSG00000150991, ENSG00000204469, ENSG00000140350, ENSG00000026297, ENSG00000100650, ENSG00000108654, ENSG00000182934, ENSG00000089280, ENSG00000124571, ENSG00000108848, ENSG00000174231, ENSG00000130255, ENSG00000080824, ENSG00000169045, ENSG00000119707, ENSG00000127603, ENSG00000105372, ENSG00000071626, ENSG00000101361, ENSG00000102054, ENSG00000153201, ENSG00000112739, ENSG00000176102, ENSG00000198830, ENSG00000179218, ENSG00000168488, ENSG00000164167, ENSG00000159140, ENSG00000186298, ENSG00000122566	173	1024	10709	3.082996522760116	1.0899858793322892E-10	1.0925719861169341E-10	1.0822158535471054E-10
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	77	41.62162162162162	9.384631245450664E-9	ENSG00000108349, ENSG00000055609, ENSG00000213741, ENSG00000106009, ENSG00000159377, ENSG00000135486, ENSG00000120948, ENSG00000198901, ENSG00000168137, ENSG00000170889, ENSG00000204713, ENSG00000136450, ENSG00000151923, ENSG00000100867, ENSG00000177084, ENSG00000101158, ENSG00000221978, ENSG00000161547, ENSG00000100462, ENSG00000214078, ENSG00000100023, ENSG00000125450, ENSG00000075624, ENSG00000096746, ENSG00000139613, ENSG00000169230, ENSG00000131051, ENSG00000170144, ENSG00000204463, ENSG00000150991, ENSG00000204469, ENSG00000040933, ENSG00000140350, ENSG00000165792, ENSG00000168385, ENSG00000184575, ENSG00000139292, ENSG00000100650, ENSG00000108654, ENSG00000162521, ENSG00000089053, ENSG00000161956, ENSG00000089280, ENSG00000124571, ENSG00000104885, ENSG00000108848, ENSG00000131748, ENSG00000175166, ENSG00000174231, ENSG00000112983, ENSG00000115657, ENSG00000112984, ENSG00000077254, ENSG00000080824, ENSG00000168036, ENSG00000169045, ENSG00000119707, ENSG00000125347, ENSG00000061273, ENSG00000105372, ENSG00000127564, ENSG00000071626, ENSG00000101361, ENSG00000102054, ENSG00000153201, ENSG00000109920, ENSG00000112739, ENSG00000176102, ENSG00000172943, ENSG00000164167, ENSG00000171604, ENSG00000169136, ENSG00000100911, ENSG00000174917, ENSG00000186298, ENSG00000125676, ENSG00000122566	178	2643	11171	1.8283764193736263	3.5473843539302052E-6	3.547390610780351E-6	3.462928929571295E-6
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	16	8.64864864864865	2.5417952360268505E-8	ENSG00000108349, ENSG00000089280, ENSG00000112739, ENSG00000108848, ENSG00000096746, ENSG00000174231, ENSG00000135486, ENSG00000131051, ENSG00000120948, ENSG00000164167, ENSG00000159140, ENSG00000119707, ENSG00000125676, ENSG00000161547, ENSG00000100023, ENSG00000108654	174	153	10635	6.391706107730449	2.9408138883746382E-5	2.938315292847039E-5	2.9281481119029317E-5
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	21	11.351351351351353	8.086761654259041E-8	ENSG00000108349, ENSG00000109920, ENSG00000076108, ENSG00000112739, ENSG00000108848, ENSG00000077458, ENSG00000174231, ENSG00000131051, ENSG00000120948, ENSG00000163660, ENSG00000168488, ENSG00000159140, ENSG00000136450, ENSG00000102878, ENSG00000186298, ENSG00000119707, ENSG00000125676, ENSG00000221978, ENSG00000161547, ENSG00000108654, ENSG00000100650	178	307	11171	4.292921714306628	3.0567493074618035E-5	1.528397952654959E-5	1.492007525210793E-5
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	14	7.567567567567568	1.6269123689659993E-7	ENSG00000108349, ENSG00000112739, ENSG00000096746, ENSG00000174231, ENSG00000135486, ENSG00000170144, ENSG00000164167, ENSG00000136450, ENSG00000169045, ENSG00000122566, ENSG00000161547, ENSG00000108654, ENSG00000100650, ENSG00000070756	174	129	10635	6.633253140871425	1.8821606157048976E-4	9.403553492623477E-5	9.371015245244156E-5
GOTERM_MF_DIRECT	GO:0005515~protein binding	154	83.24324324324324	1.9276069163906582E-7	ENSG00000108349, ENSG00000055609, ENSG00000069696, ENSG00000176155, ENSG00000159377, ENSG00000117616, ENSG00000198901, ENSG00000117335, ENSG00000076382, ENSG00000113013, ENSG00000006831, ENSG00000169228, ENSG00000166598, ENSG00000204713, ENSG00000143515, ENSG00000151923, ENSG00000100867, ENSG00000122133, ENSG00000177084, ENSG00000101158, ENSG00000221978, ENSG00000100462, ENSG00000214078, ENSG00000108465, ENSG00000075624, ENSG00000115307, ENSG00000099899, ENSG00000169230, ENSG00000117448, ENSG00000074370, ENSG00000140350, ENSG00000173209, ENSG00000168385, ENSG00000137076, ENSG00000165792, ENSG00000184575, ENSG00000256269, ENSG00000051108, ENSG00000089280, ENSG00000077458, ENSG00000131748, ENSG00000112983, ENSG00000169241, ENSG00000112742, ENSG00000112984, ENSG00000163660, ENSG00000134294, ENSG00000168036, ENSG00000125347, ENSG00000061273, ENSG00000105372, ENSG00000184009, ENSG00000102144, ENSG00000103111, ENSG00000071626, ENSG00000112739, ENSG00000176102, ENSG00000139636, ENSG00000179218, ENSG00000159348, ENSG00000172943, ENSG00000175899, ENSG00000170522, ENSG00000169136, ENSG00000137177, ENSG00000100911, ENSG00000167110, ENSG00000076108, ENSG00000106009, ENSG00000174177, ENSG00000105559, ENSG00000103091, ENSG00000135486, ENSG00000156508, ENSG00000119682, ENSG00000120948, ENSG00000117410, ENSG00000122218, ENSG00000170889, ENSG00000134030, ENSG00000136450, ENSG00000146826, ENSG00000138074, ENSG00000160055, ENSG00000161547, ENSG00000100023, ENSG00000070756, ENSG00000102030, ENSG00000125450, ENSG00000096746, ENSG00000156970, ENSG00000148396, ENSG00000139613, ENSG00000131051, ENSG00000072274, ENSG00000170144, ENSG00000204463, ENSG00000150991, ENSG00000213619, ENSG00000113161, ENSG00000204469, ENSG00000040933, ENSG00000007392, ENSG00000125731, ENSG00000148399, ENSG00000139292, ENSG00000100650, ENSG00000108654, ENSG00000162521, ENSG00000161956, ENSG00000126870, ENSG00000124571, ENSG00000104885, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000115414, ENSG00000077254, ENSG00000062716, ENSG00000061987, ENSG00000080824, ENSG00000143418, ENSG00000089006, ENSG00000169045, ENSG00000183077, ENSG00000164032, ENSG00000161202, ENSG00000109133, ENSG00000119707, ENSG00000127603, ENSG00000168758, ENSG00000127564, ENSG00000101361, ENSG00000102054, ENSG00000153201, ENSG00000109920, ENSG00000155463, ENSG00000133858, ENSG00000135596, ENSG00000198830, ENSG00000175455, ENSG00000116337, ENSG00000077782, ENSG00000213719, ENSG00000083807, ENSG00000168488, ENSG00000164167, ENSG00000159140, ENSG00000174917, ENSG00000186298, ENSG00000125676, ENSG00000122203, ENSG00000122566, ENSG00000124067	173	7812	10709	1.2202850809041375	8.11489662425613E-5	4.067250593584289E-5	4.0286984552564754E-5
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	10	5.405405405405405	5.826362328034821E-7	ENSG00000112739, ENSG00000136450, ENSG00000174231, ENSG00000169045, ENSG00000135486, ENSG00000170144, ENSG00000122566, ENSG00000108654, ENSG00000100023, ENSG00000070756	178	63	11171	9.961655074014624	2.202123098722364E-4	7.341216533323874E-5	7.16642566348283E-5
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	15	8.108108108108109	6.602956531260612E-7	ENSG00000108349, ENSG00000176102, ENSG00000174231, ENSG00000099899, ENSG00000135486, ENSG00000131051, ENSG00000120948, ENSG00000159140, ENSG00000136450, ENSG00000119707, ENSG00000125676, ENSG00000122566, ENSG00000161547, ENSG00000100023, ENSG00000100650	174	170	10635	5.393002028397566	7.63670578003417E-4	2.544339250045756E-4	2.5355353080040754E-4
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	14	7.567567567567568	3.1445314547136194E-6	ENSG00000108349, ENSG00000124571, ENSG00000108848, ENSG00000176102, ENSG00000170144, ENSG00000179218, ENSG00000080824, ENSG00000168488, ENSG00000007392, ENSG00000136450, ENSG00000119707, ENSG00000125676, ENSG00000100650, ENSG00000070756	173	169	10709	5.127954304477203	0.001322973921246029	4.423307579630491E-4	4.3813804935676436E-4
GOTERM_MF_DIRECT	GO:0003730~mRNA 3'-UTR binding	9	4.864864864864865	9.778317409123045E-6	ENSG00000089280, ENSG00000151923, ENSG00000135486, ENSG00000120948, ENSG00000170144, ENSG00000122566, ENSG00000108654, ENSG00000070756, ENSG00000071626	173	66	10709	8.44114555964267	0.004108229796663143	0.0010316124866624813	0.0010218341692533582
