Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	35	36.08247422680412	9.913940215627028E-13	ENSG00000055609, ENSG00000213741, ENSG00000108848, ENSG00000156508, ENSG00000075292, ENSG00000134030, ENSG00000136450, ENSG00000151923, ENSG00000169045, ENSG00000149532, ENSG00000070756, ENSG00000125691, ENSG00000101361, ENSG00000179335, ENSG00000112739, ENSG00000176102, ENSG00000131051, ENSG00000072274, ENSG00000170144, ENSG00000179218, ENSG00000132300, ENSG00000204569, ENSG00000197958, ENSG00000204469, ENSG00000168488, ENSG00000159140, ENSG00000140350, ENSG00000102317, ENSG00000026297, ENSG00000126226, ENSG00000089157, ENSG00000204628, ENSG00000122566, ENSG00000147403, ENSG00000167978	93	1024	10709	3.9358093918010755	2.557887235354883E-10	2.5677105158474E-10	2.5379686952005193E-10
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	7	7.216494845360824	1.3123016590463327E-5	ENSG00000112739, ENSG00000136450, ENSG00000169045, ENSG00000170144, ENSG00000122566, ENSG00000167978, ENSG00000070756	94	63	11171	13.20449172576832	0.0031707533632385765	0.003175770014892125	0.0030707858821684185
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	10	10.309278350515463	1.3878612582954958E-5	ENSG00000168488, ENSG00000108848, ENSG00000176102, ENSG00000136450, ENSG00000149532, ENSG00000170144, ENSG00000179218, ENSG00000167978, ENSG00000075292, ENSG00000070756	93	169	10709	6.81364128014252	0.0035743038079549816	0.0017972803294926671	0.0017764624106182346
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	40	41.23711340206185	6.936598242484129E-5	ENSG00000055609, ENSG00000213741, ENSG00000108848, ENSG00000131748, ENSG00000094631, ENSG00000115657, ENSG00000075292, ENSG00000038358, ENSG00000204713, ENSG00000136450, ENSG00000151923, ENSG00000169045, ENSG00000149532, ENSG00000214078, ENSG00000125691, ENSG00000101361, ENSG00000179335, ENSG00000129158, ENSG00000112739, ENSG00000129197, ENSG00000176102, ENSG00000115947, ENSG00000131778, ENSG00000131051, ENSG00000204463, ENSG00000170144, ENSG00000132300, ENSG00000204569, ENSG00000204469, ENSG00000140350, ENSG00000100911, ENSG00000165792, ENSG00000102317, ENSG00000168385, ENSG00000125877, ENSG00000139292, ENSG00000204628, ENSG00000122566, ENSG00000167978, ENSG00000089053	94	2643	11171	1.7985686800138463	0.016647030941918328	0.008393283873405797	0.00811581994370643
GOTERM_BP_DIRECT	GO:0043484~regulation of RNA splicing	6	6.185567010309279	1.0886562543845043E-4	ENSG00000179335, ENSG00000163660, ENSG00000159140, ENSG00000136450, ENSG00000169045, ENSG00000075292	95	54	10635	12.43859649122807	0.0787098722164955	0.08186695032971472	0.08175808470427627
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	11	11.34020618556701	2.2801108929547303E-4	ENSG00000179335, ENSG00000163660, ENSG00000168488, ENSG00000159140, ENSG00000112739, ENSG00000108848, ENSG00000136450, ENSG00000092148, ENSG00000131051, ENSG00000167978, ENSG00000075292	94	307	11171	4.258125996257537	0.053689912174204935	0.018392894536501492	0.017784864965046897
GOTERM_BP_DIRECT	GO:0006396~RNA processing	6	6.185567010309279	3.25564399443373E-4	ENSG00000163660, ENSG00000102317, ENSG00000169045, ENSG00000133858, ENSG00000131051, ENSG00000175061	95	68	10635	9.877708978328172	0.21744408910660873	0.08189263929887544	0.08178373951257376
GOTERM_BP_DIRECT	GO:0006412~translation	8	8.24742268041237	3.266993589050882E-4	ENSG00000125691, ENSG00000197958, ENSG00000213741, ENSG00000165792, ENSG00000156508, ENSG00000089157, ENSG00000147403, ENSG00000204628	95	148	10635	6.051209103840683	0.2181128128383879	0.08189263929887544	0.08178373951257376
GOTERM_MF_DIRECT	GO:0005515~protein binding	82	84.5360824742268	3.559831007605494E-4	ENSG00000055609, ENSG00000117616, ENSG00000103091, ENSG00000156508, ENSG00000117335, ENSG00000169228, ENSG00000038358, ENSG00000204713, ENSG00000134030, ENSG00000136450, ENSG00000151923, ENSG00000138074, ENSG00000149532, ENSG00000214078, ENSG00000070756, ENSG00000125691, ENSG00000115947, ENSG00000148672, ENSG00000131778, ENSG00000141959, ENSG00000115307, ENSG00000092148, ENSG00000131051, ENSG00000072274, ENSG00000170144, ENSG00000204463, ENSG00000137955, ENSG00000171557, ENSG00000132300, ENSG00000197958, ENSG00000113161, ENSG00000204469, ENSG00000140350, ENSG00000102317, ENSG00000165792, ENSG00000168385, ENSG00000163251, ENSG00000168906, ENSG00000126226, ENSG00000148399, ENSG00000139292, ENSG00000204628, ENSG00000167978, ENSG00000101384, ENSG00000160867, ENSG00000108848, ENSG00000094631, ENSG00000131748, ENSG00000008517, ENSG00000062716, ENSG00000119787, ENSG00000163660, ENSG00000204219, ENSG00000134294, ENSG00000143418, ENSG00000084674, ENSG00000089006, ENSG00000169045, ENSG00000101361, ENSG00000179335, ENSG00000129158, ENSG00000065361, ENSG00000112739, ENSG00000155463, ENSG00000129197, ENSG00000176102, ENSG00000133858, ENSG00000243943, ENSG00000213719, ENSG00000179218, ENSG00000175899, ENSG00000170522, ENSG00000204569, ENSG00000168488, ENSG00000159140, ENSG00000100911, ENSG00000143924, ENSG00000167110, ENSG00000089157, ENSG00000122566, ENSG00000147403, ENSG00000124067	93	7812	10709	1.20869739964433	0.08776713882997944	0.02804680645589634	0.027721939971851208
GOTERM_MF_DIRECT	GO:0070180~large ribosomal subunit rRNA binding	3	3.0927835051546393	4.3315531206017513E-4	ENSG00000125691, ENSG00000197958, ENSG00000089157	93	4	10709	86.36290322580645	0.10575749386826316	0.02804680645589634	0.027721939971851208
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	6	6.185567010309279	4.531102570781964E-4	ENSG00000125691, ENSG00000197958, ENSG00000213741, ENSG00000089157, ENSG00000147403, ENSG00000204628	95	73	10635	9.201153568853641	0.2891325866914204	0.08518472833070093	0.08507145076643137
GOTERM_CC_DIRECT	GO:0005840~ribosome	7	7.216494845360824	4.615575647559064E-4	ENSG00000125691, ENSG00000197958, ENSG00000213741, ENSG00000156508, ENSG00000089157, ENSG00000147403, ENSG00000132300	94	119	11171	6.990613266583229	0.10570780385769052	0.02792423266773234	0.027001117538220525
