Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	16	6.106870229007633	9.48876549138082E-11	ENSG00000142937, ENSG00000110700, ENSG00000008988, ENSG00000171863, ENSG00000071082, ENSG00000164163, ENSG00000221983, ENSG00000143947, ENSG00000140988, ENSG00000186468, ENSG00000089157, ENSG00000164587, ENSG00000167526, ENSG00000142534, ENSG00000161016, ENSG00000105640	254	75	11171	9.38246719160105	3.899882472513383E-8	3.899882616957517E-8	3.804994962043709E-8
GOTERM_MF_DIRECT	GO:0003723~RNA binding	57	21.755725190839694	6.059562191102119E-10	ENSG00000076108, ENSG00000142937, ENSG00000110700, ENSG00000104824, ENSG00000171863, ENSG00000146109, ENSG00000204356, ENSG00000062582, ENSG00000149257, ENSG00000105197, ENSG00000167526, ENSG00000087087, ENSG00000130520, ENSG00000179950, ENSG00000150990, ENSG00000134684, ENSG00000159840, ENSG00000150991, ENSG00000133112, ENSG00000131652, ENSG00000030582, ENSG00000169710, ENSG00000149925, ENSG00000143947, ENSG00000188976, ENSG00000185624, ENSG00000164587, ENSG00000142534, ENSG00000103275, ENSG00000198042, ENSG00000130811, ENSG00000174231, ENSG00000111057, ENSG00000110321, ENSG00000105618, ENSG00000158941, ENSG00000140988, ENSG00000186468, ENSG00000179335, ENSG00000130985, ENSG00000198791, ENSG00000156990, ENSG00000198830, ENSG00000008988, ENSG00000116898, ENSG00000170004, ENSG00000071082, ENSG00000168488, ENSG00000143569, ENSG00000225921, ENSG00000123136, ENSG00000100038, ENSG00000164924, ENSG00000089597, ENSG00000089157, ENSG00000161016, ENSG00000105640	249	1024	10709	2.394001788403614	3.0418995322634146E-7	3.047959782124366E-7	3.041900219933264E-7
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	15	5.7251908396946565	1.239537299409691E-9	ENSG00000142937, ENSG00000110700, ENSG00000008988, ENSG00000171863, ENSG00000071082, ENSG00000221983, ENSG00000143947, ENSG00000140988, ENSG00000186468, ENSG00000089157, ENSG00000164587, ENSG00000167526, ENSG00000142534, ENSG00000161016, ENSG00000105640	252	73	10635	8.671722113502934	1.7700576284696012E-6	1.7688197262576292E-6	1.7688197262576292E-6
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	17	6.488549618320611	1.0564942455118966E-8	ENSG00000142937, ENSG00000110700, ENSG00000008988, ENSG00000116898, ENSG00000171863, ENSG00000071082, ENSG00000221983, ENSG00000143947, ENSG00000140988, ENSG00000186468, ENSG00000062582, ENSG00000089157, ENSG00000164587, ENSG00000167526, ENSG00000142534, ENSG00000161016, ENSG00000105640	249	117	10709	6.249030309271274	5.303587087057693E-6	2.6570830274624197E-6	2.6518005562348603E-6
GOTERM_BP_DIRECT	GO:0006412~translation	19	7.251908396946565	1.1233189396937097E-8	ENSG00000142937, ENSG00000110700, ENSG00000172053, ENSG00000175634, ENSG00000196531, ENSG00000008988, ENSG00000116898, ENSG00000171863, ENSG00000071082, ENSG00000221983, ENSG00000143947, ENSG00000140988, ENSG00000186468, ENSG00000089157, ENSG00000164587, ENSG00000167526, ENSG00000142534, ENSG00000161016, ENSG00000105640	252	148	10635	5.41787323037323	1.6040865866817633E-5	8.014880634714619E-6	8.014880634714619E-6
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	128	48.854961832061065	2.986728887187382E-8	ENSG00000168090, ENSG00000213024, ENSG00000133706, ENSG00000142937, ENSG00000110700, ENSG00000104824, ENSG00000168894, ENSG00000130429, ENSG00000142945, ENSG00000107099, ENSG00000142669, ENSG00000168538, ENSG00000273611, ENSG00000100462, ENSG00000070831, ENSG00000141698, ENSG00000185559, ENSG00000167965, ENSG00000156256, ENSG00000113407, ENSG00000175634, ENSG00000113369, ENSG00000135451, ENSG00000204386, ENSG00000169756, ENSG00000116871, ENSG00000188493, ENSG00000010671, ENSG00000221983, ENSG00000102119, ENSG00000164506, ENSG00000164587, ENSG00000142534, ENSG00000140859, ENSG00000130811, ENSG00000249915, ENSG00000110321, ENSG00000171720, ENSG00000158941, ENSG00000115211, ENSG00000204536, ENSG00000159593, ENSG00000140988, ENSG00000160310, ENSG00000160678, ENSG00000184009, ENSG00000176170, ENSG00000142507, ENSG00000115204, ENSG00000170004, ENSG00000071082, ENSG00000022556, ENSG00000205339, ENSG00000143324, ENSG00000167996, ENSG00000143569, ENSG00000143727, ENSG00000125753, ENSG00000164924, ENSG00000089157, ENSG00000161016, ENSG00000105640, ENSG00000213465, ENSG00000108788, ENSG00000175387, ENSG00000114942, ENSG00000006757, ENSG00000114786, ENSG00000109917, ENSG00000171863, ENSG00000120314, ENSG00000055130, ENSG00000149930, ENSG00000087088, ENSG00000167526, ENSG00000166831, ENSG00000087087, ENSG00000150990, ENSG00000126261, ENSG00000114779, ENSG00000198930, ENSG00000134684, ENSG00000067369, ENSG00000159840, ENSG00000150991, ENSG00000133112, ENSG00000169710, ENSG00000175826, ENSG00000152804, ENSG00000143947, ENSG00000141524, ENSG00000124486, ENSG00000106992, ENSG00000103275, ENSG00000105576, ENSG00000076604, ENSG00000104884, ENSG00000176014, ENSG00000105613, ENSG00000172053, ENSG00000119383, ENSG00000111057, ENSG00000104529, ENSG00000088038, ENSG00000186468, ENSG00000102225, ENSG00000185379, ENSG00000087460, ENSG00000130985, ENSG00000198791, ENSG00000196531, ENSG00000198830, ENSG00000008988, ENSG00000155229, ENSG00000242372, ENSG00000173039, ENSG00000143126, ENSG00000170315, ENSG00000168522, ENSG00000137133, ENSG00000164163, ENSG00000258947, ENSG00000123136, ENSG00000122203, ENSG00000203879, ENSG00000126247, ENSG00000104231, ENSG00000278259	254	3759	11171	1.4976005094335274	1.2275380563475657E-5	6.13772786317007E-6	5.988391418810701E-6
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	10	3.816793893129771	1.2490287741458525E-7	ENSG00000142937, ENSG00000110700, ENSG00000221983, ENSG00000143947, ENSG00000186468, ENSG00000140988, ENSG00000008988, ENSG00000164587, ENSG00000171863, ENSG00000142534	254	38	11171	11.57376709490261	5.13337681837811E-5	1.711169420579818E-5	1.6695351281082895E-5
GOTERM_CC_DIRECT	GO:0005840~ribosome	15	5.7251908396946565	4.6398641692957116E-7	ENSG00000142937, ENSG00000110700, ENSG00000008988, ENSG00000171863, ENSG00000071082, ENSG00000221983, ENSG00000143947, ENSG00000140988, ENSG00000186468, ENSG00000089157, ENSG00000164587, ENSG00000167526, ENSG00000142534, ENSG00000161016, ENSG00000105640	254	119	11171	5.543737179911335	1.9068027981306024E-4	4.7674604339513435E-5	4.6514638297189506E-5
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	95	36.25954198473282	7.999151224772408E-7	ENSG00000213465, ENSG00000168090, ENSG00000108788, ENSG00000213024, ENSG00000176476, ENSG00000175387, ENSG00000142937, ENSG00000110700, ENSG00000104824, ENSG00000109917, ENSG00000114982, ENSG00000241370, ENSG00000168291, ENSG00000171863, ENSG00000145734, ENSG00000120314, ENSG00000115350, ENSG00000055130, ENSG00000204356, ENSG00000168495, ENSG00000149930, ENSG00000100462, ENSG00000105197, ENSG00000087087, ENSG00000141971, ENSG00000167965, ENSG00000130520, ENSG00000179950, ENSG00000104774, ENSG00000150990, ENSG00000156256, ENSG00000126261, ENSG00000114779, ENSG00000175634, ENSG00000139613, ENSG00000169230, ENSG00000067369, ENSG00000196313, ENSG00000150991, ENSG00000133112, ENSG00000131652, ENSG00000134686, ENSG00000011007, ENSG00000221983, ENSG00000100897, ENSG00000102119, ENSG00000143947, ENSG00000188976, ENSG00000164587, ENSG00000105220, ENSG00000142534, ENSG00000102034, ENSG00000103275, ENSG00000076924, ENSG00000104960, ENSG00000113719, ENSG00000076604, ENSG00000104884, ENSG00000249915, ENSG00000174231, ENSG00000119383, ENSG00000106628, ENSG00000205220, ENSG00000105618, ENSG00000104529, ENSG00000176731, ENSG00000171720, ENSG00000158941, ENSG00000258315, ENSG00000140988, ENSG00000013275, ENSG00000186468, ENSG00000122550, ENSG00000160310, ENSG00000185379, ENSG00000160678, ENSG00000149636, ENSG00000179335, ENSG00000111726, ENSG00000130985, ENSG00000142507, ENSG00000167272, ENSG00000008988, ENSG00000116898, ENSG00000155229, ENSG00000170004, ENSG00000242372, ENSG00000173039, ENSG00000205339, ENSG00000170315, ENSG00000174917, ENSG00000123136, ENSG00000164924, ENSG00000184634, ENSG00000163159	254	2643	11171	1.580828574067288	3.2871120945709986E-4	6.575302306762919E-5	6.415319282267472E-5
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	63	24.045801526717558	1.0942316175406978E-6	ENSG00000142937, ENSG00000110700, ENSG00000104824, ENSG00000076662, ENSG00000119888, ENSG00000169223, ENSG00000130429, ENSG00000087088, ENSG00000142669, ENSG00000070831, ENSG00000166710, ENSG00000141971, ENSG00000104774, ENSG00000113407, ENSG00000115307, ENSG00000114779, ENSG00000204386, ENSG00000150991, ENSG00000133112, ENSG00000030582, ENSG00000169710, ENSG00000149925, ENSG00000221983, ENSG00000166165, ENSG00000143947, ENSG00000140391, ENSG00000141524, ENSG00000106397, ENSG00000185624, ENSG00000164587, ENSG00000105220, ENSG00000142534, ENSG00000106992, ENSG00000176014, ENSG00000140859, ENSG00000249915, ENSG00000119383, ENSG00000196465, ENSG00000111057, ENSG00000140988, ENSG00000184009, ENSG00000087460, ENSG00000129353, ENSG00000130985, ENSG00000142507, ENSG00000106615, ENSG00000196531, ENSG00000008988, ENSG00000196576, ENSG00000242372, ENSG00000071082, ENSG00000170315, ENSG00000167996, ENSG00000258947, ENSG00000143727, ENSG00000188157, ENSG00000125753, ENSG00000164924, ENSG00000089597, ENSG00000089157, ENSG00000149428, ENSG00000169738, ENSG00000126247	254	1498	11171	1.8496394142320993	4.496283277355406E-4	7.151750812709284E-5	6.97774227712025E-5
