Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	91	50.0	5.572789685961268E-45	ENSG00000134318, ENSG00000133226, ENSG00000076108, ENSG00000092199, ENSG00000072501, ENSG00000101191, ENSG00000142937, ENSG00000114867, ENSG00000242265, ENSG00000175467, ENSG00000115677, ENSG00000086758, ENSG00000116560, ENSG00000182481, ENSG00000109111, ENSG00000126777, ENSG00000149136, ENSG00000087365, ENSG00000143793, ENSG00000106682, ENSG00000141456, ENSG00000070756, ENSG00000125691, ENSG00000130520, ENSG00000132424, ENSG00000182944, ENSG00000153187, ENSG00000096746, ENSG00000239306, ENSG00000137710, ENSG00000138326, ENSG00000196235, ENSG00000131051, ENSG00000132341, ENSG00000173575, ENSG00000082898, ENSG00000116754, ENSG00000117523, ENSG00000132300, ENSG00000140350, ENSG00000089737, ENSG00000137154, ENSG00000182196, ENSG00000231500, ENSG00000063046, ENSG00000188976, ENSG00000164548, ENSG00000185624, ENSG00000142534, ENSG00000108654, ENSG00000065150, ENSG00000198242, ENSG00000108848, ENSG00000198563, ENSG00000174231, ENSG00000129460, ENSG00000135387, ENSG00000265681, ENSG00000130175, ENSG00000144028, ENSG00000010244, ENSG00000125944, ENSG00000169045, ENSG00000183431, ENSG00000106263, ENSG00000100201, ENSG00000168439, ENSG00000188846, ENSG00000102054, ENSG00000105202, ENSG00000198231, ENSG00000174243, ENSG00000118181, ENSG00000197102, ENSG00000008988, ENSG00000205531, ENSG00000198755, ENSG00000115524, ENSG00000179218, ENSG00000071082, ENSG00000159140, ENSG00000100836, ENSG00000124228, ENSG00000127616, ENSG00000130816, ENSG00000108592, ENSG00000108312, ENSG00000122566, ENSG00000143321, ENSG00000187109, ENSG00000161016	180	1024	10709	5.287103949652778	1.88917570354087E-42	1.894748493226831E-42	1.8223022273093346E-42
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	93	51.098901098901095	4.850279906208961E-16	ENSG00000177200, ENSG00000168090, ENSG00000133226, ENSG00000092199, ENSG00000072501, ENSG00000068400, ENSG00000136819, ENSG00000142937, ENSG00000242265, ENSG00000175467, ENSG00000138434, ENSG00000168259, ENSG00000086758, ENSG00000116560, ENSG00000182481, ENSG00000109111, ENSG00000149136, ENSG00000087365, ENSG00000141456, ENSG00000125691, ENSG00000130520, ENSG00000132424, ENSG00000182944, ENSG00000153187, ENSG00000096746, ENSG00000239306, ENSG00000138326, ENSG00000196235, ENSG00000131051, ENSG00000132341, ENSG00000082898, ENSG00000116754, ENSG00000135655, ENSG00000132300, ENSG00000140350, ENSG00000166164, ENSG00000137154, ENSG00000231500, ENSG00000151914, ENSG00000165516, ENSG00000163931, ENSG00000188976, ENSG00000164548, ENSG00000078403, ENSG00000142534, ENSG00000108654, ENSG00000065150, ENSG00000095564, ENSG00000092010, ENSG00000160789, ENSG00000108848, ENSG00000198563, ENSG00000175166, ENSG00000174231, ENSG00000129460, ENSG00000104529, ENSG00000156802, ENSG00000150540, ENSG00000204371, ENSG00000144028, ENSG00000010244, ENSG00000125944, ENSG00000169045, ENSG00000121022, ENSG00000183431, ENSG00000187514, ENSG00000100201, ENSG00000102054, ENSG00000105202, ENSG00000198231, ENSG00000239920, ENSG00000099875, ENSG00000174243, ENSG00000118181, ENSG00000111602, ENSG00000172466, ENSG00000008988, ENSG00000115524, ENSG00000111642, ENSG00000170322, ENSG00000058272, ENSG00000170315, ENSG00000100836, ENSG00000115241, ENSG00000127616, ENSG00000129559, ENSG00000166508, ENSG00000130816, ENSG00000108592, ENSG00000108312, ENSG00000122566, ENSG00000143321, ENSG00000148337	180	2643	11171	2.1837621389834787	1.5232259897857148E-13	1.6636460078296738E-13	1.5617901297992854E-13
GOTERM_CC_DIRECT	GO:0005634~nucleus	110	60.43956043956044	1.2412888112230282E-15	ENSG00000168090, ENSG00000092199, ENSG00000072501, ENSG00000136819, ENSG00000142937, ENSG00000114867, ENSG00000144283, ENSG00000175467, ENSG00000115677, ENSG00000086758, ENSG00000123349, ENSG00000086232, ENSG00000141456, ENSG00000182944, ENSG00000239306, ENSG00000138326, ENSG00000132341, ENSG00000173575, ENSG00000082898, ENSG00000116754, ENSG00000140350, ENSG00000151914, ENSG00000198242, ENSG00000160789, ENSG00000265681, ENSG00000156802, ENSG00000135821, ENSG00000204371, ENSG00000144028, ENSG00000121022, ENSG00000187514, ENSG00000183431, ENSG00000168439, ENSG00000198231, ENSG00000099875, ENSG00000111642, ENSG00000198755, ENSG00000179218, ENSG00000171603, ENSG00000167996, ENSG00000129559, ENSG00000130816, ENSG00000108592, ENSG00000143321, ENSG00000187109, ENSG00000148337, ENSG00000134318, ENSG00000133226, ENSG00000076108, ENSG00000101191, ENSG00000116560, ENSG00000182481, ENSG00000100304, ENSG00000149136, ENSG00000087365, ENSG00000070756, ENSG00000130520, ENSG00000153187, ENSG00000096746, ENSG00000131051, ENSG00000196235, ENSG00000118482, ENSG00000265972, ENSG00000135655, ENSG00000115464, ENSG00000166164, ENSG00000137154, ENSG00000231500, ENSG00000182196, ENSG00000165516, ENSG00000188976, ENSG00000078403, ENSG00000164548, ENSG00000108654, ENSG00000065150, ENSG00000108848, ENSG00000104765, ENSG00000198563, ENSG00000175166, ENSG00000174231, ENSG00000104529, ENSG00000136436, ENSG00000140264, ENSG00000010244, ENSG00000125944, ENSG00000169045, ENSG00000164032, ENSG00000100201, ENSG00000165525, ENSG00000087460, ENSG00000102054, ENSG00000105202, ENSG00000118181, ENSG00000174243, ENSG00000133858, ENSG00000111602, ENSG00000196531, ENSG00000172466, ENSG00000205531, ENSG00000115524, ENSG00000170322, ENSG00000170315, ENSG00000115241, ENSG00000100836, ENSG00000117385, ENSG00000127616, ENSG00000254505, ENSG00000166508, ENSG00000122566, ENSG00000108312	180	3580	11171	1.9069056486654254	4.1888714719107156E-13	2.1288103112474932E-13	1.9984749860690754E-13
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	21	11.538461538461538	2.3902214521431637E-14	ENSG00000130520, ENSG00000133226, ENSG00000092199, ENSG00000153187, ENSG00000136819, ENSG00000198563, ENSG00000096746, ENSG00000239306, ENSG00000174243, ENSG00000174231, ENSG00000175467, ENSG00000115524, ENSG00000144028, ENSG00000125944, ENSG00000169045, ENSG00000183431, ENSG00000164548, ENSG00000087365, ENSG00000122566, ENSG00000108654, ENSG00000070756	177	129	10635	9.781237682301931	2.4705237855471296E-11	2.4714889815160314E-11	2.4571476528031724E-11
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	15	8.241758241758241	8.326397689582398E-13	ENSG00000133226, ENSG00000092199, ENSG00000153187, ENSG00000174243, ENSG00000174231, ENSG00000175467, ENSG00000115524, ENSG00000144028, ENSG00000125944, ENSG00000169045, ENSG00000183431, ENSG00000087365, ENSG00000122566, ENSG00000108654, ENSG00000070756	180	63	11171	14.776455026455025	2.856048730848215E-10	9.519848025089208E-11	8.93700018681844E-11
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	15	8.241758241758241	1.0565889229568242E-11	ENSG00000125691, ENSG00000198242, ENSG00000118181, ENSG00000142937, ENSG00000138326, ENSG00000008988, ENSG00000198755, ENSG00000265681, ENSG00000071082, ENSG00000137154, ENSG00000231500, ENSG00000142534, ENSG00000165525, ENSG00000161016, ENSG00000188846	180	75	11171	12.412222222222223	3.6240973555479172E-9	9.060250014354768E-10	8.505540829802434E-10
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	25	13.736263736263737	1.1360751320027976E-10	ENSG00000133226, ENSG00000076108, ENSG00000160789, ENSG00000104765, ENSG00000108848, ENSG00000198563, ENSG00000174231, ENSG00000175467, ENSG00000204371, ENSG00000116560, ENSG00000183431, ENSG00000100201, ENSG00000087365, ENSG00000132424, ENSG00000153187, ENSG00000198231, ENSG00000239306, ENSG00000131051, ENSG00000115524, ENSG00000116754, ENSG00000159140, ENSG00000100836, ENSG00000182196, ENSG00000108654, ENSG00000140553	180	307	11171	5.053836409699602	3.8967394977440506E-8	7.793475405539192E-9	7.316323850098017E-9
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	14	7.6923076923076925	1.628674537341554E-10	ENSG00000125691, ENSG00000198242, ENSG00000118181, ENSG00000142937, ENSG00000138326, ENSG00000008988, ENSG00000198755, ENSG00000265681, ENSG00000071082, ENSG00000137154, ENSG00000231500, ENSG00000142534, ENSG00000161016, ENSG00000188846	177	73	10635	11.523101927095427	1.6856784545993264E-7	8.420247358055834E-8	8.371387121935587E-8
GOTERM_CC_DIRECT	GO:0005829~cytosol	102	56.043956043956044	1.8014179629289896E-10	ENSG00000168090, ENSG00000092199, ENSG00000072501, ENSG00000068400, ENSG00000136819, ENSG00000133706, ENSG00000142937, ENSG00000114867, ENSG00000242265, ENSG00000175467, ENSG00000151779, ENSG00000115677, ENSG00000138434, ENSG00000168259, ENSG00000086758, ENSG00000008294, ENSG00000123349, ENSG00000144848, ENSG00000106682, ENSG00000078618, ENSG00000138326, ENSG00000132341, ENSG00000082898, ENSG00000137076, ENSG00000127837, ENSG00000151914, ENSG00000163931, ENSG00000122786, ENSG00000142534, ENSG00000198242, ENSG00000160789, ENSG00000135387, ENSG00000265681, ENSG00000135821, ENSG00000150540, ENSG00000121022, ENSG00000187514, ENSG00000168439, ENSG00000188846, ENSG00000198231, ENSG00000105401, ENSG00000198755, ENSG00000179218, ENSG00000058272, ENSG00000071082, ENSG00000167996, ENSG00000120742, ENSG00000129559, ENSG00000161016, ENSG00000177200, ENSG00000134318, ENSG00000133226, ENSG00000076108, ENSG00000142102, ENSG00000116560, ENSG00000225697, ENSG00000182481, ENSG00000100304, ENSG00000070756, ENSG00000132424, ENSG00000125691, ENSG00000130520, ENSG00000153187, ENSG00000134440, ENSG00000265972, ENSG00000117523, ENSG00000135655, ENSG00000115464, ENSG00000116675, ENSG00000132300, ENSG00000166164, ENSG00000137154, ENSG00000231500, ENSG00000063046, ENSG00000188976, ENSG00000078403, ENSG00000185624, ENSG00000108654, ENSG00000140553, ENSG00000065150, ENSG00000092010, ENSG00000175166, ENSG00000104529, ENSG00000136436, ENSG00000177106, ENSG00000140264, ENSG00000169045, ENSG00000106263, ENSG00000100201, ENSG00000165525, ENSG00000087460, ENSG00000102054, ENSG00000239920, ENSG00000118181, ENSG00000197102, ENSG00000008988, ENSG00000119397, ENSG00000170315, ENSG00000077380, ENSG00000254505, ENSG00000184432, ENSG00000166508	180	3738	11171	1.6934813625824863	6.178863221073527E-8	1.0298106021410723E-8	9.667609734385576E-9
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	15	8.241758241758241	2.521256505490372E-10	ENSG00000130520, ENSG00000133226, ENSG00000092199, ENSG00000136819, ENSG00000198563, ENSG00000096746, ENSG00000174231, ENSG00000115524, ENSG00000144028, ENSG00000125944, ENSG00000183431, ENSG00000164548, ENSG00000087365, ENSG00000122566, ENSG00000108654	180	94	11171	9.903368794326239	8.647909544023946E-8	1.2354156876902822E-8	1.1597779925255712E-8
