HEK1	HEK2	Hela1	Hela2	UHRR1	UHRR2
1I_H3F3B___ENSG00000132475___ENST00000587560___protein_coding___protein_coding	180	30	0	0	185	38
3I_RAN___ENSG00000132341___ENST00000543796___protein_coding___protein_coding	325	74	203	29	195	26
7I_EIF4A1___ENSG00000161960___ENST00000578495___protein_coding___protein_coding	1033	448	413	78	565	181
4I_SEMA4C___ENSG00000168758___ENST00000305476___protein_coding___protein_coding	360	118	136	26	655	363
4I_JUP___ENSG00000173801___ENST00000393930___protein_coding___protein_coding	131	23	2483	1335	127	43
1I_FTH1___ENSG00000167996___ENST00000532601___protein_coding___protein_coding	0	0	1866	892	39	4
11I_THBS1___ENSG00000137801___ENST00000260356___protein_coding___protein_coding	125	15	0	0	1023	239
16I_POLG___ENSG00000140521___ENST00000637264___protein_coding___protein_coding	644	129	327	73	504	122
2I_ACTB___ENSG00000075624___ENST00000464611___protein_coding___protein_coding	1933	598	1468	412	4232	1863
1I_RPS2___ENSG00000140988___ENST00000526586___protein_coding___protein_coding	1001	225	346	62	411	94
