AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
AATF	11.9411399647565	0.479250681844345	0	0	0	0	0	0	0	0	0	0.062547133498849	0	0	0.479250681844345	0	0	0	0	0	0	0	0	0	0	2.00790791672779	0.690490822322372	0	0	0	0	0	0	0.4300449558494	0	0	0	0	0	0	0	0.105823356388047	0	0	0	0	0	0	0	0	0.109442987594659	0	0	0	0	0	2.39303565780845	0	0	0	0	0	4.11221231254392	3.1256932218078	0	6.7072493839557	0	0	0	0.426077629890368	0	0.479250681844345	0	0	0	2.27519908268459	0	0	0.260147694800101	0	0.0684997555437286	0.131441482505515	0.114820683440379	0	0	0	0	0	0	2.84784923372715	0	0	0	0	0.199962550806572	0.594703953893283	0	0	0	0.298813054965482	0.190375983219083	0	0	0	0.0856651769576796	0	0	0.423977477173546	0	0	0	0.265113252736515	0	0	0.00649862980982869	3.21823037427521	0	0
ABCF1	0.598374526468297	0.694595168278052	0	0	0	0	0	0	0	0	0	0	0	0	0.694595168278052	0	0	0	0	0	0	0	0	0	0	0.643208182282248	0	0	0	0	0	0	0	0.727524389770311	0	0	0	0	0	0	0	0.467770485645473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739049761005837	0	0	0	0	0	0.677405967259422	0.622892326884702	0	0.497511803430532	0	0	0	0	0	0.694595168278052	0	0	0	0.728675243374325	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343794439224781	0	0	0	0	0.42469053008282	0	0	0	0	0	0	0	0	0	0.229490034002419	0	0	0.598925579100474	0	0	0	0	0	0	0	0.698416620329144	0	0
AGGF1	0	0	4.72510491733019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220709067313769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0381938927412988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00581421577836117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192434371741078	0	0	0	0.00102699192602733	0	0	0	0	0	0	0	0	0	0	0	0
AGO	0	0	0	78.9864471081375	0	0	0	-2.67935542544617	-0.88239500575953	-0.451896954361681	0	0	0	0	0	-0.152323205216402	-0.222011923451293	0	0	0	0	0	0	0	6.15533592347187	0	0	-1.68382926043078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.11455717865776	0	0	0	0	0	0	0	0	0	-0.287935859786226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.952383722449305	0	-2.4147671923726	0	0	0	0	-0.0585012029032852	-0.0940209622952026	-0.131441482505515	0	0	0	0	-0.539839534080331	-1.63341943032184	0	0	0	0	0	0	0	0	0	0	0	-0.239761107048062	0	-0.0929313150901859	0	-0.0306394695885918	-0.726338817773482	-1.52517529981759	0	0	0	0.104491955677133	0	0	0	0	0	0	-2.33901909815722	-0.275090965222283
AKAP1	0	0	0	0	1.99546312297333	0	0	0	0	0	0	0	0	0	0	0	0.271022359762656	0	0	0.402933516811196	0	0	0	0	0	0	0	0	0	0.53259811529504	0	0	0	0	0	0	0.0295949319586034	0	0	0	0	0.438825094808139	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239926182200914	0	0	0	0	0	0	0	0	0	0	0	0.293274608848019	0	0.20655222513357	0.206971653015586	0	0	0	0	0	0	0	0	0	0.0768680305316424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.359643848760514	0	0	0	0	0	0	0	0.108779137955361	0.168259267548185	0	0.229961021433783	0	0	0	0	0	0.0892626728351712	0	0	0	0	0
AKAP8L	0	0	0	0	0	5.53356923393787	0	0	0	0	0	0	0	0.129400555443675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169441998450741	0	0	0	0	0.107560471769211	0	0	0	0	0	0	0	0	0	0	0.0853570250689526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0410617482103773	0	0	0	0	0	0	0	0.151144395529257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102699192602733	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	0	0	0	0	0	0	9.07374929705086	0	1.28000777578401	0	0.144873410179312	0	0	0	0	0	0.310639035243512	0	0	0.881252562896171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646361954668454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60750172563745	0	0.147581948846356	0	0	0	0.037206498494473	0	0	0	0	0	1.11061095331863	0	0.0309100399222525	0	0	0	0	0	0	0.47758684563693	0	0	0	0	0.31161343506903	0	0.298326484729456	0	0	0	0	0	0	0	0	0	0	0	0.806038328533041	0	0	0	0.379327468386757	0	0	0	0	0	0.261202376874586	0	0	0	0	0	0	0	0	0.634653276102394	0	0.489665437112125	0.376648227550709
AQR	-0.382498780020489	0	0	-0.868541810431106	0	0	0	43.0686115941441	-1.86400526996915	0	0	0	0	0	0	-0.446644909916529	0	0	0	0	0	0	0	0	-1.11285153659085	0	0	-1.68382926043078	0	0	0	0	0	-0.0111045398338416	0	0	0	0	0	-0.291607560726959	-0.209208616329145	0	0	0	-0.408212587121484	0	0	0	0	0	-0.0956407821394802	0	0	0	0	-0.194023871958348	-0.0398141799436953	-0.147581948846356	0	0	0	0	-0.298487723477944	0	0	0	0	-0.653400038269738	0	0	0	0	-2.81832677241892	0	0.00581421577836117	0	-0.137844108584646	0	0	0	0	0	0	0	0	0	-0.0947134682144801	-1.75612047262818	0	-0.861495190744336	0	0	0	0	0	0	0	0	0	-0.17987444513119	0	0	0	-0.00588672040775312	-0.396481539559583	-1.45709543098984	0	0	0	0	0	0	-0.0892626728351712	0	0	0	-0.651413858167501	-0.974355066508871
BCLAF1	-0.13171103633723	0	0	-0.107760299829198	0	0	0.18378562045695	-1.3250899867482	58.1242998400171	-0.748485151191003	0.0868800231906491	0	0	0	0	0	-0.271022359762656	0	0	0	0	0	0	0	-0.490236126446424	0	0	-0.436941815865566	0	0	0	0	0	0	0	0	0	0	0	0.158573006814494	0.778274422307554	0	0	0	0	0	0.37146669017283	0	0	0	0	0	0	0	0.503282700920901	0	0	0	0	0	0	0	0	0	0	-0.307234630345392	0	0	0	0	0	0	0	-0.193686639171028	-1.49052295224297	0	0.137844108584646	0	0	-0.0585012029032852	0	-0.049362267531166	0	-0.298326484729456	0	0	-0.114185574966068	-1.43572536479766	0	-0.150360773367315	0	0	0	0	0	0	0	0	0	0.0701695860949537	0.0162586933808973	0.356021071075074	0	0	0	2.70940782449742	0	0	0	0	0	-0.174603047520349	0	0	0	0	2.58575196624145	1.08215880883683
BUD13	0	0	0	0	0	0	0	0.70384486707837	-0.463042487602726	51.4296364648329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.22928407270065	-0.127955632175227	0	0.056229776903965	0	0	0	0	0	0	0	0	0	0	0	-0.216488720938824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.588211883485677	0	0	-0.0281312545239577	0	-0.589659253010358	0	0	0	0	0	0	0	-0.0844143986990051	0	0	0	0	0	0	0	0	0	0	0	0	0.0644314319384807	0	0	0	0	0	0	0	0	-0.177785481436275	0	0	0	0	0	-0.0191037111186435	0	0	0	-0.0701695860949537	0	0	0	-0.00588672040775312	-0.27505589572066	0	0	0	0	0	0	0.238273217082639	0	0	0	0	0	0
CDC40	0	0	0	0	0	0	0.0624280904465346	0	0.564678413419719	0	10.9892308803915	0	0	0	0	0	0	0.294914188170524	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0178017227979359	0	0	0.288204585827341	0	0	0.0715457069578851	0	0.57452080988062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853185348994548	0	0	0.0659100466467141	0	0	0	0	0	0	0	0.0217832444922351	0	0.0165898221509278	0	0	0	0	0	0	0	0.277378739601695	0	0	0	0	0	0	0	0	0	0	0.0758732872100738	0	0	0.300383218620005	0	0	0	0	0	0.0832172861686076	0	0.191294572819284	0	0.379327468386757	0	0	0	0.00588672040775312	0	0.49216431183592	0	0.468290360023431	1.44337371782999	0	0	0.174603047520349	0	0	0	0	0	1.34643947305181
CPSF6	0.481928062102946	0	0	0	0	0	0	0	0	0	0	4.47240508969864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137844108584646	0	0	0	0	0	0	0.0632524190107014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12086649316233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2	0	0	0	0	0	0	0	0	0	0	0	0	0.993386425386685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287935859786226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
