AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FKBP4BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
AATF	10.5145988659413	0.736173951727618	0	0	0	0	0	0.0421811475257426	0	0	0	0	0	0.166230721304463	0	0	0	0	0	0	0	0	6.00570077476623	0	0	0	0	0	0	0	0.166230721304463	0	0	0	0	0	0.0114591482518447	0	0	0	0	0	0	0	0	0	0	0.125301358101855	0	0	0	0	0.205932390777855	0	5.78283730476758	0	0	0	0	0	6.40043810753103	6.80536264704098	0	7.88953105296231	0	0.0387022459738631	0	0	0	0.820892621677323	0	0	0	3.05217800023225	0	0	0	0	0	0	0	0	0.181510384140218	0	0	0	2.70327026470358	0	0	0	0	0.651217105885189	1.31654763921723	0	0	0	0	0	0	0	0	0.0589984349823634	0	0	2.02081532623286	0	0	0	0	0	0	5.63542761934173	0	0	0
ABCF1	1.04740726143924	1.51216166952011	0	0	0	0	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.966716147728481	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.233416429190456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306683337966468	0	0	0	0	0	1.21436305136799	0.235471975652585	0	0.852283841118986	0	0	0	0	0	0.604469116260998	0	0	0	1.26612601842312	0	0	0	0	0	0	0	0	0	0	0	0	0.607383182319582	0	0	0	0	0.550690859712324	0	0	0	0	0	0	0	0	0	0	0	0	0.475362326634641	0	0	0	0	0	0	0.231365293423913	0	0	0
AGGF1	0	0	4.1824286699441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600234016436918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110199978332202	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0681229945516922	0
AGO	0	0	0	42.047839207215	0	0	0	-0.274894037046401	-0.348439244968705	-0.3018653190293	0	0	0	0	0	0	0	0	0	0	0	0.874481835483074	0	0	-0.544387542890709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0875346394841481	0	0	0	0	0	0	0	0	0	0	0	-0.172138408117516	0	0	-0.25664104157337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.244967856847726	0	-0.707640376727388	0	0	0	0	0	0	0	0	0	0	0	0	-0.88361180009105	-0.084447430968947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10715000010415	-0.0818421761968817	0	0	0	0	0	0	0	0	-0.353086911970996	-0.42816619442945	0
AKAP1	0	0	0	0	0.39170561351505	0	0	0	0	0	0	0	0	0	0	0.0581502971433013	0	0	0.367149316826133	0	0	0	0	0	0	0	0.376921256162547	0	0	0	0	0	0	0	0	0.314365021915147	0	0	0	0.233416429190456	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204465643719551	0	0	0	0	0	0	0	0	0	0	0	0.248227670210244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.345349206466987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197687766152112	0	0	0	0	0
AKAP8L	0	0	0	0	0	0.419617440906802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449162632720282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747384638814752	0	0
APOBEC3C	0	0	0	0	0	0	3.96119287493104	0	0.216583375355233	0	0.00731016170287087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191980427529862	0	0.122103979634009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297248909991249	0.0637290669844711	0	0	0	0	0	0	0	0	0	0	0	0.891135322752249	0	0	0	0	0	0	0	0	0.596663954573595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161955760517108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172198401695392	0	0	0	0	0.0607141685668657	0
AQR	-0.0596301525121257	0	0	0	0	0	0	20.2105228810138	-1.72280721050863	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.055295090433157	0	-0.544387542890709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.204465643719551	-0.146529230203987	0	0	0	0	0	0	-0.0431445480422051	0	0	0	-0.261190235841509	0	0	0	0	-0.369102420838872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.506648093220101	-0.607383182319582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0999718277777646	-0.792713062638931	-0.573735351246619	0	0	0	0	0	0	0	0	-0.0711470401912722	-0.330092285962175	0
BCLAF1	-0.24466109156276	0	0	0	0	0	0	-1.03126142240018	37.5531594964874	-0.262561095491129	0	0	0	0	0	-0.0581502971433013	0	0	0	0	0	0	-0.838712416289347	0	-0.544387542890709	0	0	0	0	0	0	0	0	0	0	0	0	1.50704218096848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205932390777855	0	0	0	0	0	0	0	0	-0.0131185527788777	0	-0.649669666507614	0	0	0	0	0	0	0	-0.194238689997083	-1.05620230994009	0	0.0357206013555773	0	0	0	0	0	0	-0.0477848180644171	0	0	0	-1.13468063476689	-1.32249775918034	0	0	0	0	0	0	0	0	0	0	0	0	1.30354766647386	0	0	0	2.08689863607554	0	0	0	0	-0.571413512439725	0	0	-0.196685483816737	2.37247450703502	1.15062940958379	0
BUD13	0	0	0	0	0	0	0	0.109845899293255	-0.125314158892856	27.3013772540436	0	0	0	0	0	0	0	0	0	0	0	0	-0.370065543389117	0	0.200303383401491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568142361034462	0	0	0	0	0	0	0	0	0	0	0	-0.263718893247467	-0.143115434438336	-0.0832749863496643	0	0	0	0	0	0	0	0	0	0	-0.232694285772297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.084447430968947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0273803651595711	0	0	0	0	0	0.0172198401695392	0	0	0	0	0	0
