AATFBF	AGGF1BF	AGOBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3HBF	EIF4G2BF	EWSR1BF	FAM120ABF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	HLTFBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SERBP1BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TIA1BF	TIAL1BF	TRA2ABF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
AATF	1.80564572157447	0	0	0	0	0	0	0	0.0797891626015489	0.111241365387797	0	0	0	0	0	0	0	0	0.0924113145985325	0	0	0	0.193381347165301	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966576310065571	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193264298913614	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1	0	1.48561389358905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287596930280118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100495126943501	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO	0	0	21.0815692265947	0	0	0	-0.601364967223968	0	0	0	0	0	0	0	0	0	1.34061871556284	0	0	-0.350441139420101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.176318513282819	0	0	0	0	0	0	0	0	0	-0.391947041552901	-1.57436879134558	0	0	0	0	0	0	0	0	0	0	0	0	-0.539377466076898	0	0	0	0	0	0	0	0	0	-0.263285390970685	0
APOBEC3C	0	0	0	0.0748207961025853	0	0	0	0	0	0	0	0.0266508383350853	0.279982398070931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188450587382902	0	0	0	0	0	0	0	0	0	0	0.0172825680800653	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0448789432053244	0	0	0	0	0	0	0	0	0	0.229113093951687	0	0.0347517017800452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQR	0	0	0	0	9.0190276605541	-0.0979500647191711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0680797991959946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0107446895195693	0	0	0	0	0	0	0	0	0	0
BCLAF1	0	0	0	0	0	11.5101179390748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142835505609147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0347517017800452	0.0626424989853554	0	0	0	0.625279651316537	0	0	0	0	0	0	0	0	0	0.11889612414303
BUD13	0	0	0	0	0	0	8.99138765565179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC40	0	0	0	0	0	0	0	2.05048186741204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134384878410392	0	0.0347517017800452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPSF6	0	0	0	0	0	0	0	0	1.55727370708694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000280282772999946	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100495126943501	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	0	0	0	0	0	0	0	0	0	3.19447447702206	0	0	0	0	0	0	0	0	0.0772046590400489	0	0	0.465564953673945	1.03459854321794	1.62883970900128	0	0	0	0	0	0	0	0	0	0	0	0	0.0570024289696716	0	0	0	0	0	0	0	0	0	0	0	0	0	0.933895540965825	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
