AATFBF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B1BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
AATF	9.52051237433115	0.174014357351703	0	0	0	0	0	0	0	0.136778092465662	0	0.0557913725018933	0	0.173934961813865	0	0.670685848346069	0	0	0.179376615457971	0	0	3.48231091625003	0.762602215681122	0	0.334594692849963	0	0	0	0.561218627453844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316282788386908	0.0345151136810267	0	0	0.014221357526522	0.384344419404702	3.47301532257135	0	0	0.36226857336777	0	1.00004227285325	3.32688728689312	3.35274842482112	0	0.273586768654112	4.93882937450257	0.579791632748866	0.228243792217353	0	0.0163304382858134	0	0.82133810847027	0	0	0	3.40606853294074	0	0	0.171369813968922	0	0.00328650104744495	0	0	0	0.139376765505811	0.590726173494233	0	0	0	0.316282788386908	0	1.85061618987166	0	0	0	0	0	0.381994050392907	0	0	1.01934179484853	0	0	0	0	0	0	0	0	0.949886920896399	0.910332567287647	0	0.153415657210066	0.096756923940046	0	0	0.052226589786911	2.64452361146382	0	0	1.01934179484853
AGGF1	0.33501867257861	4.94110826210519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126098455320705	0.409532198952226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220640058957584	0	0	0	0	0	0	0	0	0	0	0.385636329730984	0	0	0	0	0	0.404822074505655	0	0	0	0	0	0.346546224315176	0.357626335016109	0	0	0.210488457876399	0	0	0	0	0	0	0	0	0	0.404822074505655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385636329730984	0	0.182033404824599	0	0	0	0	0	0.177866701463975	0	0	0	0	0	0.774269254668412	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3716396177986	0	0	0
AGO	-0.507778984009367	0	60.913716929706	0	0	0	-2.14407556549368	0	-1.71403362839413	0	0	-0.0102566658096619	-0.291858390552964	-0.110880404609921	0	0	0	0	0	0	3.52199935053838	-0.095061489110382	-0.102235565613923	-1.23779843444012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0436279305262739	0	0	-0.408765197045884	0	0	0	0	0	0	0	0	0	-0.109553693819309	-0.0506694243837082	-0.0767563578804639	0	0	0	0	-0.0707620145385716	-0.041994251621252	-0.225968138858957	0	0	-0.091876182784402	0	0	0	-0.174755635676929	0	0	-1.5368322046752	0	-1.106543603661	0	0	0	0	-0.491416171981147	-0.0171224028421363	0	0	-0.207727278428361	0	0	-0.622529629576642	0	-2.31405762223802	0	0	-0.956811273041611	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0679099569487531	-0.460964600569072	-0.71082259911948	0	0	0	0	0	-0.096756923940046	0	0	0	0	-1.63598484116339	-0.0122057621775044	0
AKAP1	0	0	0	2.24536356895944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275579006990469	0	0	0	0	0	0	0	0	0	0	0	0.174755635676929	0.268965137007331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021127626359633	0	0	1.99375491927908	0	0	0	0	0	0	0	0	0	0	0	0
AKAP8L	0	0	0	0	4.73563214700905	0	0	0	0	0	0	1.01259743480616	0	0	0	0	0	0	0	0.208614966630238	0	0	0.300513302011536	0	0	0	0	0	1.02946760434431	0	0	0	0	0	0.045227866782315	0	0	0	0.173981938069982	0	0	0	0	0	0	0.0839723752768225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473261296225431	0	0	0	0	0.064971909603863	0	0	0.0472460891660605	0	0	0	0	0	0	0	0	0	0	0.428161453137114	0.478905137075814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	0	0	0	0	0	5.05283837354196	0	0.476806586357484	0	0.246241731409641	0	0	0	0.0855320454436202	0	0	0.0998664415435764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.855099051858224	0.336179071132257	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109553693819309	1.3153615298688	0	0	0	0	0	0.267138515891468	0	0	0	0	0	0	1.00202158736771	0	0	0.243981282387912	0	0	0	0	0	0.0619736911743137	0	0	0	0	0	0	1.14086179258587	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177866701463975	0	0	0	0.0104193893008046	0	0	0	0	0	0.130219376941062	0	0	0	0	0	0	0	0	0	0	0.238081515177721	0.451773579435818	0
AQR	-0.627369733140825	0	0	0	0	0	29.4765826966642	-1.05723458440954	0	-0.0652979598457623	0	-0.469083465472166	-0.129797500592898	0	0	-0.0293150467689491	0	0	0	0	-0.742215324188839	-0.370002308106658	0	-0.381917577047672	0	0	0	0	-0.876407131477765	0	0	0	0	0	0	0	0	0	0	0	0	-1.26023798393539	0	0	0	0	0	0	-0.0405988483035691	0	0	0	-0.262141432800048	-0.43681238075788	-0.728128092968791	0	-0.121892455792465	0	-0.143223141848821	-0.21093456762107	-0.357626335016109	0	0	0	-0.210056483216093	-0.228243792217353	0	0	0	-0.376718391303007	-2.06331880392532	0	0	-0.237263506343419	0	0	0	0	0	0	0	-0.00689371239242871	0	0	0	0	-0.852707996087391	0	0	-1.09944445590141	0	-0.158652948913521	0	0	0	0	0	0	-0.266906854086758	0	0	0	0	0	0	-1.21855012367635	0	-0.038280670396771	-0.170518584542344	0	0	0	0	0	0	0	-0.300863605632565	-0.475894256986944	-0.266906854086758
BCLAF1	-0.0611791431026251	0	0	0	0	0	-1.33321944781669	40.3931454334498	-0.4604331199876	0.246241731409641	0	0	0	-0.0855320454436202	0	0	0	0	0	0	-0.224554407344988	0	0	-0.639587040303968	0	0	0	0	0	0	0	0	0	0	0	0	0.626040912912467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138538995028191	-0.186060581931049	0	0	0	0	0	-0.0469303410298053	0	0	0	0	-0.091876182784402	0	0	0	0	0	0	0	-0.0650793613183085	-0.690456890560197	0	0	0	0	-0.088665167029099	0	0	0	-0.131575672604742	0	0	0	0	-1.27342364442918	0	0	-0.465463623924023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4747655703234	0	0	0	0	0	-0.0514930931107503	0	0	0	0	0.300863605632565	1.22273159517963	0
BUD13	-0.279342079519226	0	0	0	0	0	0.531655349764607	-0.059956543027744	32.1962973856645	0	0	-0.0647185876948088	0	0	0	-0.0293150467689491	0	0	0	0	-0.0811486263904664	-0.341052486758244	0	0.112118761824298	0	0	0	0	-0.410518773085456	0	0	0	0	0	0	0	0	0	0	0.100657844412614	0	0	0	0	0	0	0	0	0	0	0	0	-0.181968045232293	-0.0756849200309494	-0.0190971087881528	0	-0.36226857336777	0	-0.00451099690911104	0	0	0	0	0	-0.409987933002703	0	0	0	0	0	0	0	0.0130957092336515	-0.404822074505655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0560199158326676	-0.139609295121492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0149354241326134	-0.0207805707080457	0	0	0	0	0	0	0	0	0	0
CDC40	0.214771685515236	0	0	0	0	0	0	0.943493862516916	0	6.49087911882923	0	0	0	0	0.295026939501969	0.343307727294604	0	0	0.289330745035186	0	0	0.299910590586645	0.298046079478876	0	0	0	0	0.31029058485059	0	0	0	0.295026939501969	0	0	0	0	0.0875153594226677	0	0	0	0	0.0118371264244976	0	0	0	0	0	0	0	0	0	0.109553693819309	0.190664528879121	0.27223712815874	0	0	0	0	0	0.232119904950757	0.23707985712302	0	0.359674321449088	0.664724621713586	0	0.330164140534526	0	0	0	0.376718391303007	0	0	0	0.986925497767363	0	0	0	0	0	0	0	0	0.202340329581759	0	0	0	0	0	0	0.712034446017795	0	0	0	0	0	0.172830568244737	0	0.134199325794909	0.430312439804441	0	0	0	0	0	0	0.309091502746179	0	1.21044862681509	1.17551945038537	0	0.257712334598473	0	0	0	0	0.282358198034014	0	0.334655850840201	0.430312439804441
