AATFBF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B1BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
AATF	11.1112930674631	0.191651404544645	0	0	0	0	0	0	0	0.186358155358144	0.015601215196671	0.0383059923448323	0	0.193480679253228	0	0.610986424770909	0	0	0.223603547172536	0	0	0	4.55928493853451	0.907743999324867	0	0.38440373134086	0	0	0	0.667780107232856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328191553708212	0.0496118749815522	0	0	0	0.447760986419998	4.65695762514525	0	0	0.346061046512107	0	1.0580579067877	3.61511230092816	4.42483011754834	0	0.325317381981682	6.25692152451964	0.596312935161569	0.31633371990604	0	0.0199735132483791	0	0.927148694811383	0	0	0	4.65695762514525	0	0	0.224293785431992	0	0	0	0	0	0.189791115794461	0.463611337866822	0	0	0	0.328191553708212	0	2.5699837641996	0	0	0	0	0	0.377379760572597	0	0	1.12892461308335	0	0	0.00481605682389116	0	0	0	0	0	1.96555476228932	0.967460371916985	0	0.186148842022304	0.121316269476693	0	0	0	3.79932704274137	0	0	1.12892461308335
AGGF1	0.381932527798211	5.29597966937212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13994953789915	0.408717067556291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245453163985663	0	0	0	0	0	0	0	0	0	0	0.385221029822462	0	0	0	0	0	0.410060937527239	0	0	0	0	0	0.393705030892786	0.374565400327184	0	0	0.263377786435766	0	0	0	0	0	0	0	0	0	0.410060937527239	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385221029822462	0	0.210664602543671	0	0	0	0	0	0.140764583148325	0	0	0	0	0	0.84793339509004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3637085788636	0	0	0
AGO	-0.644332071707597	0	75.7971962785533	0	0	0	-3.54702835575056	-0.0763197032557956	-2.81356525625603	0	0	-0.0131061769166643	-0.809548641912214	-0.544313509362037	0	0	0	0	0	0	0	5.51207803039151	0	-0.259020375552562	-1.76423841789023	0	0	0	0	-0.00724342396637545	0	0	0	0	0	0	0	0	0	-0.178546516250366	-0.130244239102912	0	-0.931349707225013	0	0	0	0	0	0	0	0	0	-0.24821953915381	-0.133169209581408	-0.213088523380578	0	0	0	0	-0.0577779187716342	-0.0451830674741712	-0.330809874174869	0	0	-0.278574461026443	0	-0.000714344830170607	0	-0.213596549804388	0	0	-1.99226424711964	-0.0537309978817967	-1.93954967289381	0	0	0	0	-1.11138568935153	-0.124741788876418	-0.167720951827741	0	-0.286090415499257	0	0	-0.876572049125962	0	-2.99146427859759	0	0	-1.34656252240421	0	0	0	0	0	-0.102751789090378	0	0	0	-0.19154532523463	0	0	0	0	-0.23230482805603	-1.18234379038139	0	0	0	0.0295492773564836	0	-0.19050287912235	0	0	0	-0.027963651553245	-2.33214889348069	-0.152137777340867	0
AKAP1	0	0	0	2.42204457802654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0911053487042404	0	0	0	0	0	0	0	0	0	0	0	0.213596549804388	0.23408010761566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02575011472439	0	0	0	0	0	0	0	0	0	0	0	0
AKAP8L	0	0	0	0	5.09004941764555	0	0	0	0	0	0	1.18298100485219	0	0	0	0	0	0	0	0.156960596226488	0	0	0	0.309906174395594	0	0	0	0	0	1.10473720819613	0	0	0	0	0	0	0	0	0	0.202991256850761	0	0	0	0	0	0	0.0206505508373132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540384738156621	0	0	0	0	0.0643343894724934	0	0	0.0366802690276607	0	0	0	0	0	0	0	0	0	0	0.453201751800359	0.572840116870566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	0	0	0	0	0	5.49239918687351	0	0.487209544005473	0	0.266425417246556	0	0	0	0.0823254880505158	0	0	0.118584089239895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946995659554708	0.628601926205685	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0577908987597343	1.49815076093707	0	0	0.0299900168112486	0	0	0.28566887372571	0	0	0	0	0	0	1.2034413719642	0	0	0.23408010761566	0	0	0	0	0	0.0643343894724934	0	0	0	0	0	0	1.29307568902075	0	0	0	0	0	0	0	0	0	0	0.0162644108977166	0	0	0.140764583148325	0	0	0	0	0	0	0	0	0	0.174944939347358	0	0	0	0	0	0	0	0	0	0	0.261030645421178	0.536414060788921	0
AQR	-0.763656042883314	0	-0.749980673119276	0	0	0	36.0992601860119	-0.866438518126991	0	-0.15577955848474	0	-0.619321037541036	-0.335568618292818	0	0	-0.0106863129017215	0	0	-0.016277449148083	0	0	-0.970392197497554	-0.521340113532245	0	-0.605576976488583	0	0	0	0	-1.10473720819613	0	0	0	0	0	0	0	-0.220750633338249	0	0	0	0	-1.03436574172012	0	0	0	0	0	0	-0.0496118749815522	0	0	0	-0.529348524947945	-0.431875108303632	-0.790298049729364	0	-0.198207088858687	0	-0.153210820387938	-0.197864254449277	-0.453297497724634	0	0	-0.147486855871694	-0.041388507900144	-0.392207793819969	0	0	0	-0.379990961773202	-3.02572424629795	0	0	-0.271672021376736	0	0	0	0	0	0	0	-0.175697205970832	0	0	-0.265297190884049	0	-1.33075689721268	0	0	-1.34656252240421	0	-0.606088919446988	0	0	0	0	0	0	-0.25820381092301	0	0	0	0	0	0	-1.54997852281806	0	-0.100215703246647	-0.390832458507557	0	0	-0.0276019562560856	0	0	0	-0.00822993311559225	-0.675807243952166	-0.536414060788921	-0.25820381092301
BCLAF1	-0.164740767565905	0	0	0	0	0	-0.954802870892699	49.6429879009075	-0.700549048557837	0.203746884204559	0	0	0	-0.319830774459002	0	0	0	0	0	0	0	-0.232825935799338	0	0	-0.71888444336793	0	0	0	0	0	0	0	0	0	0	0	0	0.550113796282122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24821953915381	-0.28067313805125	0	0	0	0	0	-0.0363764322697012	0	0	0	0	-0.216627020507301	0	0	0	0	0	0	0	-0.266293870124866	-1.0939005671664	0	0	0	0	-0.280385150679525	-0.0427637947644793	-0.0575311619762614	0	0	0	0	0	0	-1.82203938916898	0	0	-0.572840116870566	0	0	0	0	0	0	0	0	0	0	0	0.0785084792263326	0	0	0	1.4769795367292	0	0	0	0	0	0	0	0	0	0	1.2216960157504	1.63380483436456	0
BUD13	-0.437105025160283	0	0	0	0	0	0.748872339365303	-0.131292913974728	40.0695409515307	0	0	-0.0495599013578313	0	0	0	-0.0106863129017215	0	0	0	0	0	-0.13994953789915	-0.558275759715183	0	0.237215171661431	0	0	0	0	-0.314074068409226	0	0	0	0	0	0	0	0	0	0	0.329848246542995	0	0	0	0	0	0	0	0	0	0	0	0	-0.301539601478744	-0.240374404036405	0	0	-0.235788411427387	0	0	0	-0.192627007159948	0	0	-0.130579748202539	-0.295924488924033	0	0	0	0	0	0	0	0.0523457215144432	-0.442696661181925	0	0	0	0.0675103034406382	0	0	0	0	0	0	0	0	0	0	0	-0.172709087243156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.266851973187918	-0.182809342560002	0	0	0	0	0	0	0	0	0	0
CDC40	0.164740767565905	0	0	0	0	0	0	0.587514259518064	0	9.72762025926296	0	0	0	0	0.244041203591467	0.257737797809478	0	0	0.261985202343165	0	0	0	0.173274950063413	0.259020375552562	0	0	0	0	0.347193199675972	0	0	0	0.165926706312939	0	0	0	0	0.712797581001858	0	0	0.16346452100947	0	0	0	0	0	0	0	0	0	0	0	0.259278813147197	0.529348524947945	0.201132145303393	0.0745894623307413	0	0	0	0	0.197864254449277	0.165361380955227	0	0.382520433314895	0.525148270658749	0	0.337300575730233	0	0	0	0.340245807317051	0	0	0	0.832706499139957	0	0	0	0	0	0.133798988416949	0	0	0.201523268255157	0	0	0	0	0	0	0.572840116870566	0	0	0	0	0	0.102751789090378	0	0.0330385117110992	0.380536832808846	0.622357868687196	0	0	0	0	0	0.554821455094549	0	1.14595195401733	1.83706489431102	0	0.22863066611039	0	0	0	0	0.177239200615792	0	0.233779180730703	0.380536832808846
