File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF697PTM	tar	tar		differential splicing quantifications	hg19	ENCSR336TYW	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:SAFB'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6294/'], '@type': ['Target', 'Item'], 'label': 'SAFB', 'title': 'SAFB (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'chromatin remodeler'], 'uuid': '5d372e39-88f3-4a01-a7b5-293fa583db92', 'schema_version': '14', 'name': 'SAFB-human', '@id': '/targets/SAFB-human/', 'status': 'released'}				SAFB-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF118FWR/, /files/ENCFF460WNJ/, /files/ENCFF088NOQ/, /files/ENCFF986GCV/	4120356	Brenton Graveley, UConn	e39dd66133dc12a5b176a7f37a0fa46f		https://www.encodeproject.org/files/ENCFF697PTM/@@download/ENCFF697PTM.tar.gz	V19			released	s3://encode-public/2019/11/13/e58053e1-c083-41fe-b18a-f4f0fd8e303d/ENCFF697PTM.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/e58053e1-c083-41fe-b18a-f4f0fd8e303d/ENCFF697PTM.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF529NUS	tar	tar		differential splicing quantifications	hg19	ENCSR336TYW	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:SAFB'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6294/'], '@type': ['Target', 'Item'], 'label': 'SAFB', 'title': 'SAFB (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'chromatin remodeler'], 'uuid': '5d372e39-88f3-4a01-a7b5-293fa583db92', 'schema_version': '14', 'name': 'SAFB-human', '@id': '/targets/SAFB-human/', 'status': 'released'}				SAFB-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF118FWR/, /files/ENCFF460WNJ/, /files/ENCFF088NOQ/, /files/ENCFF986GCV/	14376503	Brenton Graveley, UConn	58c5e18b3cd7753766f6765d5c013006		https://www.encodeproject.org/files/ENCFF529NUS/@@download/ENCFF529NUS.tar.gz	V19			released	s3://encode-public/2019/11/13/bbe04d52-cc6e-454a-a334-c9f2c4a88d2c/ENCFF529NUS.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/bbe04d52-cc6e-454a-a334-c9f2c4a88d2c/ENCFF529NUS.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF582RCF	tar	tar		differential splicing quantifications	hg19	ENCSR336TYW	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:SAFB'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6294/'], '@type': ['Target', 'Item'], 'label': 'SAFB', 'title': 'SAFB (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'chromatin remodeler'], 'uuid': '5d372e39-88f3-4a01-a7b5-293fa583db92', 'schema_version': '14', 'name': 'SAFB-human', '@id': '/targets/SAFB-human/', 'status': 'released'}				SAFB-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF118FWR/, /files/ENCFF460WNJ/, /files/ENCFF088NOQ/, /files/ENCFF986GCV/	3383492	Brenton Graveley, UConn	93ca787877152bcf53e66fd6dd946a21		https://www.encodeproject.org/files/ENCFF582RCF/@@download/ENCFF582RCF.tar.gz	V19			released	s3://encode-public/2019/11/13/001de1e2-04ab-4704-a0f3-650bb76bc764/ENCFF582RCF.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/001de1e2-04ab-4704-a0f3-650bb76bc764/ENCFF582RCF.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF813YGH	tar	tar		differential splicing quantifications	hg19	ENCSR648QFY	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5094/'], '@type': ['Target', 'Item'], 'name': 'PCBP2-human', 'label': 'PCBP2', '@id': '/targets/PCBP2-human/', 'title': 'PCBP2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '9b55e1be-4ea5-4398-b6d2-e59f7ccb9318', 'status': 'released'}				PCBP2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-10-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF566DJY/, /files/ENCFF597WPS/, /files/ENCFF019XTR/, /files/ENCFF970PYT/	4748720	Brenton Graveley, UConn	5ffcdfb862a85b45eaaa3a81b413ef37		https://www.encodeproject.org/files/ENCFF813YGH/@@download/ENCFF813YGH.tar.gz	V19			released	s3://encode-public/2019/11/13/36acf29e-4d5f-45cd-a4b2-36ef1402a70f/ENCFF813YGH.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/36acf29e-4d5f-45cd-a4b2-36ef1402a70f/ENCFF813YGH.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF567AKU	tar	tar		differential splicing quantifications	hg19	ENCSR648QFY	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5094/'], '@type': ['Target', 'Item'], 'name': 'PCBP2-human', 'label': 'PCBP2', '@id': '/targets/PCBP2-human/', 'title': 'PCBP2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '9b55e1be-4ea5-4398-b6d2-e59f7ccb9318', 'status': 'released'}				PCBP2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-10-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF566DJY/, /files/ENCFF597WPS/, /files/ENCFF019XTR/, /files/ENCFF970PYT/	3952885	Brenton Graveley, UConn	a7c39eb2172833a62acaa082ae66f9f1		https://www.encodeproject.org/files/ENCFF567AKU/@@download/ENCFF567AKU.tar.gz	V19			released	s3://encode-public/2019/11/13/2f8de90d-d8bc-4496-9a19-dbf7debab105/ENCFF567AKU.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/2f8de90d-d8bc-4496-9a19-dbf7debab105/ENCFF567AKU.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF214CRU	tar	tar		differential splicing quantifications	hg19	ENCSR648QFY	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5094/'], '@type': ['Target', 'Item'], 'name': 'PCBP2-human', 'label': 'PCBP2', '@id': '/targets/PCBP2-human/', 'title': 'PCBP2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '9b55e1be-4ea5-4398-b6d2-e59f7ccb9318', 'status': 'released'}				PCBP2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-10-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF566DJY/, /files/ENCFF597WPS/, /files/ENCFF019XTR/, /files/ENCFF970PYT/	15837582	Brenton Graveley, UConn	023571eae1d6462921641ca4c5c5fdc0		https://www.encodeproject.org/files/ENCFF214CRU/@@download/ENCFF214CRU.tar.gz	V19			released	s3://encode-public/2019/11/13/8d7b6e98-3347-4dd5-9682-6186e7917dab/ENCFF214CRU.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/8d7b6e98-3347-4dd5-9682-6186e7917dab/ENCFF214CRU.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF250FEM	tar	tar		differential splicing quantifications	hg19	ENCSR792XFP	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9782/'], '@type': ['Target', 'Item'], 'name': 'MATR3-human', 'label': 'MATR3', '@id': '/targets/MATR3-human/', 'title': 'MATR3 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '27991efb-24d6-4387-9151-3babb0129891', 'status': 'released'}				MATR3-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-10-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF816VZI/, /files/ENCFF887GXB/, /files/ENCFF019XTR/, /files/ENCFF970PYT/	4233764	Brenton Graveley, UConn	41af2f45dd5a08be6dc417edf4341baf		https://www.encodeproject.org/files/ENCFF250FEM/@@download/ENCFF250FEM.tar.gz	V19			released	s3://encode-public/2019/11/13/6849dffd-7d6f-4e0f-aa0d-811963161af4/ENCFF250FEM.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/6849dffd-7d6f-4e0f-aa0d-811963161af4/ENCFF250FEM.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF412LET	tar	tar		differential splicing quantifications	hg19	ENCSR792XFP	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9782/'], '@type': ['Target', 'Item'], 'name': 'MATR3-human', 'label': 'MATR3', '@id': '/targets/MATR3-human/', 'title': 'MATR3 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '27991efb-24d6-4387-9151-3babb0129891', 'status': 'released'}				MATR3-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-10-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF816VZI/, /files/ENCFF887GXB/, /files/ENCFF019XTR/, /files/ENCFF970PYT/	16622829	Brenton Graveley, UConn	58ae3dc8c76a2d8cbb631b29cce721e2		https://www.encodeproject.org/files/ENCFF412LET/@@download/ENCFF412LET.tar.gz	V19			released	s3://encode-public/2019/11/13/a6c84102-eebe-4cc5-abf6-c4337062f0b0/ENCFF412LET.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/a6c84102-eebe-4cc5-abf6-c4337062f0b0/ENCFF412LET.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF909RTV	tar	tar		differential splicing quantifications	hg19	ENCSR792XFP	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9782/'], '@type': ['Target', 'Item'], 'name': 'MATR3-human', 'label': 'MATR3', '@id': '/targets/MATR3-human/', 'title': 'MATR3 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '27991efb-24d6-4387-9151-3babb0129891', 'status': 'released'}				MATR3-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-10-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF816VZI/, /files/ENCFF887GXB/, /files/ENCFF019XTR/, /files/ENCFF970PYT/	3638945	Brenton Graveley, UConn	316f373bae8e4501a70565a85e56c9ce		https://www.encodeproject.org/files/ENCFF909RTV/@@download/ENCFF909RTV.tar.gz	V19			released	s3://encode-public/2019/11/13/0c3154d1-1dde-4b4d-8989-b27d9e89cd13/ENCFF909RTV.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/0c3154d1-1dde-4b4d-8989-b27d9e89cd13/ENCFF909RTV.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF500LJV	tar	tar		differential splicing quantifications	hg19	ENCSR831YGP	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2130/'], '@type': ['Target', 'Item'], 'name': 'EWSR1-human', 'label': 'EWSR1', '@id': '/targets/EWSR1-human/', 'title': 'EWSR1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'b10fd62b-7f79-4b9b-a76e-d39d834fe63a', 'status': 'released'}				EWSR1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-10-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF308UUY/, /files/ENCFF203CYP/, /files/ENCFF309OOI/, /files/ENCFF209PLP/	16039126	Brenton Graveley, UConn	a8e9e442983d6687bb3129294f9b7b61		https://www.encodeproject.org/files/ENCFF500LJV/@@download/ENCFF500LJV.tar.gz	V19			released	s3://encode-public/2019/11/13/22111587-d618-49a7-84c3-42976848fb60/ENCFF500LJV.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/22111587-d618-49a7-84c3-42976848fb60/ENCFF500LJV.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
