AATFBF	AGGF1BF	AGOBF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3HBF	EIF4G2BF	EWSR1BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SF3A3BF	SF3B4BF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
AATF	1.2001381605007	0	0	0	0	0	0	0	0	0.349972518597355	0	0	0	0	0	0	0	0	0	0	0.280817251964748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222370289426251	0	0.314508109878799	0	0	0	0	0	0.263246922852877	0	0.128210794657836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0	0	0	0.275903456885534	0	0	0	0.0438391373930255	0	0.315065698463177	0	0
AGGF1	0	1.77787064413736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083574167941793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134478637436595	0	0	0	0.0294391348373235	0	0	0	0	0	0	0	0	0	0
AGO	0	0	33.0059956622416	0	0	-2.39905426183819	0	-0.904954896004158	0	0	0	0	0	0	0	0	0	0	0	1.27903759101086	0	0	-1.40578118351806	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.173457948247522	0	0	0	0	0	0	0	-0.0110294603705681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.307478935073379	0	-1.95103277605026	0	0	0	0	0	-0.206687978172651	0	0	0	-0.478472812760291	-0.811323832726786	0	-0.0446836151651055	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57361578730127	-0.0294391348373235	0	0	0	0	0	0	0	0	-0.332790646133034	0
AKAP8L	0	0	0	0.469808701820144	0	0	0	0	0	0	0.436071055287838	0	0	0	0	0	0	0	0.469808701820144	0	0	0.295520932041446	0	0	0	0.469808701820144	0	0	0	0	0	0	0	0.157770674062244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469808701820144	0	0	0	0	0.168537210809787	0	0.0360915401309858	0	0	0	0	0	0	0	0.540663633497576	0.0446836151651055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	0	0	0	0	2.36974644732098	0	0.0293915734555813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083574167941793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168537210809787	0	0	0	0.165160703101169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372550059470532	0	0	0	0	0	0	0	0	0.0114390700806222	0.112207555791295
AQR	0	0	0	0	0	12.6615961374794	-0.502842089668507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.307478935073379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCLAF1	0	0	0	0	0	-0.771748908547867	17.1965631262678	-0.161541021241686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389048348105868	0	0	0	0	0	0.0748595384608316	0	0	0	0	0	0.0857224851754842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.115473779237937	0	0	0	0	0	0	0	0	0	0	-0.0496493966979655	0	0	0	0	0	0	0	0	0	0	0	0	0.134478637436595	0	0	0	0.804847367996143	0	0	0	0	0	0	0	0	0.332790646133034	0
BUD13	0	0	0	0	0	0	-0.0293915734555813	13.4286686980522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC40	0	0	0	0	0	0	0	0	2.4547981324807	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135421835380324	0	0	0	0	0	0	0	0	0	0.0502098974170061	0	0	0	0	0	0	0	0	0.0722375754813628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121642244343637	0.127261040256724	0	0.134478637436595	0	0	0	0	0	0	0	0	0	0	0	0	0.0114390700806222	0.112207555791295
CPSF6	0.298183008253327	0	0	0	0	0	0	0	0	0.349972518597355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
