AATFBF	AGGF1BF	AGOBF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3HBF	EWSR1BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
AATF	2.61247152879434	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0.00294784431208566	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	0	0	0	0.208096347216402	0	0	0.032119661780488	0	0	1.19317460348817	0.0633084412282769	1.05390533647878	0.0674304363062403	0.0685745956167184	0	0.416464734425454	0	0.208096347216402	0	0	0	0.208096347216402	0	0	0	0	0	0	0	0	0	0.781324044716668	0	0	0	0	0	0.502187565507023	0	0	0.135874734612472	0.384995208951618	0	0	0	0	0	0	0	0	0.104095160561317	0	0	0	0	0
AGGF1	0	0.227553551583009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207876251402386	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO	0	0	16.9431433517451	0	0	0	0	-0.585680298666359	0	0	0	0	0	0	0	0	0.879386416156544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.354821400318496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP8L	0	0	0	0.295555942179685	0	0	0	0	0	0	0	0	0	0	0	0.174298360467079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0493596238587793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	0	0	0	0	1.65216546204236	0	0	0	0	0	0	0	0	0.0397270206944011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0498500429853379	0	0	0	0	0	0	0	0	0	0	0.0685745956167184	0	0.00631465179927584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798132663627811	0	0	0.0207834226610184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQR	-0.0738424445243855	0	0	0	0	5.8899301632902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCLAF1	0	0	0	0	0	0	11.2590985248799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274433167308823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0274759857650713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114981523438033	0	0	0	0	0	0	0	0.364866829768593	0
BUD13	0	0	0	0	0	0	0	7.48127977148996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.032119661780488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC40	0	0	0	0	0	0	0	0	1.90052769852823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612198604088307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182529872143356	0	0	0	0	0	0.0798132663627811	0	0	0.0207834226610184	0	0	0	0	0	0.114981523438033	0	0	0	0	0	0	0	0	0
CPSF6	0.277993902437102	0	0	0	0	0	0	0	0	0.101556852179943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	0.277993902437102	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0.00294784431208566	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	0	0	0	0	0	0	0.032119661780488	0	0	0	0	0	0.107081444042433	0.1066463164311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100602959704635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
