,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,1686.1110618692499,0.47519852478761604,0.107732238235895,4.41092223246212,1.02931283641786e-05,0.000210381501687357,ENSG00000010244
ENSG00000011426.6,537.617422080259,1.07257676985737,0.25709783403686104,4.17186233355662,3.0212016037094106e-05,0.000524927755515316,ENSG00000011426
ENSG00000022840.11,664.620126007407,0.0959622909210864,0.15552347676663097,0.617027685569822,0.537216464734453,0.7475330395730141,ENSG00000022840
ENSG00000023287.8,435.325071892806,0.0883673347109057,0.23581796793537502,0.37472689415728705,0.7078635886507451,0.8610388138844781,ENSG00000023287
ENSG00000047410.9,2046.9132385796,0.13972587247706197,0.0960858263752542,1.45417776739907,0.145897027226621,0.35390830875234996,ENSG00000047410
ENSG00000068745.10,315.423653258278,0.7777489815752758,0.20828398369620302,3.73407963384106,0.000188402879962253,0.0024788176018222,ENSG00000068745
ENSG00000070756.9,12529.4453589602,-0.17830179864144002,0.0673747992446871,-2.64641677066667,0.00813495210014847,0.0496482734896456,ENSG00000070756
ENSG00000072756.12,152.525019943818,-0.168691219462656,0.2951609407727,-0.5715228411355511,0.567645281726911,0.766951221522135,ENSG00000072756
ENSG00000073921.13,3080.59915144473,-0.197355133553861,0.0871178360187762,-2.26538149445454,0.0234892789446377,0.10603962710101401,ENSG00000073921
ENSG00000077380.11,622.563162326594,-0.0206043739067892,0.154174414479281,-0.13364327652146302,0.8936846614081371,0.9517842116903159,ENSG00000077380
ENSG00000078674.13,811.1539001967,0.0252438121106526,0.13592393433869399,0.18572013996997896,0.852664233676422,0.933466401534614,ENSG00000078674
ENSG00000080345.13,691.679432364663,-0.0319072421326823,0.154448189024588,-0.20658864525502899,0.836331128746867,0.9269499762507241,ENSG00000080345
ENSG00000080986.8,536.4510977634819,0.0570454286127657,0.17417316530826002,0.32752134068301597,0.7432736047098559,0.8815724222480992,ENSG00000080986
ENSG00000082258.8,231.711256911634,0.0858272292004611,0.245151865875959,0.35009820909903994,0.726264994882799,0.8714601803634471,ENSG00000082258
ENSG00000088205.8,339.56856908848,-0.26865618136514396,0.19779242004747802,-1.3582733923810402,0.174376949887787,0.39584548699261407,ENSG00000088205
ENSG00000088247.11,1591.4849943265801,-0.28741265179339004,0.137062216204292,-2.0969502737720203,0.0359979774734933,0.142242280230771,ENSG00000088247
ENSG00000092199.13,3474.93201122469,0.0844621280102034,0.0846049015520549,0.998312467253879,0.318127863981233,0.560246516361388,ENSG00000092199
ENSG00000096384.15,11037.649936546399,0.000849596374467375,0.0714230957572622,0.0118952611261041,0.990509178622125,0.9956271444832471,ENSG00000096384
ENSG00000100023.13,878.746432575736,-0.8840894167487628,0.169648098518258,-5.21131344512898,1.87508336608198e-07,6.07951136610034e-06,ENSG00000100023
ENSG00000100201.14,2765.00067691853,-0.27620660979984196,0.0874132561787952,-3.1597794416317004,0.00157888611790527,0.0141218270677012,ENSG00000100201
ENSG00000101972.14,1245.53174374175,-0.657390042181656,0.115516343117681,-5.69088342341264,1.26383774726197e-08,5.3782220385437e-07,ENSG00000101972
ENSG00000102144.9,3051.9177884620503,0.348631288937266,0.140873070901315,2.47479015475917,0.0133314480822459,0.0710038677953096,ENSG00000102144
ENSG00000103160.7,316.94214541911,0.18045638640040196,0.236091982403096,0.7643477959886691,0.444660009583081,0.6766484347531889,ENSG00000103160
ENSG00000103995.9,585.383054565445,-0.3790036447057121,0.16835147110261303,-2.25126422848247,0.0243688070189868,0.10857823462774699,ENSG00000103995
ENSG00000106144.15,325.391410562594,0.36361698237117895,0.199319923958864,1.82428818529061,0.0681085156293749,0.214200975589284,ENSG00000106144
ENSG00000107929.10,379.719421490554,0.41029947264553895,0.193292839969833,2.1226832442917902,0.0337804040209451,0.13604573804220899,ENSG00000107929
ENSG00000108651.5,505.39083014745796,0.0645420826145862,0.175944772818401,0.366831486839354,0.713744719361989,0.864236409106314,ENSG00000108651
ENSG00000108654.7,2168.19417591528,-0.0968410343087748,0.0940919969891795,-1.02921648394721,0.30337795799548806,0.54462554329521,ENSG00000108654
ENSG00000109920.8,700.3959818568879,0.167799938829096,0.141273930835584,1.18776293571376,0.234926820668828,0.47037176702190897,ENSG00000109920
ENSG00000110172.7,411.05928016122397,0.5953924526181049,0.18236209463875397,3.2648914995056098,0.0010950601478714802,0.0106814527087788,ENSG00000110172
ENSG00000110321.11,2168.14964421285,-0.20110742697515302,0.12465389315633,-1.6133264824945501,0.10667359596663499,0.28901998693824,ENSG00000110321
ENSG00000110700.2,1632.94726898569,0.142646484091805,0.10465772532738302,1.36298093280345,0.172888519901484,0.39386188536318706,ENSG00000110700
ENSG00000110911.10,382.536609346154,0.13023801258507303,0.21772256760041603,0.5981833395612779,0.549717606815757,0.755566945325618,ENSG00000110911
ENSG00000111364.11,276.59606867975,0.00819892447706851,0.22193818927158102,0.036942377983609,0.970530950048333,0.9876659663546509,ENSG00000111364
ENSG00000112081.12,757.582526493693,0.49875703682971395,0.136727346424601,3.6478221063462,0.000264472644948489,0.00326424977924043,ENSG00000112081
ENSG00000112237.8,368.920464249244,-0.0861458917652773,0.192801901937749,-0.4468103836086211,0.6550119734241681,0.8267524549279208,ENSG00000112237
ENSG00000112855.10,161.218746870755,0.6013666595040971,0.278508106634487,2.15924292750777,0.0308313253004517,0.127667528777045,ENSG00000112855
ENSG00000113569.11,779.61266583772,0.30452493571232797,0.140245877725601,2.17136461085971,0.0299036218134617,0.12500769609971302,ENSG00000113569
ENSG00000113810.11,2634.10256194975,0.140129908242644,0.10533489258643199,1.33032753726559,0.183410378012865,0.40743732831813795,ENSG00000113810
ENSG00000114346.9,669.2586187591439,0.46607519628494004,0.14581497766062,3.19634651914645,0.0013917985083359199,0.0128801703599455,ENSG00000114346
ENSG00000115053.11,2402.08397088225,-0.0441767743535012,0.128753125452691,-0.34311224832933,0.7315140170043292,0.873902149495028,ENSG00000115053
ENSG00000115548.12,585.1661829754551,0.6612460656633311,0.171108330604823,3.86448785588638,0.000111322528131343,0.00159362368129152,ENSG00000115548
