,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,964.6156718358291,0.004725756947217921,0.14523560359631102,0.0325385568703483,0.9740425683615109,0.9975296028389001,ENSG00000010244
ENSG00000011426.6,292.364500675134,-0.148645823871542,0.276966717659264,-0.536692008078791,0.591480377375209,0.9356891250192181,ENSG00000011426
ENSG00000022840.11,345.001560864439,-0.10493611834983699,0.20601829896051102,-0.509353386953025,0.61050454306416,0.938547504623143,ENSG00000022840
ENSG00000023287.8,281.552021877131,0.17354944674366501,0.271200328615156,0.639930812878692,0.5222175806261551,0.923212782066364,ENSG00000023287
ENSG00000047410.9,1205.8861082928,-0.17645456847618396,0.134801985966027,-1.3089908669495,0.19053744445374998,0.697958421825235,ENSG00000047410
ENSG00000068745.10,136.586164315154,0.5488411786084549,0.31077322031623805,1.76605042754315,0.0773873890836634,0.491317459410839,ENSG00000068745
ENSG00000070756.9,5539.14623107223,0.0123676381650625,0.0980735502148699,0.12610574551411802,0.899648219519552,0.9901427650058959,ENSG00000070756
ENSG00000072756.12,143.241268819184,0.623215421830609,0.306438321741925,2.03373852946325,0.0419779652195236,0.37276594258757395,ENSG00000072756
ENSG00000073921.13,1604.5348144556501,-0.17748386732269394,0.14882947222021697,-1.1925317255716499,0.23305281861119398,0.742574976105156,ENSG00000073921
ENSG00000077380.11,354.705052595762,-0.251115316757091,0.198971231691122,-1.26206846398235,0.20692415179480703,0.7139557377776091,ENSG00000077380
ENSG00000078674.13,506.396463649069,-0.253469019520402,0.18648170722241503,-1.35921653279425,0.174077983869978,0.682763271136189,ENSG00000078674
ENSG00000080345.13,521.964283604288,-0.38474920358431,0.173220904327936,-2.2211476442584397,0.0263409629439154,0.29579239092239,ENSG00000080345
ENSG00000080986.8,304.776075721092,-0.30103814429035103,0.21510041791995102,-1.3995237536097198,0.161655980346477,0.6684520682648011,ENSG00000080986
ENSG00000082258.8,181.022232694296,0.6100754644760229,0.303145054624645,2.01248694368912,0.0441686316276264,0.381996813070511,ENSG00000082258
ENSG00000088205.8,324.153866240774,-0.0602855863667628,0.214440301762113,-0.28112992693714695,0.7786107480266291,0.9801758543609209,ENSG00000088205
ENSG00000088247.11,557.517948659774,-0.302702074341614,0.187899655036701,-1.61097727551703,0.107184675524372,0.56910291621496,ENSG00000088247
ENSG00000092199.13,1966.41847558987,-0.159565703088521,0.11745629280757901,-1.3585113174815402,0.174301493890066,0.682763271136189,ENSG00000092199
ENSG00000096384.15,7621.47835525609,-0.0239200828118878,0.09569004703661502,-0.2499746165109,0.802606978668292,0.9824002327738829,ENSG00000096384
ENSG00000100023.13,394.272936147622,0.32478801664362,0.200381469455264,1.6208485621278,0.10505012070617599,0.565232157944669,ENSG00000100023
ENSG00000100201.14,1236.12524829675,-0.476296485239947,0.13232202131879903,-3.59952546441549,0.00031879841510190095,0.0182088995983821,ENSG00000100201
ENSG00000101972.14,765.832009658503,0.30856358655177196,0.17959802129115696,1.7180789873600102,0.0857822089610002,0.520803270803281,ENSG00000101972
ENSG00000102144.9,2438.71644026494,-0.310783223432674,0.10694327704161698,-2.9060566688239104,0.0036601515481905,0.0944868016142693,ENSG00000102144
ENSG00000103160.7,201.785214284238,0.347316762514228,0.314386412002613,1.1047448275574399,0.269270173269386,0.7777950165326228,ENSG00000103160
ENSG00000103995.9,314.786498323798,-0.148186069958167,0.217401879476665,-0.6816227638642509,0.49547751700730197,0.915521055097959,ENSG00000103995
ENSG00000106144.15,206.494471552641,0.00658166536824042,0.25141306774447697,0.0261786924096152,0.979114811051587,0.9975296028389001,ENSG00000106144
ENSG00000107929.10,297.944591845662,0.522770980294603,0.224798103765854,2.3255133007666,0.0200445295392373,0.26070815074251896,ENSG00000107929
ENSG00000108651.5,378.69104833146497,0.0690647605757988,0.208475014974095,0.33128555277657895,0.740428802981962,0.9717364027193192,ENSG00000108651
ENSG00000108654.7,1254.26370333684,-0.0096661016593852,0.145026220637361,-0.0666507174833944,0.946859768765381,0.9954373327692271,ENSG00000108654
ENSG00000109920.8,339.27955634588903,-0.113986174896016,0.20760509403246,-0.549052880553084,0.5829691602954941,0.934317749192413,ENSG00000109920
ENSG00000110172.7,260.778183437927,0.159653571278922,0.247249692769629,0.645717976392701,0.51846201650868,0.923212782066364,ENSG00000110172
ENSG00000110321.11,1378.23491027376,0.484339090616571,0.20490903239179198,2.3636785795293798,0.0180945036390501,0.24658091630652598,ENSG00000110321
ENSG00000110700.2,1240.8716265484697,-0.153563611850991,0.12673158276486698,-1.2117233013329298,0.22561831644894398,0.7335988542924251,ENSG00000110700
