,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,1508.6812282200399,0.18400392331303,0.11297917723766802,1.62865341925753,0.10338640884442199,0.34073797525450394,ENSG00000010244
ENSG00000011426.6,492.866146915631,0.40744913376947,0.182837249464018,2.22847989107196,0.0258485308278724,0.14395203908561,ENSG00000011426
ENSG00000022840.11,662.527878708696,-0.089608392959456,0.139473075630562,-0.6424780736664301,0.520562821425691,0.767020613281447,ENSG00000022840
ENSG00000023287.8,564.232636891434,0.174661497001659,0.170705486116697,1.0231744800647902,0.30622535677902696,0.601733199441134,ENSG00000023287
ENSG00000047410.9,1924.1414758529397,-0.186675314335478,0.0876953366502437,-2.12868005832508,0.0332807398119026,0.168766278129447,ENSG00000047410
ENSG00000068745.10,217.87701353537602,0.11877746729260198,0.270489277343109,0.43912079790850805,0.660574009915779,0.852863484749909,ENSG00000068745
ENSG00000070756.9,7197.8449030600295,-0.122996802236211,0.0575721813348751,-2.13639294854551,0.0326473983350833,0.16683288755287098,ENSG00000070756
ENSG00000072756.12,211.765571475732,1.00326660193283,0.276984934069574,3.62209809462354,0.00029222326053915,0.0057382022069505795,ENSG00000072756
ENSG00000073921.13,2602.59591152975,-0.0873116277407328,0.0948381825277882,-0.9206379267669951,0.35723949400553495,0.6449505849986489,ENSG00000073921
ENSG00000077380.11,606.669506081029,0.0491874826438427,0.15325408700687101,0.320953806873922,0.748245397152269,0.8980132614056601,ENSG00000077380
ENSG00000078674.13,863.350010787149,-0.0812954522393368,0.12917047145158803,-0.629365607524359,0.52910972855609,0.773832574151354,ENSG00000078674
ENSG00000080345.13,963.017934544816,-0.00196325763332269,0.132499273439484,-0.0148171199913739,0.988178081302788,0.9961953914555609,ENSG00000080345
ENSG00000080986.8,591.719300578265,0.151037356538487,0.159329023301161,0.947958842708769,0.343150407104551,0.634529791396936,ENSG00000080986
ENSG00000082258.8,252.889134604379,0.20701701856104698,0.233224463801526,0.8876299475050708,0.374739839086181,0.660236011140567,ENSG00000082258
ENSG00000088205.8,651.010400316501,0.18219777621172398,0.14063826912809602,1.29550638913065,0.19514559875045198,0.479642609554077,ENSG00000088205
ENSG00000088247.11,1049.19655739994,-0.361604553426713,0.190573880841473,-1.8974507515408603,0.0577684727966281,0.241398242842474,ENSG00000088247
ENSG00000092199.13,3282.6991786475896,0.148724661077455,0.0744810499060244,1.9968120920033499,0.0458455995084586,0.20785171351361104,ENSG00000092199
ENSG00000096384.15,12955.840935157099,-0.0999630113754027,0.0546023571859426,-1.8307453474030302,0.0671385611466075,0.26302404437647303,ENSG00000096384
ENSG00000100023.13,803.042193046044,0.0710348886326931,0.128579012089661,0.5524609924919859,0.580632552627517,0.8052159848233509,ENSG00000100023
ENSG00000100201.14,1913.2459574951802,-0.00453061179658443,0.0916319069776864,-0.0494436048099239,0.9605657790224961,0.98789850893233,ENSG00000100201
ENSG00000101972.14,1225.79914932939,0.0562352897800306,0.138317198623804,0.40656758768647105,0.6843256069165761,0.8648929933055408,ENSG00000101972
ENSG00000102144.9,4194.56846566481,-0.21917152244089896,0.0676910649977879,-3.2378205668364197,0.0012044653768891,0.0168365329724776,ENSG00000102144
ENSG00000103160.7,264.928189962616,-0.35193669865849303,0.23365035329664302,-1.50625365505728,0.13200207038699002,0.391731364916839,ENSG00000103160
ENSG00000103995.9,472.496021278443,-0.18939600081765695,0.16557268276634804,-1.14388435129077,0.252671601637,0.546030674142654,ENSG00000103995
ENSG00000106144.15,317.784716354684,0.15320286303832,0.197620485679656,0.775237761973032,0.438199178331334,0.709926750692037,ENSG00000106144
ENSG00000107929.10,463.287424257145,0.311670661115874,0.210253963664434,1.4823533201652301,0.138246307683759,0.401608743624942,ENSG00000107929
ENSG00000108651.5,626.676808568122,0.23235175697341098,0.16034269927888598,1.44909470788738,0.14731113573416102,0.414904260596185,ENSG00000108651
ENSG00000108654.7,1885.34566050263,0.25689434945504,0.0909296017861678,2.82520042328085,0.00472510498971394,0.0470023601608387,ENSG00000108654
ENSG00000109920.8,493.59929139580004,0.142893424817757,0.16086719463302898,0.8882695141400709,0.37439579421247104,0.6600308288176321,ENSG00000109920
ENSG00000110172.7,378.720579273311,0.290671337889197,0.18724776442182,1.5523354246002599,0.120581985903024,0.372669063535481,ENSG00000110172
ENSG00000110321.11,2641.0869289407897,0.566851422201049,0.0836732048744519,6.774587193732869,1.24761972888982e-11,1.82554938394976e-09,ENSG00000110321
ENSG00000110700.2,2255.4755003374803,0.16716278164152498,0.0938542718002414,1.78108868605696,0.0748979637370252,0.27927995941298606,ENSG00000110700
ENSG00000110911.10,328.653591899451,0.272100703175553,0.24398818518698898,1.11522081680725,0.264755807630473,0.5577948645665699,ENSG00000110911
ENSG00000111364.11,376.06772421278197,0.81827509044084,0.18952258804352698,4.31755971089266,1.57763737205589e-05,0.0005057359095155849,ENSG00000111364
ENSG00000112081.12,1410.06591213999,0.7562119454999209,0.11129093930121402,6.794910261770741,1.0837996947267199e-11,1.66647980178996e-09,ENSG00000112081
ENSG00000112237.8,382.459796825224,0.186183485977251,0.221394144172417,0.8409593969759871,0.400370681290358,0.679416913704849,ENSG00000112237
ENSG00000112855.10,174.993358210138,0.120317821345645,0.286473052194201,0.41999699596205503,0.67448764822374,0.8600073007288499,ENSG00000112855
ENSG00000113569.11,958.293379905344,-0.0986335050863229,0.120664491671728,-0.817419472123241,0.413688751608529,0.6900082224225411,ENSG00000113569
ENSG00000113810.11,1907.78043956369,-0.319627876906511,0.0886509507800919,-3.60546473663189,0.000311594802430714,0.00608956699358137,ENSG00000113810
ENSG00000114346.9,735.1742622518599,1.31366219861034,0.18404881675363396,7.137574811843469,9.49919247674645e-13,1.83354625849029e-10,ENSG00000114346
ENSG00000115053.11,3102.08981372792,0.0717672957943069,0.0735106178446812,0.9762847585629358,0.32892337075505795,0.621548814096183,ENSG00000115053
ENSG00000115548.12,652.843156837065,-0.0047896774332495,0.163636769098129,-0.02927017845468,0.976649110853152,0.9935143231284809,ENSG00000115548
ENSG00000115875.14,707.8807746734599,0.34728489001707896,0.147992225784922,2.3466427927220295,0.0189434060343892,0.11778929372445401,ENSG00000115875
ENSG00000116001.11,405.275825954544,-0.109986551104645,0.18608850133567,-0.5910443166300171,0.5544907278459129,0.7922388005052351,ENSG00000116001
ENSG00000116906.7,335.439479123336,-0.298446997192818,0.20070418745692603,-1.4869993544946298,0.137014981433784,0.40058005529078106,ENSG00000116906
ENSG00000117616.13,632.009525371453,-0.446671132939524,0.197014761870023,-2.2671962684410802,0.0233782386909443,0.13500151585248,ENSG00000117616
ENSG00000118515.7,57.919172807988794,2.25188789733491,0.507853379660708,4.43412998223893,9.24448420922051e-06,0.00032113625239498,ENSG00000118515
ENSG00000119414.7,295.711198128306,0.176218476992127,0.206870107089313,0.85183151626662,0.394307611335086,0.6740443962889621,ENSG00000119414
ENSG00000120438.7,2032.2620183463603,0.298768759494596,0.089297521770192,3.34576764922414,0.000820551237858735,0.0127685091421174,ENSG00000120438
ENSG00000120699.8,240.722081660499,-0.0993325155254739,0.25455509036281304,-0.390220110640479,0.696373791920445,0.872221874955444,ENSG00000120699
ENSG00000122566.16,6463.60723677173,0.102285691895083,0.063131655987461,1.62019656058759,0.10519006002818501,0.34450694028003404,ENSG00000122566
ENSG00000124193.10,736.8228390434799,0.6203589413468941,0.135996658401326,4.561574884554981,5.07713622173039e-06,0.00019434506246218601,ENSG00000124193
ENSG00000128708.8,730.988612999545,0.301941999898917,0.13874630747346803,2.17621647305214,0.029539077721881,0.157172148441586,ENSG00000128708
ENSG00000130939.14,507.28418205570506,-0.38502007830735707,0.161553936272163,-2.38322932385088,0.0171614998678536,0.110183387686601,ENSG00000130939
ENSG00000131747.10,3163.64206512137,-0.18251819377676398,0.0812851549203691,-2.2454062362994502,0.0247420654333652,0.13976339826369197,ENSG00000131747
ENSG00000132823.6,117.554407484948,0.23757316606330103,0.325865225788866,0.7290534468296701,0.46596896964570894,0.7290911508495809,ENSG00000132823
ENSG00000134108.8,584.32456732832,0.225049306203844,0.17469610154452,1.2882331329328,0.19766482161904503,0.482306417893485,ENSG00000134108
ENSG00000134352.15,347.55968021917397,1.6222726231518798,0.7415186627229651,2.18777045636944,0.0286863269215941,0.15449450157217,ENSG00000134352
ENSG00000134910.8,759.630033747808,-0.19425422598580397,0.13258446807046198,-1.4651356136419198,0.14288392186597199,0.407880094137225,ENSG00000134910
ENSG00000135387.15,1628.26556078743,0.11280460292096699,0.0949199609402456,1.1884181346427198,0.23466871527810299,0.526649826522693,ENSG00000135387
ENSG00000135486.13,12640.0122981648,0.169081570690366,0.0505349370392056,3.3458351903988794,0.000820351399713317,0.0127685091421174,ENSG00000135486
ENSG00000135829.12,1217.63424228195,0.31611920055979403,0.114201452949045,2.7680838763132103,0.0056386941739316795,0.0522244562044739,ENSG00000135829
ENSG00000136450.8,1437.36982638626,0.33926406205083104,0.11003581321588199,3.08321492917239,0.0020477719945026897,0.0253215292580656,ENSG00000136450
ENSG00000137807.9,405.63489626891,0.31902312716720505,0.186795355205115,1.7078750529792,0.0876595290449668,0.30823536724648803,ENSG00000137807
ENSG00000138095.14,1568.19867623857,0.0263062121968461,0.110345537824098,0.238398513574522,0.811572020193297,0.931029510267272,ENSG00000138095
ENSG00000138592.9,322.567904562073,-0.23368499663140196,0.210083658550748,-1.11234256982893,0.26599088710633,0.559487439793329,ENSG00000138592
ENSG00000143947.8,5401.60125557799,0.159009460829454,0.0673771205044546,2.35999193255731,0.0182753324876359,0.11473620507116498,ENSG00000143947
ENSG00000144136.6,727.968080452887,0.9860059935271759,0.15790694768111302,6.24422172682596,4.2591545497544295e-10,4.40691121682286e-08,ENSG00000144136
ENSG00000145907.10,1246.77300994193,0.566929296182534,0.13029275393202902,4.3511958959612596,1.35397014108373e-05,0.00044504409854752004,ENSG00000145907
ENSG00000146247.13,486.325273422769,-0.163608791381638,0.16575666544067902,-0.987042004897175,0.323622046866212,0.615855528405973,ENSG00000146247
ENSG00000146425.6,209.95167937991002,-0.4097958690569671,0.24205468546436398,-1.69298878999514,0.0904576009991044,0.313218074909876,ENSG00000146425
ENSG00000147604.9,6135.42729162205,0.0780265956487847,0.06643957323904,1.17439941054492,0.240235081266975,0.5332458267658111,ENSG00000147604
ENSG00000148303.12,6861.686366819859,-0.0266165353496433,0.065592467093799,-0.40578646495459497,0.68489950453905,0.8652566919897321,ENSG00000148303
ENSG00000149100.8,1445.53671378401,0.34740144578790905,0.131951734903445,2.6327918010484503,0.00846862420935577,0.0689489329818786,ENSG00000149100
ENSG00000153187.12,2858.4794392515196,-0.0479842145715363,0.0846298780030994,-0.5669890552102529,0.570721617598532,0.798854690882284,ENSG00000153187
