,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,917.669901031716,-0.31208506319763596,0.173072049947003,-1.80320891382058,0.0713554110978768,0.341182606372467,ENSG00000010244
ENSG00000011426.6,253.615580722112,0.0550700747407993,0.265733541268127,0.207237951513367,0.8358240295839492,0.9486149102165091,ENSG00000011426
ENSG00000022840.11,232.670507490897,0.0754274125077113,0.2593882249721,0.290789655219794,0.7712121975755091,0.926248031759826,ENSG00000022840
ENSG00000023287.8,301.54271488908296,1.26534897052491,0.24796603235152598,5.1029125179980195,3.34465638099302e-07,4.5157262007065005e-05,ENSG00000023287
ENSG00000047410.9,1080.42980532205,-0.127900904037483,0.14251037849979598,-0.8974848385352209,0.36946026009608796,0.7094783234044929,ENSG00000047410
ENSG00000068745.10,148.62990381889298,-0.269116210827322,0.297737348841769,-0.903871186716125,0.36606370911076896,0.7076193672043991,ENSG00000068745
ENSG00000070756.9,5781.568182978779,-0.0177599652517183,0.10798716264714099,-0.16446367157317401,0.8693661431823599,0.9606467795815409,ENSG00000070756
ENSG00000072756.12,68.2094581312523,-0.0766081767834861,0.524160736647581,-0.146153978021046,0.883799835561768,0.965882427596049,ENSG00000072756
ENSG00000073921.13,1611.5327145370902,0.347085451599128,0.12626999831856098,2.7487562859031804,0.00598218477405351,0.096181866766626,ENSG00000073921
ENSG00000077380.11,277.96341772499403,-0.0390009408084643,0.228705296127101,-0.170529242080996,0.8645939392933321,0.9592205778343209,ENSG00000077380
ENSG00000078674.13,412.55474725164595,0.30510754478588203,0.19906375095295298,1.5327127280847401,0.125346651691668,0.444277026945839,ENSG00000078674
ENSG00000080345.13,343.835838387346,0.08807136625511099,0.22100795440573398,0.398498626404309,0.690262670610098,0.892787785826182,ENSG00000080345
ENSG00000080986.8,274.905538244511,-0.225165681211342,0.224799298485534,-1.0016298214819899,0.316522412444167,0.6681168030319621,ENSG00000080986
ENSG00000082258.8,125.066323628371,-0.380111662037407,0.345931291277639,-1.09880681979802,0.271852336894507,0.623068311117833,ENSG00000082258
ENSG00000088205.8,231.507455869465,0.548838262761334,0.265377030782192,2.06814531439909,0.0386263607180638,0.256162328567543,ENSG00000088205
ENSG00000088247.11,644.713915001398,0.45701928755239896,0.182663930091552,2.50196788891675,0.0123505126210858,0.143617972619496,ENSG00000088247
ENSG00000092199.13,1919.7128788072198,0.27140957084531,0.119991979686231,2.26189759978144,0.0237037307092101,0.19985536631651998,ENSG00000092199
ENSG00000096384.15,4619.764745688371,-0.16920418455857,0.10510733942842301,-1.6098227343467,0.10743656060060902,0.416316672327361,ENSG00000096384
ENSG00000100023.13,497.749446723255,0.7387539768770508,0.19290626950814502,3.82960065922512,0.00012835137461208998,0.00648942540797845,ENSG00000100023
ENSG00000100201.14,1706.34605904357,0.0289303198385932,0.12179286943453099,0.237537057570882,0.8122401739153391,0.9412140146092599,ENSG00000100201
ENSG00000101972.14,636.574791182123,-0.531401458917145,0.29503442825619003,-1.8011506726791497,0.0716791347164851,0.341933798849769,ENSG00000101972
ENSG00000102144.9,1312.95446683574,0.0557839736711872,0.138463733094198,0.40287786862742603,0.687038073092465,0.8918129816426009,ENSG00000102144
ENSG00000103160.7,145.825721045704,-0.8362405612999492,0.31293765746993196,-2.67222733135049,0.00753495830680268,0.111086504577733,ENSG00000103160
ENSG00000103995.9,281.53937507955396,-0.6702123894886229,0.250672937285761,-2.6736527554412404,0.00750300966768678,0.11081985090959501,ENSG00000103995
ENSG00000106144.15,167.42059791162902,0.0873420796581323,0.282095670349493,0.309618646574486,0.756850974737228,0.920147849736812,ENSG00000106144
ENSG00000107929.10,226.050202501408,-0.136652644938211,0.249125683880298,-0.548528930497069,0.583328769995691,0.844698914609905,ENSG00000107929
ENSG00000108651.5,324.67386365834,0.0924110423532103,0.21540040225213503,0.429019822558361,0.667908799088359,0.88410172328791,ENSG00000108651
ENSG00000108654.7,1126.95256699057,0.170664004530573,0.144444339710794,1.1815208880616201,0.237395860519028,0.585851659868296,ENSG00000108654
ENSG00000109920.8,406.89935714792097,-0.375291628671205,0.193109256635827,-1.9434160495938602,0.0519659096289861,0.293140296153396,ENSG00000109920
ENSG00000110172.7,256.22351293037497,0.139126839663826,0.30801511296641904,0.45168835491196796,0.6514935085646589,0.8755191689611029,ENSG00000110172
ENSG00000110321.11,1483.71274467849,0.718111432646378,0.226161568736731,3.1752142358117204,0.00149725914150796,0.0398014923601378,ENSG00000110321
ENSG00000110700.2,681.172928698772,-0.4599707634199,0.163888316144329,-2.80661107662381,0.0050065648244157,0.0863816473411506,ENSG00000110700
ENSG00000110911.10,205.27366276557598,0.0742571008168808,0.283992759978535,0.26147533064749,0.793725971256141,0.934870045353298,ENSG00000110911
ENSG00000111364.11,193.458815124827,-0.34318220264395294,0.26670984535033604,-1.28672491333481,0.198190186352702,0.539527236458324,ENSG00000111364
ENSG00000112081.12,410.981057022816,0.243879988463528,0.19616664030338396,1.24322865542455,0.21378358602439002,0.558318497377517,ENSG00000112081
ENSG00000112237.8,138.985417926789,0.00493199126419655,0.33667609328181,0.0146490688308786,0.98831215217724,0.9973515925934949,ENSG00000112237
ENSG00000112855.10,81.4585365668175,-0.759510116526105,0.445196747301696,-1.70601003068742,0.0880062120349485,0.37910652463921296,ENSG00000112855
ENSG00000113569.11,388.09760811758497,0.26339480330022497,0.200901759042288,1.31106270326275,0.18983658015391502,0.529299583634706,ENSG00000113569
ENSG00000113810.11,1288.43584491915,-0.23454502973448801,0.131838222702279,-1.77903664754451,0.0752337539011504,0.350419223231822,ENSG00000113810
ENSG00000114346.9,415.85064217408996,-0.445695606764636,0.20535577629626003,-2.17035826701872,0.029979715720236,0.22703417590174302,ENSG00000114346
ENSG00000115053.11,1202.22135627016,0.14799194241886998,0.170096604489108,0.8700464236976959,0.38427503468601293,0.7225874413625101,ENSG00000115053
ENSG00000115548.12,409.053810750952,-0.448244514794441,0.209457142555401,-2.14002974224611,0.0323523631979974,0.23628922155200602,ENSG00000115548
ENSG00000115875.14,185.898668536727,-0.0816302833316197,0.28201281518469895,-0.28945593581680895,0.772232495374027,0.9265525765941172,ENSG00000115875
ENSG00000116001.11,157.687709005502,-0.0683825739442726,0.291749860939235,-0.23438768307935998,0.814684019837428,0.941642108280203,ENSG00000116001
ENSG00000116906.7,141.79654451897102,0.538523640188721,0.30642363939641404,1.7574480913074801,0.0788414622943373,0.35875487565507597,ENSG00000116906
ENSG00000117616.13,269.053187990195,-0.248322246650541,0.32133111370034,-0.772792412757501,0.43964524439648206,0.761746348578054,ENSG00000117616
ENSG00000118515.7,47.586695253346605,-0.581365133670159,0.6450177489769999,-0.901316490270548,0.3674200684948621,0.708531727650024,ENSG00000118515
ENSG00000119414.7,127.06396028420001,0.662509357459754,0.3935747657806,1.6833125877513,0.0923145948738687,0.38626518055065295,ENSG00000119414
ENSG00000120438.7,845.408104662727,0.0623965462187491,0.157273436878351,0.39673925525651293,0.691559749295245,0.893010906782458,ENSG00000120438
ENSG00000120699.8,100.017285822671,0.0706665709400389,0.38489745172476897,0.18359843803427103,0.854328488560424,0.9567024578324251,ENSG00000120699
ENSG00000122566.16,2220.36322075083,0.50915523228114,0.12787119112145698,3.98178219672269,6.840044637981561e-05,0.0039430167432769,ENSG00000122566
ENSG00000124193.10,444.13949235698095,0.253065342145728,0.20337945518096898,1.2443014065533202,0.213388653579957,0.55761822508602,ENSG00000124193
ENSG00000128708.8,238.88453108286598,0.656276664996545,0.272941469666859,2.40445933627298,0.016196408013744,0.162964812152864,ENSG00000128708
ENSG00000130939.14,260.194127320358,0.36174384161022,0.24768767862154,1.46048379807764,0.14415715716997698,0.472888935332844,ENSG00000130939
