baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.10	153.248665346507	-0.35754985770307	0.314365870618921	-1.1373685603947	0.255384244601717	0.56006780279967
ENSG00000000005.5	0	NA	NA	NA	NA	NA
ENSG00000000419.8	152.465279437921	-0.222335388890714	0.311609314146366	-0.713506877994927	0.475532158562262	0.750151980131968
ENSG00000000457.9	34.4264710982773	0.569069197662596	0.607154501154284	0.937272467849151	0.348618421396227	0.650462314251766
ENSG00000000460.12	23.0602633688904	-1.00341916027535	0.842049632914893	-1.19163897358621	0.233402836313572	0.534193664659323
ENSG00000000938.8	0	NA	NA	NA	NA	NA
ENSG00000000971.11	0	NA	NA	NA	NA	NA
ENSG00000001036.9	223.025853788113	0.0702165120860328	0.254024086795243	0.276416748395324	0.782227994294473	0.910045382622379
ENSG00000001084.6	352.694459012369	3.16297548151281	0.303159347195178	10.4333760801921	1.74573094003872e-25	1.17499330470873e-22
ENSG00000001167.10	53.89737222888	-0.230159614967876	0.606864372036135	-0.379260384318905	0.704494514719852	0.875958582410903
ENSG00000001460.13	11.9894424678419	-0.184651440107387	1.11394150121875	-0.16576403689544	0.8683426489115	NA
ENSG00000001461.12	30.1029043831368	-0.648726985123576	0.636094320339302	-1.01985973523162	0.307794988020821	0.61445965345141
ENSG00000001497.12	51.0038999058398	-0.871325847528143	0.538027409821549	-1.6194822635842	0.105343539629599	0.349633499059183
ENSG00000001561.6	0.425299242792184	-0.150629731030372	4.97028365997038	-0.0303060632622464	0.975822961011323	NA
ENSG00000001617.7	44.3981096012285	0.0695313105333153	0.55184688383492	0.125997468808966	0.899733928205924	0.961036155222917
ENSG00000001626.10	0.220004452537941	1.04305366119721	4.99455036352322	0.208838350858359	0.834574431711141	NA
ENSG00000001629.5	108.115988199411	0.0124045211381005	0.659548649195433	0.0188075908475174	0.984994598274222	0.99490813300602
ENSG00000001630.11	882.33287066177	-0.632460517547879	0.170440077884254	-3.7107499914274	0.000206646112619437	0.00389234916605567
ENSG00000001631.10	53.3095198703338	0.494226956637982	0.479665026534916	1.03035854043448	0.302841727904624	0.609790603295788
ENSG00000002016.12	42.4882497816231	0.12673595833677	0.586605129673814	0.216049863742655	0.82894887963834	0.927526087645869
ENSG00000002330.9	15.8397063269763	-0.347193372040005	1.11404506052029	-0.311651103123115	0.755305692358534	NA
ENSG00000002549.8	139.281311782081	0.278892964234523	0.359863818338347	0.774995845712683	0.438342114370443	0.722177217148171
ENSG00000002586.13	253.120200772303	0.0906910082293484	0.296366956167601	0.306009176603551	0.759597658811546	0.900608857492955
ENSG00000002587.5	7.07315629117252	-0.0723531752479007	1.3010535948849	-0.0556112181176532	0.955651527570751	NA
ENSG00000002726.15	0.220004452537941	1.04305366119721	4.99455036352322	0.208838350858359	0.834574431711141	NA
ENSG00000002745.8	0	NA	NA	NA	NA	NA
ENSG00000002746.10	7.02595359288012	0.583365017901914	1.27465331334855	0.45766563487714	0.647192680872324	NA
ENSG00000002822.11	50.9946393883212	-1.3006143929602	0.722513539139526	-1.8001245962936	0.0718409666376838	0.27725779784941
ENSG00000002834.13	492.509408607521	-0.264654968709305	0.23808230921113	-1.11161123052873	0.2663053417506	0.571893755752795
ENSG00000002919.10	76.9421523918557	0.723171950965526	0.434709093183502	1.66357677422739	0.0961970365217011	0.330910992233196
ENSG00000002933.3	0.41584459153518	2.10583481051741	4.90540340004554	0.429288814554551	0.667713055896293	NA
ENSG00000003056.3	163.15392338735	-0.013168239354132	0.28975060504003	-0.0454468053735826	0.96375117421126	0.98751972544777
ENSG00000003096.9	0.770746375071091	-1.06947586116189	3.59320019809839	-0.297638818379193	0.765978843790412	NA
ENSG00000003137.4	0.981930038385937	2.80826896584451	3.9427264423407	0.712265739688831	0.476300235108233	NA
ENSG00000003147.13	0.162209448227256	1.40953488691724	4.96473286484273	0.283909512412787	0.776479726484001	NA
ENSG00000003249.9	75.7956845678049	-0.106038588388471	0.428235692317244	-0.247617352525384	0.804430483402579	0.919935563045642
ENSG00000003393.10	107.569707756781	0.102765901758004	0.373519855406021	0.275128350663703	0.783217631078266	0.910776918148603
ENSG00000003400.10	131.446805470414	0.447182638754297	0.31618261916055	1.41431758627829	0.157268675645442	0.432992786832939
ENSG00000003402.15	645.991653514448	0.355825869222704	0.183612590252455	1.93791650525418	0.0526334099382615	0.227867455718991
ENSG00000003436.10	1188.68260294369	-0.235827957709858	0.148609989857826	-1.58689168834123	0.112537177716845	0.36241637838254
ENSG00000003509.11	68.6492325948657	0.3711375607534	0.439714342567422	0.844042426695447	0.398645697889324	0.688105140347173
ENSG00000003756.12	195.479616424882	0.489056961746569	0.269068752268965	1.8175910715106	0.0691266572902385	0.269772992656454
ENSG00000003987.9	0.526049872676908	-2.07705496811885	4.86144687766839	-0.427250368128065	0.669196978584693	NA
ENSG00000003989.12	553.056866317078	-1.4066639589099	0.210264980607198	-6.68995833185235	2.23234150762633e-11	2.78243455074017e-09
ENSG00000004059.6	97.2772511660721	-0.181167429603912	0.368506598914274	-0.491626011956593	0.622983751300543	0.838334973766289
ENSG00000004139.9	40.2968744538373	4.35105817405285	1.33953912691877	3.2481755005255	0.00116147606978471	0.0157611053770785
ENSG00000004142.7	197.03110461138	-0.514976954271993	0.272700479993526	-1.88843435216623	0.0589676632622557	0.244592246629307
ENSG00000004399.8	211.147840163002	0.411017164365043	0.270773514235738	1.51793710520449	0.129030254820747	0.388616257880945
ENSG00000004455.12	204.057303368532	-0.313088549505815	0.269913601983042	-1.15995839856002	0.246065744237159	0.549133455751185
ENSG00000004468.8	3.24122345041021	0.818581596517251	1.75924108779731	0.465303818899644	0.641713900375536	NA
ENSG00000004478.5	116.08251002144	-0.0806160506151303	0.360059772210355	-0.223896299551155	0.822837995174682	0.926438318198237
ENSG00000004487.11	216.03664534014	-0.357477348277318	0.315822523253489	-1.13189314237223	0.257679362114022	0.56237156072269
ENSG00000004534.10	276.010273063814	0.243671626517686	0.231656768332003	1.05186491321706	0.292861531698101	0.598961226570114
ENSG00000004660.10	3.53484345555493	2.5859040352139e-06	1.68490643798618	1.53474636746275e-06	0.999998775449569	NA
ENSG00000004700.11	79.4715214082899	-0.780623898830243	0.905859252580784	-0.861749655485942	0.388825294298797	0.68022529392491
ENSG00000004766.11	27.0095154193356	0.021501765573215	0.739671864764256	0.0290693300603882	0.976809296522296	0.993352844445097
ENSG00000004776.7	0.469525976246087	-2.26119571922958	4.8922748629809	-0.46219719507988	0.64393991453406	NA
ENSG00000004777.14	16.55469235663	-0.390854422617287	0.884666247895053	-0.441810031237513	0.658626679028964	NA
ENSG00000004779.5	150.276690972368	0.260954308524214	0.319321590864605	0.817214732701429	0.413805724601788	0.701205538029481
ENSG00000004799.7	0.2247020304758	-1.6731468629508	4.9821069974774	-0.33583117821395	0.736998177438462	NA
ENSG00000004809.9	0.944445140495517	0.0423453575761017	3.40727770120831	0.0124279149777211	0.990084213770901	NA
ENSG00000004838.9	28.8682685731354	0.972572127629574	0.796945796042242	1.22037424936491	0.222323034469417	0.521024455896758
ENSG00000004846.12	37.4803762348484	0.534146328278709	0.562473348573521	0.949638466663972	0.342295985799816	0.644574108216804
