,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,819.706993490723,-0.407497108707207,0.152776263310054,-2.66728024287521,0.00764678795885785,0.0765695178960848,ENSG00000010244
ENSG00000011426.6,615.898453747689,-0.19865816104128398,0.23286006247392102,-0.8531225102781741,0.39359136951211104,0.712872955641578,ENSG00000011426
ENSG00000022840.11,516.638347428158,0.10982218484333199,0.17522214570773,0.6267597306251179,0.53081674377273,0.810850433861803,ENSG00000022840
ENSG00000023287.8,673.5602591563111,0.636155903493893,0.164101316336914,3.87660451295717,0.00010592432205442,0.0025356500795344896,ENSG00000023287
ENSG00000047410.9,1491.10609493828,-0.00664991348995616,0.128222095368395,-0.0518624615426094,0.9586382853506892,0.9889886442467679,ENSG00000047410
ENSG00000068745.10,438.33925894403296,0.0846450437477015,0.21042101031655397,0.40226517124104105,0.6874888839531529,0.8927874809154358,ENSG00000068745
ENSG00000070756.9,7489.761505291651,0.10940072265544198,0.103952981580422,1.05240581840171,0.292613400349171,0.626881869901612,ENSG00000070756
ENSG00000072756.12,97.7673904410079,-0.129199237947212,0.375444665737334,-0.34412324834467406,0.730753599777354,0.9117156699803771,ENSG00000072756
ENSG00000073921.13,795.088201580096,0.0814931836267758,0.157214345219085,0.518357173534079,0.604209089244433,0.8566351459623499,ENSG00000073921
ENSG00000077380.11,698.60308793487,0.3579843560599171,0.155967092879173,2.29525568151255,0.0217184758348468,0.156880157933944,ENSG00000077380
ENSG00000078674.13,1358.72608372105,0.0521863138043964,0.125115993289286,0.41710346081603206,0.676602733647723,0.890885888499841,ENSG00000078674
ENSG00000080345.13,606.4044414353469,-0.215591355606232,0.172703607206268,-1.2483315148637402,0.21190967764370602,0.5411619624292999,ENSG00000080345
ENSG00000080986.8,135.485635086193,-0.421351704322144,0.38129432259071605,-1.10505632882036,0.269135182095597,0.602168811512632,ENSG00000080986
ENSG00000082258.8,350.791965595811,0.12725098821427802,0.205835478998635,0.6182169800528989,0.536432318538942,0.814813045098747,ENSG00000082258
ENSG00000088205.8,579.340401741287,0.09925895660456599,0.166611121973089,0.595752284896073,0.551340723834552,0.8262369120230649,ENSG00000088205
ENSG00000088247.11,1671.2146086055302,0.847147622638202,0.411960258348803,2.05638190934653,0.039745718650264,0.227344090555575,ENSG00000088247
ENSG00000092199.13,3195.1554388882,0.325613505276632,0.112812688127108,2.8863198872608797,0.00389775771492166,0.0469159615178587,ENSG00000092199
ENSG00000096384.15,12254.8466386082,0.0786740101635603,0.0852830390768109,0.922504767831994,0.35626534452488706,0.6840615093448621,ENSG00000096384
ENSG00000100023.13,440.222657583999,-0.39456992242728894,0.18735862062204503,-2.1059608632753997,0.0352077520691547,0.21257887848422,ENSG00000100023
ENSG00000100201.14,2957.56605998813,-0.0848711271857071,0.112165711660033,-0.7566583934575809,0.44925454762724804,0.7544095035635621,ENSG00000100201
ENSG00000101972.14,473.96206617900003,-1.0102794835959898,0.249752326739261,-4.0451254119875,5.22951213913005e-05,0.00143414051318712,ENSG00000101972
