baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.10	4.83841822671389	0.982733885168206	1.56347837863149	0.628556108353983	0.529639702847555	NA
ENSG00000000005.5	0	NA	NA	NA	NA	NA
ENSG00000000419.8	223.117065782245	-0.221946954408584	0.293797158490638	-0.755442821669278	0.449983327853107	0.736269539172739
ENSG00000000457.9	69.3810916701483	0.910120664848634	0.463419370275332	1.9639245211263	0.0495388457062614	0.263321424131863
ENSG00000000460.12	120.902498637836	-0.83297941321638	0.348809708799662	-2.38806258026149	0.0169374573974481	0.143527341549402
ENSG00000000938.8	0	NA	NA	NA	NA	NA
ENSG00000000971.11	209.427128922421	0.0327674509957078	0.277626812596096	0.118026968250287	0.906046289651705	0.965723020165255
ENSG00000001036.9	343.784138719496	0.0910085801077851	0.214645388109407	0.423995040887611	0.671569429940179	0.860846109982972
ENSG00000001084.6	85.6597631422034	0.338387998890511	0.43492201672387	0.778042926958448	0.436543707000224	0.726250507945059
ENSG00000001167.10	198.947190162009	0.679047371409945	0.279187623608079	2.43222590827731	0.0150063444524773	0.132436295901078
ENSG00000001460.13	38.6111845960942	-0.521034477960532	0.584745835917457	-0.891044358003913	0.372905373661893	0.67534633406409
ENSG00000001461.12	158.108409915705	-0.0842551150525162	0.288862071840831	-0.291679397421696	0.770531763049798	0.908161052716598
ENSG00000001497.12	464.79912329605	-0.503125392460623	0.173672650815065	-2.89697537349375	0.00376779330515582	0.0533573598999196
ENSG00000001561.6	0	NA	NA	NA	NA	NA
ENSG00000001617.7	23.5332837897314	0.397767959941769	0.726459415313449	0.547543264712374	0.584005555353274	0.817142022067186
ENSG00000001626.10	0	NA	NA	NA	NA	NA
ENSG00000001629.5	214.106019092644	0.885985387205783	0.29055386205888	3.04929826410719	0.00229376628126845	0.0362638994555482
ENSG00000001630.11	1079.52591632529	-0.136733030241843	0.141138061481758	-0.968789204034207	0.332650374203838	0.641924767330108
ENSG00000001631.10	303.610308148763	-0.118185686871042	0.223871649301597	-0.527917167000561	0.597556829050953	0.82441435829747
ENSG00000002016.12	35.7974096722356	-0.114718689176077	0.625312363125211	-0.183458213752134	0.85443850287385	0.942972843639916
ENSG00000002330.9	26.4348891323827	0.527638438551521	0.811603017755599	0.65011887216813	0.515615439729019	0.778259557253789
ENSG00000002549.8	251.291087463949	0.0296849237735115	0.246612144634735	0.120370891780203	0.90418934871397	0.964998297816396
ENSG00000002586.13	94.6467923475291	0.162118763552215	0.375459938541939	0.431787114709992	0.66589614540064	0.857918771520622
ENSG00000002587.5	10.4894423203012	1.93906260528668	1.08434539789578	1.7882333517065	0.0737383675454455	0.318775858601666
ENSG00000002726.15	1.9013480045953	2.44267635637203	2.70542091880852	0.902882187163614	0.366588425444447	NA
ENSG00000002745.8	0.227463642585864	2.35289507219211	4.96551009063631	0.473847606639461	0.63560858331847	NA
ENSG00000002746.10	20.9787025745736	3.84680741239506	1.10302120156444	3.48751901317858	0.000487524258195904	0.0111462752181301
ENSG00000002822.11	100.01810458024	-0.203679617618044	0.440295195316937	-0.462597865669257	0.643652638794112	0.847860033974053
ENSG00000002834.13	1187.8974441692	0.448451351437767	0.120221824864594	3.73019917093139	0.00019132846429266	0.00523130121416642
ENSG00000002919.10	98.5039054398446	0.0382852168654084	0.380982162747428	0.100490838178137	0.919954656094476	0.969548067514748
ENSG00000002933.3	0	NA	NA	NA	NA	NA
ENSG00000003056.3	293.282350131713	-0.448985798879247	0.228627775345469	-1.96382875265617	0.0495499544934641	0.263321424131863
ENSG00000003096.9	33.9010506135906	1.76985718736325	0.68069828288967	2.60006118988568	0.00932071389899159	0.099100224311246
ENSG00000003137.4	0.399317800202274	1.74019351407614	4.9391629201898	0.352325594882234	0.724594095273901	NA
ENSG00000003147.13	70.0243172203264	0.170556752431044	0.470356801448152	0.36261143010142	0.716895170641323	0.884000746066824
ENSG00000003249.9	58.9907268884774	-0.419652993892352	0.490754534085538	-0.855117914853961	0.392485872787622	0.691186608818241
ENSG00000003393.10	119.23623605785	0.202327339418992	0.330841361114369	0.611553944577836	0.540832917190248	0.792552367743296
ENSG00000003400.10	271.325114086439	0.572964978225074	0.223359918329645	2.56520947227186	0.0103113533508931	0.105212451961617
ENSG00000003402.15	1199.58257629055	-0.0968939541468539	0.135832677425093	-0.713333168303978	0.475639617633781	0.753013782010367
ENSG00000003436.10	1022.82682870868	-0.0687009211181959	0.151649881593702	-0.453023242723383	0.65053200503612	0.850682052491374
ENSG00000003509.11	103.298699887889	0.322124484530339	0.364612218448771	0.883471447832455	0.37698160257156	0.678383315526938
ENSG00000003756.12	329.679865646235	0.138807608484875	0.207623144174318	0.66855556511722	0.50377902565361	0.77192341728001
ENSG00000003987.9	0	NA	NA	NA	NA	NA
ENSG00000003989.12	3.51767613485843	-3.73693474335998	2.48993093234309	-1.500818635095	0.133402477406572	NA
ENSG00000004059.6	263.786961144548	0.00100308058406852	0.223100280594089	0.00449609736660768	0.996412645413652	0.99846078255709
