,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,1554.3622392901502,-0.0218102008939073,0.262613862253451,-0.0830504555500505,0.9338114204239071,0.998363395774533,ENSG00000010244
ENSG00000011426.6,536.671941568746,0.7589674195950559,0.24394841054224398,3.11118001510252,0.0018634130574015399,0.157967207624969,ENSG00000011426
ENSG00000022840.11,718.817722676626,0.095636853120947,0.234103579411332,0.408523668717205,0.6828892574640171,0.9919234981382009,ENSG00000022840
ENSG00000023287.8,796.203311249942,0.972868712696936,0.25885578214139604,3.75834259775399,0.00017104258302362,0.0370680396635425,ENSG00000023287
ENSG00000047410.9,3048.06582367742,-0.408808932658057,0.19975820763761498,-2.04651882639878,0.0407053521276807,0.618235163890938,ENSG00000047410
ENSG00000068745.10,329.607016553842,0.373713816577502,0.274927770995607,1.35931635870817,0.174046362479021,0.860414182141282,ENSG00000068745
ENSG00000070756.9,18964.5522429872,-0.103179766982047,0.23902484071342603,-0.43166964016828796,0.665981535963941,0.990891877677643,ENSG00000070756
ENSG00000072756.12,215.80223886672198,0.0478545926894085,0.294713811722502,0.16237648452821,0.871009387709518,0.998363395774533,ENSG00000072756
ENSG00000073921.13,3260.39994417905,0.0305525092682596,0.23173500235660602,0.131842444851054,0.895108913429167,0.998363395774533,ENSG00000073921
ENSG00000077380.11,948.5779771981889,-0.272521580060459,0.259498321672719,-1.05018629139407,0.29363247099965806,0.944029424700515,ENSG00000077380
ENSG00000078674.13,1042.95480762114,-0.108553733917131,0.214755511806943,-0.505475892114547,0.613224626783236,0.98603435392131,ENSG00000078674
ENSG00000080345.13,889.538061925559,-0.280272274604919,0.22695385456417103,-1.23493066528056,0.216856309564677,0.8954585923029059,ENSG00000080345
ENSG00000080986.8,718.572902409323,-0.0766036118918615,0.224766504875064,-0.340814179294382,0.7332434753310392,0.9956783437785691,ENSG00000080986
ENSG00000082258.8,215.000264659989,0.497122520675245,0.362910758462817,1.36982029075387,0.17074300647875,0.8601191950627841,ENSG00000082258
ENSG00000088205.8,553.839884828232,-0.537707569547455,0.24408034560835,-2.20299413378518,0.0275951621079054,0.512978184565775,ENSG00000088205
ENSG00000088247.11,4184.51291874201,-0.7432442154923159,1.30422127002317,-0.569875858165625,0.568761900100144,0.983122236202694,ENSG00000088247
