ID,Acc,total_sigBound,randSig1,randSig2,randSig3,TotalExpressGene,OverSigGene,UnderSigGene,BoundFLEXIGene,OverSigBoundFLEXIGene,UnderSigBoundFLEXIGene,SigEnrich,BoundFLEXIdirectionSig
DDX55_Hepg2,ENCFF266JFK,65,15,16,13,23735,2566,2586,120,58,7,7.78681081282912e-17,3.48575826970806e-11
LARP4_Hepg2,ENCFF031VQT,29,9,14,13,15974,668,811,116,6,23,0.638835708261797,0.00818950891102297
RBM22_Hepg2,ENCFF226VJI,38,15,25,4,15890,1036,1115,115,14,24,0.0397062606857195,0.19133162649846
TIAL1_Hepg2,ENCFF676ANO,35,18,11,9,15359,841,757,115,9,26,0.305201670811831,0.0017929439741709
U2AF2_Hepg2,ENCFF977KPO,35,12,22,13,15405,902,1013,115,10,25,0.234843677916855,0.038908841049738
AQR_K562,ENCFF621EJK,56,27,29,27,16121,1682,1535,116,30,26,4.90333484179355e-05,0.893196430341027
DDX55_K562,ENCFF929SZO,1,0,0,0,22733,37,28,121,1,0,0.183903318758913,1
GPKOW_Hepg2,ENCFF144WPX,44,16,23,24,15778,1156,1207,115,6,38,0.584670803204168,1.89242370488001e-06
GPKOW_K562,ENCFF552OYI,16,6,6,6,15833,496,403,117,5,11,0.424791901360224,0.0750750662429568
LARP4_K562,ENCFF896EJQ,2,0,0,0,15498,25,37,116,1,1,0.177485556861283,1
NCBP2_Hepg2,ENCFF223RGY,25,10,8,6,15196,360,639,115,12,13,4.92744717225537e-05,0.291887595835473
NCBP2_K562,ENCFF154DDX,3,1,1,2,15081,75,59,116,1,2,0.443390111729099,0.58530127379419
PCBP2_Hepg2,ENCFF530EKH,15,3,0,1,15218,183,242,115,3,12,0.168537097553174,0.109030176585198
PCBP2_K562,ENCFF145ERN,27,8,6,5,15510,509,490,116,19,8,8.29430344698958e-08,0.0518529026281117
RBM15_Hepg2,ENCFF522XFF,23,7,4,9,15829,502,589,116,7,16,0.107996707974762,0.203521507825494
RBM15_K562,ENCFF094EZU,39,13,12,11,15680,931,861,116,25,14,3.74194879456003e-07,0.146758952473734
RBM22_K562,ENCFF171MHF,25,7,6,12,15630,495,466,116,19,6,4.91389702546095e-08,0.023794646178495
RPS3_Hepg2,ENCFF856MTX,12,3,7,1,15185,273,294,116,0,12,0.274263150532322,0.000533999496562506
RPS3_K562,ENCFF179ZJC,12,2,1,4,15624,167,258,117,4,8,0.0415695717508179,0.771922635221097
SF3A3_Hepg2,ENCFF242RLJ,31,14,7,16,15684,962,1185,115,16,15,0.00434591605057535,0.471693814238996
SF3A3_K562,ENCFF619XCF,21,10,8,6,15992,475,392,117,10,11,0.0041171998882945,0.516579398673934
SF3B4_Hepg2,ENCFF494LZQ,21,13,9,5,15364,569,557,116,14,7,0.000268187190398978,0.18645423152768
SF3B4_K562,ENCFF164VVS,11,0,2,1,14928,136,144,116,7,4,0.000162006147381719,0.371350166504006
SRSF1_Hepg2,ENCFF952TMK,34,13,10,13,15445,832,885,116,21,13,7.89945024235191e-06,0.164944265755018
SRSF1_K562,ENCFF659UGE,47,9,7,11,15501,630,699,116,28,19,3.55742184518803e-12,0.104675483013589
TIAL1_K562,ENCFF264FSQ,10,2,1,1,14818,147,116,116,1,9,1,0.00644874572598825
U2AF1_K562,ENCFF880KEP,6,5,2,3,14806,121,120,116,5,1,0.00348607725937447,0.213593486410675
UCHL5_Hepg2,ENCFF775JTQ,7,5,4,1,14989,240,145,115,1,6,1,0.0145715188338283
UCHL5_K562,ENCFF327BZR,15,2,1,5,15016,214,191,117,5,10,0.0305725527502534,0.188435934343246
ZNF622_Hepg2,ENCFF597FJT,90,17,26,29,24305,4048,4321,120,70,20,1.37397412094941e-14,1.5825452191565e-08
