AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FKBP4BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B1BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
AATF	28.7025251626294	2.06331121091138	0.00890746013574796	0	0	0	0	0.560975960338846	0	0.0461520312604573	0.00825196390068264	0	0	0	0.298200095664354	0	0	0	0.48350626594058	0	0	0.0538309712655758	0	0	0.0913795832894278	12.6039306188867	0.674159307814337	0	0.18048191184114	0	0	0	0.440965106171864	0.183569331056223	0	0	0	0	0	0	0	0	0	1.01202593843944	0	0	0	0	0	0	0	0	0.92466133542228	0	0	0	0	0.708169442691288	0.231758320009194	12.0047287610784	0	0	0.153623172405669	0	2.34982584789993	13.569887883759	13.524940588879	0	0.15566507063106	20.6721008958899	0.39681865302516	1.06535423529782	0	0.191768845428087	0	3.06877738026486	0	0	0	8.897500371095	0	0	0	-0.0632991236078512	0	0.113051113175979	0.15213359560861	0	2.44778539455755	1.31840463375303	0	0	0	0.270226559213284	0	9.34906504579698	0	0.188670378218955	0	0	0.629420363847078	3.44609601118642	0	0	0	0.862904306496909	1.0376805876299	1.15060616485982	0.603559608054434	0	0.364148421133571	0	0	0	5.06046205506247	1.61169636109115	0	0.430873351579849	0.614697383260865	0.0710609615837794	0	0	11.4268967957346	0	0	0.59947370684119
ABCF1	2.31765172407068	3.91546199225232	0	0	0	0	0	0.00831282189206058	0	0	0	0	0	0	0.592670289030017	0.0154067080617971	0	0	0	0	0	0	0	0	0	2.53887661499687	0	0	0	0	0	0	0	0.451841414818038	0	0	0	0	0	0	0	0	0	1.25282930073761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61239364722497	0	0	0	0	0	2.80681341711109	1.49117877309335	0	0	2.14640310590563	0	0	0	0	0	2.0519409404883	0	0	0	2.90879407816798	0	0	0	0	0	0	0	0	0.563739882507037	0	0	0	0	0	0	1.54433977955302	0	0	0	0	0.629420363847078	0	0	0	0	0	0	0	0.441568171698115	0	0	0.0723397821116241	0	0	2.06161470350497	0	0	0	0	0	0	0	1.5789683006755	0	0	0
AGGF1	0.341884597741514	0	9.88582090200148	0	0	0	0	0	0	-0.0493749886465413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324465143399035	0.350772065452577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226778640177983	0	0	0	0	0	0	0	0	0	0	0.558749745831953	0	0	0	0	0.13266133389519	0	0.357419038279309	0.0525243277198514	0	0	0	0	0.356125426450881	0.333118831533336	0	0	0.238937146300044	0	0	0	0	0	0	0	0	0	0.350583104361196	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396166998219426	0	0.166792232407953	0	0	0	0	0	0.282274240525044	0	0	0	0	0	0	2.10890500683382	0	0	0	0.0198053698535009	0	0	0	0	0	0	0	0	0	0.377591084097607	0	0.0773325868412039	0
AGO	-0.343971720972133	0	0	143.462477804228	0	0	-0.0296247504113331	-6.07789523873341	-0.986808487570256	-3.42664458270215	-0.0901666887933642	0	0	0	0	-2.00205411613466	-0.700405229138722	0	0	0	0	0	0	0	10.9580665848573	0	-0.350912138309383	-3.35041204656298	0	0	0	0	-0.110150704936757	0	0	0	0	0	0	0	0	-0.24344471433718	-0.111177688003346	-0.0878535278102297	-0.633117542551563	0	-2.35951649852591	0	0	0	0	0	0	0	0	0	0	-0.994010432015515	-0.0676192308168519	-0.125357149622176	-0.0525243277198514	-0.241530284507734	0	0	-0.194826361274598	-0.228701758331898	-0.088302922613233	0	0	-0.0228233896040257	0	-0.110489046025255	-0.0272809311516312	0	0	-0.266243651871397	-2.66572302564477	-0.488118698702937	-5.65313895550195	-0.320746873258321	-0.126845805757605	0	0	-1.19612152684256	-0.34474827215141	-0.726332081700858	0	-0.273629024875272	0	0	-0.996953446485302	0	-4.08033190727921	0	0	-1.08355957295685	-0.0100715963270965	-0.103906180177485	-0.0783215726469182	0	0	0	0	0	0	0	-0.720166356614472	0	-0.89617955067242	0	-0.524991438092328	-1.55382913170265	-1.5046318678094	0	0	0	0.051724088018833	0	-0.36722991820428	0	0	0	0	-3.85881408710669	-1.42969915286228	0
AKAP1	0	0	0	0	4.56902471622241	0	0	0.00831282189206058	0	0	0	0	0	0	0	0	0.271411663408229	0	0	0.382339499536305	0	0	0	0	0	0	0	0	0	0.390881094791045	0	0	0	0	0	0	0	0	0.258345884108174	0	0	0	0	0.456796582959541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.430793496439638	0	0	0.206725897132528	0	0	0	0	0	0	0	0	0	0.40606511902602	0	0.378166120394271	0.281423012422267	0	0	0	0	0	0	0	0	0	0.0659733748288797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454282183961239	0	0	0	0	0	0	0	0	0.194999488679748	0.0723397821116241	0	1.93877574584707	0	0	0	0	0	0.16363685910404	0	0	0	0	0	0
AKAP8L	0	0	0	0	0	9.24136262404662	0	0.0648966726504086	0	0	0	0	0	1.1562821380322	0	0.405227939254692	0	0	0	0	0	0.268507092933302	0.274066487778276	0	0	0	0.350912138309383	0	0	0	0	0	1.2535388331755	0	0	0	0	0	0	0.387271277510878	0	0	0	0.339929607286086	0	0	0	0	0	0	0.0676448775595303	0	0	0	0	0	0	0	0	0	0	0	0	0.113250981578263	0	0	0	0	0	0	0	0	0	0	0	0.571702314669427	0	0.0943012304631079	0	0	0.139125671411114	0	0	1.04942641723898	0	0.0156946247762851	0	0	0	0	0	0	0	0	0.575161893371278	0.535299695113801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198053698535009	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	0	0	0	0	0	0	18.3517983623565	0.00831282189206058	0.914210910927331	0	0.143560450440543	0	0	0	0	-0.00160327290603333	0.273548641282721	0	0	1.84499339547826	0	0.15342882572342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844131502800024	0	0	0.583892572636023	0.286336535432124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241680024405265	2.66418724561905	0	0.16790645601464	0.241530284507734	0	0	0.194826361274598	0	0	0	0	0	0	2.83965723579893	0	0.110748238820307	0	0	0	0	0	0	1.03486480561455	0	0	0	0	0.418516375398746	0	2.7203087512464	0	0	0	0	0	0	0	-0.0326096312755823	0.00970175492652298	0	0.113612574546576	0	0	1.3513181003152	0	0	0	0	0.174889031970609	0	0	0	0	-0.0451839996062504	0.202359308404376	0	0	0	0	0	0.0136785495198812	0	0	0.423455398976074	0	0.317021781920662	0.269291269319528	0
AQR	-1.62458471431184	0	0	-2.62110858867911	0	0	0	75.3320732898998	-6.24846771299345	0	-0.143560450440543	0	0	-1.07013492390841	0	-2.71327306077681	0	0	-0.058912551764975	-0.207981950093026	0	-0.193664933908412	0	0	-2.42369267460003	-1.11706293022998	0	-3.9244642138608	-0.204515464510362	0	0	0	-0.672364436989581	0	0	0	0	0	0	-0.187971822610842	0	-0.66499125805628	-0.610685300867068	0	0	0	-2.04651081586397	-0.0204955597785818	0	0	0	0	0	-0.309336262978477	0	0	0	0	-1.40780205894208	-1.50567722789852	-0.38969005696625	-0.241530284507734	-0.431057064120241	0	-0.194826361274598	-0.850956006748184	-1.27038426991727	0	0	-0.51371412926187	0	-1.03934767498219	-0.45818858888761	0	0	-1.03383111302458	-6.66125245830898	-0.456383346273772	0	-0.450363747230086	-0.582867249450634	0	0	-0.196503928816874	0	0	-0.15213359560861	-0.416369237911791	-0.682014533813401	-0.168337909450812	-1.39532486627904	0	-4.14130448165021	0	0	-3.60772586352543	0	-2.17681919274314	-0.166347129881827	0	0	-0.116317204224722	0	0	0	-0.609605691263667	-0.771703103940113	-0.76020608354234	0	0	-1.13831322654814	-2.09665229608369	-3.96923763324683	0	-1.08643814560051	-0.463431058621736	0	-0.428342699098782	-0.306280377142132	-0.191106617308945	0	0	-0.817014426990244	-2.49172848482637	-2.20148978096698	-0.523532073258526
BCLAF1	-0.67371747143822	0	0	-0.116102444183906	0	0	0.0296247504113331	-5.37147986787809	117.900084905682	-2.36957613626885	0	0	0	-0.229969832868131	0	0	-1.78384937776759	0	0	0	0	0	0	0	-1.82192034896174	-1.22081925951449	-0.199141064881338	-2.61615899500591	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04373714862034	0.529182019154078	-0.89436576188641	0.247346242329443	0	0.0203334729430365	-0.209900508033051	1.61160748280422	0	0	0	0	0	0	0	0	0.994010432015515	-0.307690285440565	-0.255909421766091	0	0	-0.446709272927872	0	-0.540286817632961	-0.356125426450881	-0.478035885320681	0	0	-1.40732566387464	0	-0.40606511902602	0	-0.489253695128362	0	-0.147944108151705	0	-2.75905872939652	-4.40597597352473	-0.252588319525838	0.0611019455431097	0	0	-1.86561710555152	-0.0799401925376105	-0.305416839160225	0	-0.273629024875272	0	0	-0.893837575450033	0	-4.74092311001311	0	0	-2.980356227247	-0.125047026209925	0	0.271593990595008	0	0	0	-0.0796304780412646	0	0	0	0	0.292514670783837	1.32891853037038	0	0	0	3.1342944803498	0	0	0	0	-0.0370693462606174	-1.23396899597913	0	0	0	-0.59321390011171	5.50741133215722	3.14252797086069	0
BUD13	-0.941307579681388	-0.0144396126043342	0	-0.116102444183906	0	0	0	1.48735106811764	-1.10835015780005	93.5861447864301	0	0	0	-0.547786206552263	0	0	-0.154482136602844	0	0	-0.258638247817366	0	-0.12708196500397	0	0	-0.737599639684602	-1.66365888042412	0	0.978059674763143	0	0	0	0	-0.120672583106149	0	0	0	0	0	0	0	0	-0.226778640177983	-0.0348983765497415	0	1.26291475369867	0	0	0	0	0	0	0	0	-0.206401693726956	0	0	0	-0.826615326832754	-0.913969324414395	-0.918274567693636	-0.276457609666941	0	-0.446709272927872	0	0	-0.409678572222363	-0.861969373804468	0	0	-0.582635735386638	-0.636379862307238	-1.05045864129922	0	0	0	-0.157697171889807	0	0	0.131084419221542	-0.710485875566039	-0.00189682172257575	0	0	0.180157083178746	0.0659733748288797	0.0223947092757266	-0.0529086662871263	-0.138735325322863	0	0	0	0	0.0525154964760395	0	0	-0.60034448682514	-0.125047026209925	0	-0.2840320175183	0	0	-0.87044564257338	0.1062826401469	0	0	0	-0.254397872072795	-0.115554614136622	-0.441568171698115	0	-0.124387584469145	-0.255394851677703	0	0	-0.729664095180015	0	0	0	0.384355846360674	-0.44699602583365	0	0	-0.474746318536946	0	-0.413369001388893	-0.303409077701674
