AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
AATF	12.5098614648117	1.08608096134741	0.11607531169462	0	0	0	0	0	0	0	0	0	0	0.271295194026393	0	0	0	0	0	0	0	0	0	2.96873164833407	0	0	0	0	0	0	0	0.120657640961046	0	0	0	0	0	0	0	0	0.670975949818751	0	0	0	0	0	0	0	0	0.280919411804117	0	0	0	0.0600080110194856	0	4.04860310437092	0	0	0	0	0.155912703487398	4.57788176830808	4.78824431941175	0	0	8.40191804104375	0	0.122725008257145	0	0	0	1.08608096134741	0	0	0	3.30927642195049	0	0	0.111594351158881	0	0	0	0	0	1.09127182130664	0	0	0	0.280919411804117	0	2.34718935936977	0	0.293606346199032	0.0149419339375729	0	0.0353640075282824	0.333221752928423	0	0	0	0.300969162561829	0.043464901453897	0.925557284449461	0	0	0.0045561757844763	0	0	1.67076497825872	0	0	0	0.169223104625744	0	0	4.01045125204866	0	0	0
ABCF1	1.28872131765948	1.76442384111903	0	0	0	0	0	0	0	0	0	0	0	0.501488644358771	0	0	0	0	0	0	0	0	0	1.52204838391383	0	0	0	0	0	0	0	0.312845604586297	0	0	0	0	0	0	0	0	1.00165622197892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57759898059597	0	0	0	0	0	1.45830866643857	1.45217218920062	0	0	1.09095433715616	0	0	0	0	0	1.76442384111903	0	0	0	1.74689472220149	0	0	0	0	0	0	0	0	0.527696563790979	0	0	0	0	0	0.782213206432881	0	0	0	0	0.259654681875726	0	0	0	0	0	0	0.438399837261596	0	0	0.102354728609852	0	0	1.82194275637047	0	0	0	0	0	0	1.55061570343828	0	0	0
AGGF1	0.309506585457908	0	3.4549179228262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20150086537106	0.361965457665126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172118663417378	0	0	0	0	0	0	0	0	0	0	0.340682881432837	0	0	0	0	0	0.388257496992501	0.0381905031382537	0	0	0	0	0.365682657186091	0.344935002977096	0	0	0.194645673257487	0	0	0	0	0	0	0	0	0	0.525592316312314	0	0	0	0	0	0	0	0	0	0	0	0	0.340682881432837	0	0.189964986450775	0	0	0	0	0	0.251299909465003	0	0	0	0	0	0.957946462491003	0	0	0	0.0329005223704355	0	0	0	0	0	0	0	0	0.395371106633168	0	0	0
AGO	-0.309506585457908	0	0	64.8220076198432	0	0	0	-2.38971113093056	0	-1.34529738170861	0	0	0	0	-0.0187174041572929	0	0	0	0	0	0	0	4.12222354716179	0	0	-1.70690223896376	0	0	0	0	0	0	0	0	0	0	0	0	-0.162085579647227	0	-0.028537542658804	0	0	-0.0325295005163763	0	0	0	0	0	0	0	0	0	-0.322646493807701	0	-0.156012249584929	0	0	0	0	0	-0.324570820080158	0	0	0	0	0	0	0	0	0	0	-0.729924542859476	0	-2.76206779980364	0	0	0	0	-0.101104556096337	-0.0578415145054432	-0.20955776659521	0	0	0	0	-0.88957122315264	-1.63094198399855	0	0	-0.169150133103996	0	0	0	0	0	0	0	0	0	-0.436141895195805	-0.344695128893989	-0.314928997177328	0	0	-0.102354728609852	0	0	0	0	0	0	-0.0271793285826164	0	0	0	-1.61036144311046	-0.147085880260541	0
AKAP1	0	0	0	0	0.20153604318714	0	0	0	0	0	0	0	0	0	0	0.250276179975243	0	0	0.451833031623001	0	0	0	0	0	0	0	0	0.417795042903637	0	0	0	0	0	0	0	0.0770143242070718	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365065671895346	0	0	0	0	0	0	0	0	0	0	0	0	0.278007353996124	0	0	0	0	0	0	0	0	0	0	0	0	0.0578415145054432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401410959986252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093314213931746	0	0	0	0	0
AKAP8L	0	0	0	0	0	2.27016452393279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275787471541927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.485376935088452	0	0	0	0	0	0	0	0	0	0	0	0.00810720166334087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140271953639034	0	0
APOBEC3C	0	0	0	0	0	0	7.51359067601091	0	0.79159786336738	0	0.0981857055365458	0	0	0	0	0.326504126913412	0	0	1.07727886032553	0	0.0358155090188986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728405504496354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569833529696712	0	0.0381905031382537	0	0	0	0	0	0	0	0	0	0	1.07132326465171	0	0.00231127663045149	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2192110767762	0	0	0	0	0	0	0	0	0	0.207834505026846	0	0	0.592932674504614	0	0	0	0.0112062849298065	0	0	0	0	0	0.114056401682819	0	0	0	0	0	0	0	0	0	0.810606728355797	0.347963298367147	0
AQR	-0.501767225284395	0	0	-0.466701368193447	0	0	0	29.2921917213091	-1.23013198423717	0	0	0	0	0	-0.279450917876115	0	0	0	0	0	0	0	-0.71919771487545	-0.0833814340877864	0	-1.09847834401805	0	0	0	0	0	0	0	0	0	0	0	0	-0.0320648170100528	0	0	0	0	-1.15529520754824	0	0	0	0	0	0	0	0	0	0	-0.210628907738742	-0.306456276145889	-0.112191723181122	0	-0.131265744797642	0	0	-0.350369636542329	-0.123726563247998	0	0	0	0	-0.0582853028904867	0	0	0	0	-2.90462433686232	-0.0183079498777148	0	0	0	0	0	0	0	0	0	-0.218719419933164	0	0	0	-0.786018881920853	0	0	-0.799181477327544	0	-0.487068236952035	-0.273605041947415	0	0	-0.195720710659127	0	0	0	-0.300969162561829	-0.0690035153380695	0	0	-0.265872441926554	-0.875479117019766	-2.47545694292044	0	0	0	0	0	0	-0.265069820547064	0	0	-1.17339492912165	-0.174124252533534	0
BCLAF1	0	0	0	0	0	0	0.0242678429749317	-0.735083424466525	45.1516372998732	-0.570246603206305	0	0	0	0	0	0	0	0	0	0	0	0	-0.0852067077340689	0	0	-1.35460788480937	0	0	0	0	0	0	0	0	0	0	0	0	1.07641920148703	0	-0.261602296584245	0	0	0	0	0	0	0	0	0	0	0	0	0.58859106610067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.198791727431915	-1.44802762747994	0	0	0	0	-0.0790700367432897	-0.0578415145054432	-0.00335535208260182	0	0	0.348058610614587	0	-0.0840820532179255	-1.61224090918618	0	0	-0.325829430992952	0	0	0.259693553335556	0	0	0	0	0	0	0	0.257256289418421	0.0228834567410612	0	0	0	1.78095753515444	0	0.0309778825462073	0	0	0	-0.155555607216618	0	0	0	1.78729555941942	1.37663050239349	0
BUD13	-0.0839641696210334	0	0	0	0	0	0	0.490466852308016	-0.316076802354726	37.4176544550471	0	0	0	0	0	0	0	0	-0.00450050958844513	0	0	0	-0.185891819614881	-0.424900567290056	0	0.235102492190025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418578387899695	0	0	0	0	0	0	0	0	0	0	0	-0.0600080110194856	-0.210628907738742	0	-0.0381905031382537	0	-0.131265744797642	0	0	0	0	0	0	0	0	-0.0630934954446078	0	0	0	0	0	0	0	-0.525592316312314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0237255641397968	0	0	0	0	0	-0.195720710659127	0	0	0	-0.0897445990338844	0	0	0	0	0	0	0	0	0	0	0	0.155555607216618	-0.0667683188348436	0	0	0	0	0
