ID	Name	Type	MDA	MCF	UHRR	K562	HEK	Hela	Plasma
18S_rRNA	18S_rRNA	18S_rRNA	14076	77949	467732	26299	94709	590816	1783976
28S_rRNA	28S_rRNA	28S_rRNA	202890	1068820	5492542	420068	530865	1936825	3830114
5.8S_rRNA	5.8S_rRNA	5.8S_rRNA	321003	847031	32540769	2199511	3429057	4153374	2079483
5S_rRNA	5S_rRNA	5S_rRNA	81909	397013	358135	761684	876717	567329	1384071
ENSG00000000003	TSPAN6	protein_coding	74	167	1358	27	524	581	4
ENSG00000000005	TNMD	protein_coding	4	3	21	6	8	0	2
ENSG00000000419	DPM1	protein_coding	105	546	2101	232	223	1398	6
ENSG00000000457	SCYL3	protein_coding	91	150	449	62	121	663	10
ENSG00000000460	C1orf112	protein_coding	107	121	1050	214	214	1210	40
ENSG00000000938	FGR	protein_coding	5	3	157	10	5	0	20
ENSG00000000971	CFH	protein_coding	24	24	190	261	43	352	23
ENSG00000001036	FUCA2	protein_coding	153	453	2418	316	345	683	2
ENSG00000001084	GCLC	protein_coding	49	174	1229	55	163	1049	11
ENSG00000001167	NFYA	protein_coding	75	217	1121	128	127	691	6
ENSG00000001460	STPG1	protein_coding	123	41	325	120	121	279	10
ENSG00000001461	NIPAL3	protein_coding	131	336	976	117	125	679	24
ENSG00000001497	LAS1L	protein_coding	162	145	1861	218	446	1944	6
ENSG00000001561	ENPP4	protein_coding	9	74	123	8	31	0	1
ENSG00000001617	SEMA3F	protein_coding	49	632	1077	103	244	464	18
ENSG00000001626	CFTR	protein_coding	37	115	535	96	114	156	102
ENSG00000001629	ANKIB1	protein_coding	73	434	1969	131	182	1567	42
ENSG00000001630	CYP51A1	protein_coding	87	786	2989	317	483	3226	12
ENSG00000001631	KRIT1	protein_coding	28	138	706	75	88	1107	7
ENSG00000002016	RAD52	protein_coding	45	81	764	54	120	830	9
ENSG00000002079	MYH16	pseudogene	67	20	85	30	39	40	28
ENSG00000002330	BAD	protein_coding	621	388	1632	150	437	320	4
ENSG00000002549	LAP3	protein_coding	85	212	1649	219	265	525	13
ENSG00000002586	CD99	protein_coding	783	695	5832	246	943	786	23
ENSG00000002587	HS3ST1	protein_coding	39	8	46	3	5	14	5
ENSG00000002726	AOC1	protein_coding	0	8	55	3	2	0	12
ENSG00000002746	HECW1	protein_coding	12	29	366	39	28	426	79
ENSG00000002822	MAD1L1	protein_coding	566	712	5789	715	935	2755	171
ENSG00000002834	LASP1	protein_coding	1084	984	4864	570	272	2141	47
ENSG00000002919	SNX11	protein_coding	84	273	682	134	359	247	7
ENSG00000002933	TMEM176A	protein_coding	4	10	23	6	3	0	3
ENSG00000003056	M6PR	protein_coding	129	372	3103	276	365	999	5
ENSG00000003096	KLHL13	protein_coding	21	288	522	25	135	1970	33
ENSG00000003137	CYP26B1	protein_coding	7	36	35	2	27	108	8
ENSG00000003147	ICA1	protein_coding	31	579	831	398	198	381	23
ENSG00000003249	DBNDD1	protein_coding	36	427	1067	93	290	101	9
ENSG00000003393	ALS2	protein_coding	90	169	773	66	115	419	15
ENSG00000003400	CASP10	protein_coding	6	31	444	92	32	127	8
ENSG00000003402	CFLAR	protein_coding	489	365	1495	349	137	704	64
ENSG00000003436	TFPI	protein_coding	166	97	2849	164	66	1605	24
ENSG00000003509	NDUFAF7	protein_coding	39	82	546	56	123	408	8
