Hallmark	PatientA	PatientB	MDA	MCF	Cancer	Healthy
Adipogenesis	0.055	0.13	0.092	0.63	1	0.42
Androgen response	0.55	0.095	0.27	0.041	1	1
Apical junction	0.17	0.048	0.26	0.5	1	0.42
Apoptosis	0.73	0.54	0.3	0.11	1	0.17
Bile acid metabolism	0.35	0.73	1	0.24	1	1
Cholesterol homeostasis	0.19	0.28	0.092	0.041	1	0.25
Complement	0.63	0.73	0.4	0.5	1	0.25
DNA repair	0.078	0.11	0.26	0.13	0.06	0.36
E2F targets	0.17	3.10E-05	0.00024	0.073	0.061	0.014
Epithelial mesenchymal transition	0.8	1	0.76	0.76	1	0.25
Estrogen response early	0.27	0.85	0.092	0.027	1	1
Estrogen response late	0.27	0.49	0.26	0.041	1	0.25
G2M checkpoint	0.09	0.0029	0.054	0.041	0.023	0.25
Glycolysis	0.019	0.1	0.18	0.041	0.023	1
Heme metabolism	0.27	0.26	0.4	0.2	1	0.17
Hypoxia	0.47	0.92	0.58	0.76	0.061	0.42
IL2/STAT5 signaling	0.63	0.97	1	0.63	1	0.42
IL6/JAK/STAT3 signaling	0.52	0.26	0.43	0.76	1	1
Inflammatory response	0.09	0.49	0.76	0.86	1	1
Interferon alpha response	0.06	0.47	0.17	0.76	1	1
Interferon gamma response	0.27	0.63	0.4	0.63	1	0.42
KRAS signaling down	0.63	0.92	0.76	0.94	1	0.25
Mitotic spindle	0.031	6.80E-05	0.00015	0.041	0.061	0.17
MTORC1 signaling	0.031	0.026	0.18	0.073	1	0.42
MYC targets V1	0.055	0.0015	0.4	0.86	1	0.17
MYC targets V2	0.055	0.0078	1	0.29	1	1
Myogenesis	0.27	0.26	0.26	0.2	0.061	1
NOTCH signaling	0.17	0.51	0.2	1	1	1
Oxidative phosphorylation	0.78	0.0031	0.26	0.17	1	1
p53 pathway	0.17	0.34	0.4	0.12	1	0.17
Peroxisome	0.57	0.69	0.51	0.63	1	1
PI3K/AKT/MTOR signaling	0.019	0.0083	0.18	0.11	0.042	0.25
Protein secretion	0.55	0.28	0.079	0.18	1	1
Reactive oxigen species pathway	0.09	0.69	1	1	1	1
TNFa signaling via NFkB	0.63	0.85	0.26	0.63	1	0.25
Unfolded protein response	0.17	0.13	0.53	0.23	1	0.17
UV response down	0.68	0.96	0.41	0.63	1	1
UV response up	0.055	0.021	0.00019	0.11	0.023	0.17
WNT beta catenin signaling	0.09	1	0.26	1	1	1
Xenobiotic metabolism	0.27	0.49	0.58	0.86	1	1
Allograft rejection	1	0.85	1	0.86	1	1
Fatty acid metabolism	1	0.69	0.7	0.5	1	1
KRAS signaling up	1	0.99	1	0.76	1	0.25
Spermatogenesis	1	0.98	1	1	1	0.35
TGF beta signaling	1	0.28	1	0.58	1	1
