Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	24	57.14285714285714	6.365170100497084E-16	ENSG00000065150, ENSG00000196262, ENSG00000108848, ENSG00000135486, ENSG00000131051, ENSG00000156508, ENSG00000090060, ENSG00000096384, ENSG00000157106, ENSG00000204569, ENSG00000197958, ENSG00000116001, ENSG00000163682, ENSG00000138095, ENSG00000136450, ENSG00000102317, ENSG00000169045, ENSG00000026297, ENSG00000126226, ENSG00000165119, ENSG00000100201, ENSG00000089157, ENSG00000122566, ENSG00000147403	41	1479	18967	7.50685202592391	1.0325074129013956E-13	9.929665356775451E-14	9.802361954765509E-14
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	8	19.047619047619047	7.478674158659822E-8	ENSG00000116001, ENSG00000138095, ENSG00000169045, ENSG00000165119, ENSG00000135486, ENSG00000100201, ENSG00000089157, ENSG00000122566	41	191	20647	21.092580768739627	1.0320517466633206E-5	1.0320570338950554E-5	9.64748966467117E-6
GOTERM_CC_DIRECT	GO:0005634~nucleus	27	64.28571428571429	3.6487591411174653E-6	ENSG00000065150, ENSG00000198561, ENSG00000196262, ENSG00000108848, ENSG00000135486, ENSG00000156508, ENSG00000116001, ENSG00000163682, ENSG00000115392, ENSG00000138095, ENSG00000136450, ENSG00000169045, ENSG00000100201, ENSG00000115947, ENSG00000131051, ENSG00000090060, ENSG00000096384, ENSG00000157106, ENSG00000204569, ENSG00000102317, ENSG00000126226, ENSG00000165119, ENSG00000089157, ENSG00000122566, ENSG00000147403, ENSG00000089053, ENSG00000166669	41	6100	20647	2.228984406237505	5.034029303156995E-4	2.517643807371051E-4	2.353449646020765E-4
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	5	11.904761904761903	2.9836317756524703E-5	ENSG00000136450, ENSG00000169045, ENSG00000165119, ENSG00000135486, ENSG00000122566	41	92	20647	27.368769883351003	0.0041090081050979554	0.0010741178858475777	0.0010040667193792574
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	5	11.904761904761903	3.1133851763697905E-5	ENSG00000197958, ENSG00000163682, ENSG00000156508, ENSG00000089157, ENSG00000147403	41	93	20647	27.07448203514293	0.004287321511402764	0.0010741178858475777	0.0010040667193792574
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	20	47.61904761904761	6.953803262751545E-5	ENSG00000065150, ENSG00000108848, ENSG00000115947, ENSG00000115657, ENSG00000135486, ENSG00000131051, ENSG00000090060, ENSG00000096384, ENSG00000157106, ENSG00000204569, ENSG00000116001, ENSG00000115392, ENSG00000138095, ENSG00000136450, ENSG00000102317, ENSG00000169045, ENSG00000165119, ENSG00000100201, ENSG00000122566, ENSG00000089053	41	4076	20647	2.4709782426577944	0.0095506819213651	0.0019192497005194264	0.0017940812417898985
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	6	14.285714285714285	1.3751160928614245E-4	ENSG00000116001, ENSG00000136450, ENSG00000131051, ENSG00000135486, ENSG00000122566, ENSG00000090060	42	238	19453	11.676470588235293	0.046861305835073974	0.047854040031577574	0.04744150520371914
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	14	33.33333333333333	1.989454915170839E-4	ENSG00000198561, ENSG00000196262, ENSG00000141959, ENSG00000115657, ENSG00000135486, ENSG00000156508, ENSG00000171557, ENSG00000096384, ENSG00000197958, ENSG00000026297, ENSG00000165119, ENSG00000089157, ENSG00000122566, ENSG00000102144	41	2240	20647	3.147408536585366	0.027083686434770105	0.004125588855905178	0.0038565287131287537
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	4	9.523809523809524	2.3534621486969378E-4	ENSG00000197958, ENSG00000163682, ENSG00000089157, ENSG00000147403	41	62	20647	32.48937844217152	0.031959738404102156	0.004125588855905178	0.0038565287131287537
GOTERM_CC_DIRECT	GO:0016020~membrane	18	42.857142857142854	2.3916457135682192E-4	ENSG00000065150, ENSG00000196262, ENSG00000141959, ENSG00000135486, ENSG00000156508, ENSG00000096384, ENSG00000197958, ENSG00000163682, ENSG00000138095, ENSG00000138074, ENSG00000169045, ENSG00000165119, ENSG00000100201, ENSG00000089157, ENSG00000122566, ENSG00000147403, ENSG00000144136, ENSG00000102144	41	3677	20647	2.4651989625689024	0.032469817570668025	0.004125588855905178	0.0038565287131287537
