RBP.name	GeneID	Essential.Genes	Splicing.regulation	Spliceosome	RNA.modification	X3..end.processing	rRNA.processing	Ribosome...basic.translation	RNA.stability...decay	microRNA.processing	RNA.localization	RNA.export	Translation.regulation	Viral.RNA.regulation	snoRNA...snRNA...telomerase	P.body...stress.granules	Novel.RBP	Nuclei	Nucleolus	Speckles	PML.bodies	Cytoplasm	Mitochondria	Golgi	P.bodies	StressGranule	ER	Cytoskeleton.Microtubule.Actin	Cell.Cortex	I	SS_I	SS_E	mRNA	AltSPl_RI	AltSPl_SE	LowGC	phastCons	AltSPl_SE_OSI	AltSPl_RI_OSI	AltSPl_SE_LI	AltSPl_RI_LI	I_OSI	SS_I_OSI	SS_E_OSI	I_LI	SS_I_LI	SS_E_LI	mRNA_OSI	mRNA_LI
PRPF8	ENSG00000174231	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	4	4
SF3B4	ENSG00000143368	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	1	1	1	1	0	1	0	0	1	0	3	2
AQR	ENSG00000021776	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0
EFTUD2	ENSG00000108883	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	2
BUD13	ENSG00000137656	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	2	2
PPIG	ENSG00000138398	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	3	2
GRWD1	ENSG00000105447	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	2
U2AF2	ENSG00000063244	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	1	1	0	1	0	0	1	0	0	1	0	4	4
DICER	ENSG00000100697	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
UCHL5	ENSG00000116750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	3	2
DDX24	ENSG00000089737	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	2	4
AGO	AGO	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
BCLAF1	ENSG00000029363	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	2	4
SF3A3	ENSG00000183431	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	0	0	1	0	0	1	0	4	4
ZNF622	ENSG00000173545	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	4
RBM22	ENSG00000086589	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	4	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0
DDX3X	ENSG00000215301	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	2	2
KHSRP	ENSG00000088247	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	4
SMNDC1	ENSG00000119953	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	3	3
RBFOX2	ENSG00000100320	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	2	2
LIN28B	ENSG00000187772	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	2	2
RPS3	ENSG00000149273	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0
SRSF1	ENSG00000136450	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	4
