Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0000307~cyclin-dependent protein kinase holoenzyme complex	4	13.793103448275861	4.138380197046522E-4	ENSG00000108100, ENSG00000102225, ENSG00000170312, ENSG00000123374	29	19	3483	25.284936479128856	0.047669360001291294	0.04883288632514896	0.04883288632514896
GOTERM_MF_DIRECT	GO:0030332~cyclin binding	3	10.344827586206897	0.003793135148275988	ENSG00000170312, ENSG00000123374, ENSG00000148337	28	12	3411	30.45535714285714	0.2649583639241122	0.1555185410793155	0.1555185410793155
GOTERM_MF_DIRECT	GO:0004693~cyclin-dependent protein serine/threonine kinase activity	3	10.344827586206897	0.003793135148275988	ENSG00000102225, ENSG00000170312, ENSG00000123374	28	12	3411	30.45535714285714	0.2649583639241122	0.1555185410793155	0.1555185410793155
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	3	10.344827586206897	0.011874313622807189	ENSG00000108100, ENSG00000170312, ENSG00000123374	28	21	3362	17.153061224489797	0.9403409145090454	1.0	1.0
GOTERM_MF_DIRECT	GO:0097472~cyclin-dependent protein kinase activity	2	6.896551724137931	0.01577078126571691	ENSG00000170312, ENSG00000123374	28	2	3411	121.82142857142857	0.7240715037368817	0.3233010159471967	0.3233010159471967
GOTERM_MF_DIRECT	GO:0035173~histone kinase activity	2	6.896551724137931	0.01577078126571691	ENSG00000170312, ENSG00000123374	28	2	3411	121.82142857142857	0.7240715037368817	0.3233010159471967	0.3233010159471967
GOTERM_BP_DIRECT	GO:0032298~positive regulation of DNA-dependent DNA replication initiation	2	6.896551724137931	0.015999742293550626	ENSG00000123374, ENSG00000148337	28	2	3362	120.07142857142856	0.9777735515547559	1.0	1.0
GOTERM_BP_DIRECT	GO:0051301~cell division	5	17.24137931034483	0.019752886227392075	ENSG00000103275, ENSG00000154473, ENSG00000108100, ENSG00000170312, ENSG00000123374	28	132	3362	4.5481601731601735	0.9909802385994597	1.0	1.0
GOTERM_BP_DIRECT	GO:0034501~protein localization to kinetochore	2	6.896551724137931	0.03953801937048869	ENSG00000154473, ENSG00000170312	28	5	3362	48.02857142857143	0.9999266631822489	1.0	1.0
GOTERM_BP_DIRECT	GO:0006412~translation	4	13.793103448275861	0.04126839638638044	ENSG00000125691, ENSG00000196531, ENSG00000241343, ENSG00000215472	28	97	3362	4.95139911634757	0.9999520815999028	1.0	1.0
GOTERM_BP_DIRECT	GO:0060828~regulation of canonical Wnt signaling pathway	2	6.896551724137931	0.04726291465705633	ENSG00000108100, ENSG00000112655	28	6	3362	40.023809523809526	0.9999890945238077	1.0	1.0
GOTERM_BP_DIRECT	GO:0046686~response to cadmium ion	2	6.896551724137931	0.05492796272176317	ENSG00000170312, ENSG00000105220	28	7	3362	34.30612244897959	0.9999983792367454	1.0	1.0
GOTERM_BP_DIRECT	GO:0046513~ceramide biosynthetic process	2	6.896551724137931	0.05492796272176317	ENSG00000143418, ENSG00000136699	28	7	3362	34.30612244897959	0.9999983792367454	1.0	1.0
GOTERM_BP_DIRECT	GO:0035902~response to immobilization stress	2	6.896551724137931	0.06253360951918839	ENSG00000143418, ENSG00000105220	28	8	3362	30.01785714285714	0.9999997592608312	1.0	1.0
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	4	13.793103448275861	0.0888395214070804	ENSG00000102225, ENSG00000112655, ENSG00000170312, ENSG00000123374	28	135	3411	3.609523809523809	0.9994664381160034	1.0	1.0
