Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	65	8.552631578947368	6.198580614250115E-47	ENSG00000108107, ENSG00000131368, ENSG00000172590, ENSG00000213741, ENSG00000177600, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000158042, ENSG00000257529, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000214026, ENSG00000138326, ENSG00000262660, ENSG00000174547, ENSG00000135972, ENSG00000086504, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000162244, ENSG00000164587, ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000116221, ENSG00000182180, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000055950, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000137818, ENSG00000183617, ENSG00000267855, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000243147, ENSG00000071082, ENSG00000260342, ENSG00000185088, ENSG00000122406, ENSG00000161970, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016	676	163	16929	9.986432279377064	5.250197780269847E-44	5.256396360884097E-44	5.188211974127346E-44
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	50	6.578947368421052	3.494298930665715E-45	ENSG00000108107, ENSG00000213741, ENSG00000177600, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000232112, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000071082, ENSG00000122406, ENSG00000161970, ENSG00000185721, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016	672	88	16565	14.00585091991342	9.626793553984045E-42	9.62329925505338E-42	9.58136766788539E-42
GOTERM_BP_DIRECT	GO:0006412~translation	65	8.552631578947368	5.547104004592042E-40	ENSG00000108107, ENSG00000172590, ENSG00000213741, ENSG00000177600, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000158042, ENSG00000257529, ENSG00000105193, ENSG00000109475, ENSG00000265818, ENSG00000167526, ENSG00000125691, ENSG00000214026, ENSG00000138326, ENSG00000262660, ENSG00000174547, ENSG00000135972, ENSG00000086504, ENSG00000166441, ENSG00000221983, ENSG00000124802, ENSG00000143947, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000116221, ENSG00000182180, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000055950, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000196531, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000243147, ENSG00000071082, ENSG00000260342, ENSG00000185088, ENSG00000122406, ENSG00000161970, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016	672	201	16565	7.97148927979152	1.5282271532651076E-36	7.638362214323242E-37	7.60507959029569E-37
GOTERM_CC_DIRECT	GO:0005840~ribosome	57	7.5	5.737356632342351E-39	ENSG00000108107, ENSG00000131368, ENSG00000213741, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000158042, ENSG00000257529, ENSG00000105193, ENSG00000167526, ENSG00000125691, ENSG00000214026, ENSG00000138326, ENSG00000262660, ENSG00000174547, ENSG00000135972, ENSG00000086504, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000162244, ENSG00000164587, ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000134419, ENSG00000134056, ENSG00000197756, ENSG00000130255, ENSG00000116221, ENSG00000182180, ENSG00000229117, ENSG00000124614, ENSG00000055950, ENSG00000089009, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000071082, ENSG00000260342, ENSG00000185088, ENSG00000122406, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016	700	154	17529	9.268580705009278	3.821079517140006E-36	3.821079517140006E-36	3.494050189096492E-36
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	43	5.657894736842105	2.1726689262304714E-34	ENSG00000108107, ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000198918, ENSG00000170889, ENSG00000089009, ENSG00000124614, ENSG00000105193, ENSG00000156482, ENSG00000186468, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000125691, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000071082, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000122406, ENSG00000161970, ENSG00000164587, ENSG00000182774, ENSG00000162244, ENSG00000147403, ENSG00000142676, ENSG00000161016	700	92	17529	11.704145962732918	1.446997504869494E-31	7.23498752434747E-32	6.615776880371786E-32
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	187	24.605263157894736	4.8573502692216527E-29	ENSG00000108107, ENSG00000092199, ENSG00000105514, ENSG00000182718, ENSG00000118271, ENSG00000072062, ENSG00000196208, ENSG00000175866, ENSG00000166598, ENSG00000100902, ENSG00000101439, ENSG00000204435, ENSG00000105193, ENSG00000156261, ENSG00000108344, ENSG00000254772, ENSG00000164733, ENSG00000105223, ENSG00000130202, ENSG00000092621, ENSG00000117448, ENSG00000119655, ENSG00000167699, ENSG00000166126, ENSG00000172757, ENSG00000165795, ENSG00000250722, ENSG00000221983, ENSG00000026297, ENSG00000163931, ENSG00000100299, ENSG00000164587, ENSG00000197081, ENSG00000149273, ENSG00000181523, ENSG00000106588, ENSG00000100084, ENSG00000131469, ENSG00000164904, ENSG00000173221, ENSG00000103876, ENSG00000171560, ENSG00000196465, ENSG00000263020, ENSG00000134575, ENSG00000117632, ENSG00000134333, ENSG00000004478, ENSG00000100804, ENSG00000118137, ENSG00000163382, ENSG00000156482, ENSG00000140988, ENSG00000125743, ENSG00000105372, ENSG00000091513, ENSG00000126432, ENSG00000239672, ENSG00000093010, ENSG00000108479, ENSG00000131238, ENSG00000105402, ENSG00000177830, ENSG00000108639, ENSG00000092841, ENSG00000130702, ENSG00000083845, ENSG00000174444, ENSG00000175899, ENSG00000071082, ENSG00000137731, ENSG00000167996, ENSG00000011304, ENSG00000170515, ENSG00000160282, ENSG00000122406, ENSG00000257017, ENSG00000129559, ENSG00000124942, ENSG00000149428, ENSG00000163399, ENSG00000106211, ENSG00000160209, ENSG00000213741, ENSG00000100380, ENSG00000075415, ENSG00000211445, ENSG00000103811, ENSG00000167085, ENSG00000004455, ENSG00000111674, ENSG00000120708, ENSG00000139725, ENSG00000108828, ENSG00000177600, ENSG00000170412, ENSG00000166278, ENSG00000197728, ENSG00000146701, ENSG00000170889, ENSG00000159210, ENSG00000136295, ENSG00000083444, ENSG00000109475, ENSG00000087088, ENSG00000103653, ENSG00000166710, ENSG00000185359, ENSG00000070756, ENSG00000074319, ENSG00000160213, ENSG00000125691, ENSG00000197043, ENSG00000130402, ENSG00000112514, ENSG00000134287, ENSG00000198931, ENSG00000204463, ENSG00000158874, ENSG00000005893, ENSG00000197448, ENSG00000133112, ENSG00000159166, ENSG00000157020, ENSG00000167770, ENSG00000143947, ENSG00000165119, ENSG00000182871, ENSG00000204628, ENSG00000185624, ENSG00000141522, ENSG00000125730, ENSG00000103485, ENSG00000100373, ENSG00000182899, ENSG00000196262, ENSG00000134419, ENSG00000111057, ENSG00000023318, ENSG00000197756, ENSG00000177106, ENSG00000061987, ENSG00000142168, ENSG00000205544, ENSG00000188488, ENSG00000117394, ENSG00000100600, ENSG00000234745, ENSG00000277791, ENSG00000090863, ENSG00000149357, ENSG00000143891, ENSG00000185896, ENSG00000149476, ENSG00000163586, ENSG00000100284, ENSG00000124299, ENSG00000163468, ENSG00000105202, ENSG00000129235, ENSG00000243989, ENSG00000019582, ENSG00000077549, ENSG00000198034, ENSG00000118181, ENSG00000077942, ENSG00000105968, ENSG00000196531, ENSG00000008988, ENSG00000138107, ENSG00000196924, ENSG00000117385, ENSG00000256646, ENSG00000206503, ENSG00000168003, ENSG00000158296, ENSG00000258947, ENSG00000006042, ENSG00000120306, ENSG00000157087, ENSG00000161970, ENSG00000122566, ENSG00000163993, ENSG00000169738, ENSG00000162267, ENSG00000163631, ENSG00000126247, ENSG00000142676, ENSG00000166228	700	2039	17529	2.2965900651579902	3.234995279301621E-26	1.0783317597672069E-26	9.860421046519954E-27
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	75	9.868421052631579	2.6567678991891126E-25	ENSG00000131368, ENSG00000172590, ENSG00000156467, ENSG00000075415, ENSG00000127540, ENSG00000243317, ENSG00000127184, ENSG00000167283, ENSG00000109919, ENSG00000167085, ENSG00000169020, ENSG00000154723, ENSG00000109390, ENSG00000158042, ENSG00000145494, ENSG00000143158, ENSG00000214026, ENSG00000178741, ENSG00000156411, ENSG00000217930, ENSG00000241468, ENSG00000110536, ENSG00000115944, ENSG00000137038, ENSG00000154518, ENSG00000131174, ENSG00000119013, ENSG00000151366, ENSG00000131495, ENSG00000174547, ENSG00000135972, ENSG00000213619, ENSG00000013306, ENSG00000086504, ENSG00000255339, ENSG00000126267, ENSG00000103202, ENSG00000124172, ENSG00000149273, ENSG00000130414, ENSG00000204099, ENSG00000267740, ENSG00000134056, ENSG00000137288, ENSG00000131143, ENSG00000229833, ENSG00000116221, ENSG00000182180, ENSG00000166136, ENSG00000055950, ENSG00000159199, ENSG00000170906, ENSG00000110717, ENSG00000120333, ENSG00000164919, ENSG00000183978, ENSG00000176340, ENSG00000248919, ENSG00000259112, ENSG00000183617, ENSG00000267855, ENSG00000090266, ENSG00000172586, ENSG00000138029, ENSG00000174886, ENSG00000243147, ENSG00000173436, ENSG00000115286, ENSG00000065518, ENSG00000135390, ENSG00000186010, ENSG00000174917, ENSG00000164405, ENSG00000270136, ENSG00000147684, ENSG00000241837, ENSG00000125356	700	460	17529	4.082841614906832	1.769407420859949E-22	4.4235185521498726E-23	4.044929126515424E-23
GOTERM_MF_DIRECT	GO:0003723~RNA binding	140	18.421052631578945	7.870367376774865E-25	ENSG00000108107, ENSG00000092199, ENSG00000182718, ENSG00000157110, ENSG00000248643, ENSG00000142541, ENSG00000255508, ENSG00000166598, ENSG00000100902, ENSG00000183011, ENSG00000105193, ENSG00000126457, ENSG00000203907, ENSG00000178982, ENSG00000138326, ENSG00000153944, ENSG00000174547, ENSG00000135972, ENSG00000086504, ENSG00000026297, ENSG00000164587, ENSG00000011485, ENSG00000167978, ENSG00000121057, ENSG00000149273, ENSG00000131469, ENSG00000089280, ENSG00000130255, ENSG00000004478, ENSG00000117751, ENSG00000198918, ENSG00000229117, ENSG00000145912, ENSG00000139343, ENSG00000100129, ENSG00000143977, ENSG00000055950, ENSG00000079246, ENSG00000156482, ENSG00000140988, ENSG00000125743, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000239672, ENSG00000146963, ENSG00000197381, ENSG00000211450, ENSG00000077348, ENSG00000138029, ENSG00000083845, ENSG00000174444, ENSG00000071082, ENSG00000011304, ENSG00000170515, ENSG00000122406, ENSG00000124942, ENSG00000145741, ENSG00000147403, ENSG00000141543, ENSG00000124541, ENSG00000187109, ENSG00000106211, ENSG00000161016, ENSG00000103495, ENSG00000213741, ENSG00000106246, ENSG00000108829, ENSG00000120948, ENSG00000167005, ENSG00000197728, ENSG00000146701, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000100028, ENSG00000109475, ENSG00000123384, ENSG00000167526, ENSG00000070756, ENSG00000181019, ENSG00000106244, ENSG00000160213, ENSG00000125691, ENSG00000214026, ENSG00000130402, ENSG00000071462, ENSG00000134287, ENSG00000111786, ENSG00000133112, ENSG00000249141, ENSG00000116030, ENSG00000166441, ENSG00000143947, ENSG00000165119, ENSG00000141526, ENSG00000162244, ENSG00000125970, ENSG00000204628, ENSG00000185624, ENSG00000100650, ENSG00000182899, ENSG00000196262, ENSG00000134419, ENSG00000129460, ENSG00000111057, ENSG00000112787, ENSG00000197756, ENSG00000130332, ENSG00000116221, ENSG00000124614, ENSG00000089009, ENSG00000119705, ENSG00000186468, ENSG00000109534, ENSG00000100320, ENSG00000163468, ENSG00000102054, ENSG00000105202, ENSG00000182768, ENSG00000183617, ENSG00000198034, ENSG00000118181, ENSG00000270647, ENSG00000172586, ENSG00000008988, ENSG00000150459, ENSG00000269955, ENSG00000196924, ENSG00000139793, ENSG00000185088, ENSG00000125835, ENSG00000206503, ENSG00000168003, ENSG00000161970, ENSG00000182774, ENSG00000122566, ENSG00000142676, ENSG00000105321	676	1401	16929	2.502502439086198	6.66620116812831E-22	3.3370357677525425E-22	3.293748747180281E-22
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	29	3.8157894736842106	3.508423690153808E-24	ENSG00000108107, ENSG00000182899, ENSG00000131469, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000198918, ENSG00000229117, ENSG00000145912, ENSG00000089009, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000125691, ENSG00000137818, ENSG00000174444, ENSG00000071082, ENSG00000166441, ENSG00000221983, ENSG00000122406, ENSG00000161970, ENSG00000162244, ENSG00000147403, ENSG00000142676, ENSG00000161016	700	58	17529	12.520714285714284	2.336610177642436E-21	4.673220355284872E-22	4.273260054607338E-22
GOTERM_BP_DIRECT	GO:0042776~mitochondrial ATP synthesis coupled proton transport	25	3.289473684210526	1.8428773270232048E-19	ENSG00000124172, ENSG00000130414, ENSG00000167283, ENSG00000169020, ENSG00000154723, ENSG00000109390, ENSG00000166136, ENSG00000170906, ENSG00000145494, ENSG00000110717, ENSG00000267855, ENSG00000241468, ENSG00000090266, ENSG00000249209, ENSG00000174886, ENSG00000119013, ENSG00000151366, ENSG00000131495, ENSG00000213619, ENSG00000115286, ENSG00000065518, ENSG00000186010, ENSG00000255339, ENSG00000147684, ENSG00000241837, ENSG00000125356	672	55	16565	11.204680735930735	5.077127035948929E-16	1.691761386207302E-16	1.6843898768992092E-16
