Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	25	50.0	2.0055214786576792E-14	ENSG00000153113, ENSG00000092199, ENSG00000181222, ENSG00000142937, ENSG00000265241, ENSG00000144028, ENSG00000229117, ENSG00000125944, ENSG00000167526, ENSG00000148843, ENSG00000182944, ENSG00000092201, ENSG00000174243, ENSG00000067225, ENSG00000147140, ENSG00000196235, ENSG00000132341, ENSG00000170004, ENSG00000196924, ENSG00000114391, ENSG00000182196, ENSG00000168066, ENSG00000123136, ENSG00000130816, ENSG00000108312	50	1479	18967	6.41210277214334	2.7329249974172853E-12	2.7475644257610205E-12	2.6673435666147133E-12
GOTERM_MF_DIRECT	GO:0005515~protein binding	50	100.0	2.392333396887064E-9	ENSG00000153113, ENSG00000092199, ENSG00000181222, ENSG00000142937, ENSG00000162191, ENSG00000123349, ENSG00000177084, ENSG00000090006, ENSG00000167526, ENSG00000148843, ENSG00000182944, ENSG00000147140, ENSG00000204220, ENSG00000196235, ENSG00000132341, ENSG00000186432, ENSG00000143549, ENSG00000182196, ENSG00000221983, ENSG00000137076, ENSG00000168066, ENSG00000166165, ENSG00000160789, ENSG00000175203, ENSG00000265241, ENSG00000144028, ENSG00000167863, ENSG00000167468, ENSG00000229117, ENSG00000172889, ENSG00000125944, ENSG00000108561, ENSG00000160799, ENSG00000176171, ENSG00000143575, ENSG00000105401, ENSG00000092201, ENSG00000065000, ENSG00000174243, ENSG00000067225, ENSG00000111642, ENSG00000170004, ENSG00000196924, ENSG00000167996, ENSG00000114391, ENSG00000140416, ENSG00000123136, ENSG00000179010, ENSG00000130816, ENSG00000108312	50	12657	18967	1.4985383582207472	3.2535729566074423E-7	1.638748376867639E-7	1.5909017089298976E-7
GOTERM_CC_DIRECT	GO:0005634~nucleus	34	68.0	4.936272340454715E-8	ENSG00000092199, ENSG00000160789, ENSG00000181222, ENSG00000142937, ENSG00000265241, ENSG00000162191, ENSG00000144028, ENSG00000167468, ENSG00000123349, ENSG00000125944, ENSG00000108561, ENSG00000177084, ENSG00000167526, ENSG00000176171, ENSG00000148843, ENSG00000182944, ENSG00000092201, ENSG00000174243, ENSG00000067225, ENSG00000147140, ENSG00000196235, ENSG00000132341, ENSG00000111642, ENSG00000170004, ENSG00000196924, ENSG00000167996, ENSG00000186432, ENSG00000182196, ENSG00000221983, ENSG00000168066, ENSG00000166165, ENSG00000123136, ENSG00000130816, ENSG00000108312	50	6100	20647	2.301632786885246	7.898004742101783E-6	7.898035744727544E-6	7.206957617063884E-6
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	27	54.0	2.1471684059957773E-7	ENSG00000092199, ENSG00000160789, ENSG00000181222, ENSG00000142937, ENSG00000265241, ENSG00000162191, ENSG00000144028, ENSG00000125944, ENSG00000177084, ENSG00000160799, ENSG00000176171, ENSG00000148843, ENSG00000182944, ENSG00000092201, ENSG00000174243, ENSG00000147140, ENSG00000196235, ENSG00000132341, ENSG00000111642, ENSG00000170004, ENSG00000186432, ENSG00000221983, ENSG00000168066, ENSG00000123136, ENSG00000179010, ENSG00000130816, ENSG00000108312	50	4076	20647	2.735372914622179	3.4354108074952094E-5	1.717734724796622E-5	1.5674329363769174E-5
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	7	14.000000000000002	8.28217596052437E-6	ENSG00000144028, ENSG00000092199, ENSG00000174243, ENSG00000125944, ENSG00000168066, ENSG00000123136, ENSG00000265241	48	200	19453	14.184479166666668	0.003373438911037474	0.0033708456159334183	0.0033459990880518454
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	7	14.000000000000002	4.797071931683994E-5	ENSG00000114391, ENSG00000125944, ENSG00000168066, ENSG00000067225, ENSG00000108561, ENSG00000196235, ENSG00000265241	50	255	18967	10.413254901960785	0.006502938095800492	0.0021906628488023573	0.0021267018897132375
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	12.0	5.668227130743428E-5	ENSG00000229117, ENSG00000114391, ENSG00000168066, ENSG00000142937, ENSG00000221983, ENSG00000167526	50	174	20647	14.239310344827587	0.009028417307517134	0.002683438920042482	0.002448638014538765
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	5	10.0	6.708597300106206E-5	ENSG00000144028, ENSG00000092199, ENSG00000174243, ENSG00000125944, ENSG00000265241	50	92	20647	22.442391304347826	0.01067671069919962	0.002683438920042482	0.002448638014538765
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	10.0	6.852645554498631E-5	ENSG00000229117, ENSG00000114391, ENSG00000142937, ENSG00000221983, ENSG00000167526	48	91	19453	22.267628205128204	0.027572495592550594	0.013945133703404715	0.013842344020087235
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	6	12.0	1.516289260747778E-4	ENSG00000092199, ENSG00000174243, ENSG00000182196, ENSG00000147140, ENSG00000108561, ENSG00000265241	48	211	19453	11.524289099526067	0.0599942554790428	0.02057099097081152	0.020419362044736742
