Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	27	48.214285714285715	1.4148494214803995E-10	ENSG00000182899, ENSG00000213741, ENSG00000135404, ENSG00000065135, ENSG00000135486, ENSG00000008710, ENSG00000170889, ENSG00000168036, ENSG00000166710, ENSG00000184009, ENSG00000109971, ENSG00000087460, ENSG00000105202, ENSG00000112514, ENSG00000092841, ENSG00000008988, ENSG00000132341, ENSG00000159720, ENSG00000083845, ENSG00000213719, ENSG00000179218, ENSG00000150991, ENSG00000152234, ENSG00000071082, ENSG00000115484, ENSG00000143106, ENSG00000089157	52	1498	11171	3.8720473451781863	3.2117079662441483E-8	3.2117081867605066E-8	3.027777761968055E-8
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	9	16.071428571428573	1.965847895454231E-9	ENSG00000182899, ENSG00000213741, ENSG00000170889, ENSG00000008988, ENSG00000083845, ENSG00000265681, ENSG00000089157, ENSG00000071082, ENSG00000161016	53	73	10635	24.73895063323856	1.1913031364718663E-6	1.1893379767498098E-6	1.1893379767498098E-6
GOTERM_MF_DIRECT	GO:0003723~RNA binding	21	37.5	9.83577686747077E-9	ENSG00000182899, ENSG00000105202, ENSG00000213741, ENSG00000135486, ENSG00000008988, ENSG00000132341, ENSG00000083845, ENSG00000265681, ENSG00000179218, ENSG00000173812, ENSG00000152234, ENSG00000150991, ENSG00000071082, ENSG00000115484, ENSG00000164167, ENSG00000170889, ENSG00000126457, ENSG00000089157, ENSG00000105373, ENSG00000109971, ENSG00000161016	51	1024	10709	4.306238511029412	1.5933945896051682E-6	1.6032316293977354E-6	1.5638885219278523E-6
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	8	14.285714285714285	4.2251331799203606E-8	ENSG00000182899, ENSG00000170889, ENSG00000008988, ENSG00000083845, ENSG00000265681, ENSG00000089157, ENSG00000071082, ENSG00000161016	52	75	11171	22.914871794871797	9.59100651964917E-6	4.795526159209609E-6	4.5208925025147854E-6
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	9	16.071428571428573	5.8410098117248785E-8	ENSG00000182899, ENSG00000213741, ENSG00000170889, ENSG00000008988, ENSG00000083845, ENSG00000265681, ENSG00000089157, ENSG00000071082, ENSG00000161016	51	117	10709	16.152337858220214	9.462391398429304E-6	4.760422996555776E-6	4.643602800321279E-6
GOTERM_BP_DIRECT	GO:0006412~translation	9	16.071428571428573	5.218194671348255E-7	ENSG00000182899, ENSG00000213741, ENSG00000170889, ENSG00000008988, ENSG00000083845, ENSG00000265681, ENSG00000089157, ENSG00000071082, ENSG00000161016	53	148	10635	12.202320244773075	3.1617268643480134E-4	1.5785038880828474E-4	1.5785038880828474E-4
GOTERM_CC_DIRECT	GO:0016020~membrane	28	50.0	5.472364263402178E-7	ENSG00000182899, ENSG00000136758, ENSG00000065135, ENSG00000135486, ENSG00000008710, ENSG00000131143, ENSG00000170889, ENSG00000168036, ENSG00000103335, ENSG00000140983, ENSG00000166710, ENSG00000184009, ENSG00000109971, ENSG00000087460, ENSG00000105202, ENSG00000130821, ENSG00000112514, ENSG00000092841, ENSG00000008988, ENSG00000132341, ENSG00000159720, ENSG00000083845, ENSG00000213719, ENSG00000179218, ENSG00000152234, ENSG00000071082, ENSG00000089157, ENSG00000161016	52	2360	11171	2.5487940026075617	1.2421498743575565E-4	4.140755625974315E-5	3.9036198412268864E-5
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	14.285714285714285	1.0239856766448741E-6	ENSG00000182899, ENSG00000213741, ENSG00000170889, ENSG00000008988, ENSG00000083845, ENSG00000089157, ENSG00000071082, ENSG00000161016	52	119	11171	14.442146089204913	2.3241785440486495E-4	5.811118714959661E-5	5.4783233700500765E-5
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	11	19.642857142857142	1.4556521133526418E-6	ENSG00000213741, ENSG00000170889, ENSG00000168036, ENSG00000083845, ENSG00000089157, ENSG00000179218, ENSG00000166710, ENSG00000109971, ENSG00000184009, ENSG00000071082, ENSG00000161016	52	320	11171	7.38467548076923	3.303786831799771E-4	6.608660594620993E-5	6.230191045149306E-5
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	5	8.928571428571429	4.170047855236708E-5	ENSG00000182899, ENSG00000265681, ENSG00000089157, ENSG00000071082, ENSG00000161016	52	43	11171	24.979874776386406	0.009421542519700954	0.0015776681052312215	0.001487317068367759
