Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	189	42.281879194630875	2.7119418093817375E-10	ENSG00000130158, ENSG00000076944, ENSG00000103051, ENSG00000197530, ENSG00000198467, ENSG00000198742, ENSG00000104946, ENSG00000168010, ENSG00000115677, ENSG00000133422, ENSG00000261582, ENSG00000095066, ENSG00000254536, ENSG00000255508, ENSG00000100504, ENSG00000153827, ENSG00000141736, ENSG00000090565, ENSG00000140400, ENSG00000126456, ENSG00000078618, ENSG00000108344, ENSG00000108465, ENSG00000107404, ENSG00000131778, ENSG00000141959, ENSG00000178188, ENSG00000133835, ENSG00000133275, ENSG00000107929, ENSG00000104936, ENSG00000118046, ENSG00000133313, ENSG00000157106, ENSG00000268643, ENSG00000164068, ENSG00000171824, ENSG00000086504, ENSG00000165795, ENSG00000011485, ENSG00000105220, ENSG00000121057, ENSG00000186635, ENSG00000166888, ENSG00000103197, ENSG00000215301, ENSG00000182979, ENSG00000100083, ENSG00000148341, ENSG00000198089, ENSG00000172890, ENSG00000130811, ENSG00000144381, ENSG00000132716, ENSG00000094631, ENSG00000178078, ENSG00000127481, ENSG00000196465, ENSG00000249115, ENSG00000131069, ENSG00000115211, ENSG00000141551, ENSG00000229117, ENSG00000139344, ENSG00000164877, ENSG00000105373, ENSG00000079805, ENSG00000108883, ENSG00000071626, ENSG00000100241, ENSG00000129158, ENSG00000198231, ENSG00000149782, ENSG00000242612, ENSG00000044446, ENSG00000110274, ENSG00000184470, ENSG00000228716, ENSG00000162066, ENSG00000100911, ENSG00000160282, ENSG00000082641, ENSG00000125755, ENSG00000146038, ENSG00000146830, ENSG00000076928, ENSG00000165458, ENSG00000090097, ENSG00000103811, ENSG00000073350, ENSG00000111674, ENSG00000196642, ENSG00000139725, ENSG00000106927, ENSG00000204991, ENSG00000025434, ENSG00000196923, ENSG00000122218, ENSG00000114021, ENSG00000197969, ENSG00000143952, ENSG00000038358, ENSG00000007047, ENSG00000160691, ENSG00000159210, ENSG00000089820, ENSG00000087088, ENSG00000161547, ENSG00000243708, ENSG00000101199, ENSG00000167526, ENSG00000185359, ENSG00000105397, ENSG00000106244, ENSG00000087191, ENSG00000102030, ENSG00000125450, ENSG00000178028, ENSG00000105426, ENSG00000072310, ENSG00000144908, ENSG00000196998, ENSG00000130640, ENSG00000141002, ENSG00000085733, ENSG00000165912, ENSG00000101104, ENSG00000182473, ENSG00000100650, ENSG00000067082, ENSG00000214021, ENSG00000181789, ENSG00000092098, ENSG00000178950, ENSG00000214530, ENSG00000104886, ENSG00000173020, ENSG00000172053, ENSG00000249319, ENSG00000152767, ENSG00000070061, ENSG00000104529, ENSG00000177106, ENSG00000168237, ENSG00000136271, ENSG00000090905, ENSG00000092929, ENSG00000120896, ENSG00000102901, ENSG00000169045, ENSG00000167264, ENSG00000142208, ENSG00000102225, ENSG00000187555, ENSG00000106263, ENSG00000147459, ENSG00000160752, ENSG00000127445, ENSG00000105443, ENSG00000103264, ENSG00000132522, ENSG00000243989, ENSG00000127054, ENSG00000126001, ENSG00000147162, ENSG00000168918, ENSG00000141738, ENSG00000124181, ENSG00000177595, ENSG00000135596, ENSG00000159423, ENSG00000116337, ENSG00000104915, ENSG00000137497, ENSG00000155229, ENSG00000242372, ENSG00000137411, ENSG00000100949, ENSG00000204843, ENSG00000009950, ENSG00000169696, ENSG00000167792, ENSG00000185122, ENSG00000166508, ENSG00000101246, ENSG00000101004, ENSG00000014216, ENSG00000126522, ENSG00000278259	420	5348	17529	1.47495325355273	1.3288513855957973E-7	1.3288514865970515E-7	1.323427602978288E-7
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	138	30.87248322147651	4.32475890625055E-7	ENSG00000071894, ENSG00000070047, ENSG00000172590, ENSG00000198742, ENSG00000064961, ENSG00000168010, ENSG00000007923, ENSG00000133422, ENSG00000114982, ENSG00000248643, ENSG00000255508, ENSG00000168137, ENSG00000100867, ENSG00000153827, ENSG00000141736, ENSG00000184465, ENSG00000090565, ENSG00000140400, ENSG00000126456, ENSG00000108344, ENSG00000133316, ENSG00000182944, ENSG00000131778, ENSG00000147140, ENSG00000165271, ENSG00000118046, ENSG00000133313, ENSG00000157106, ENSG00000141562, ENSG00000171824, ENSG00000165792, ENSG00000101940, ENSG00000011485, ENSG00000105220, ENSG00000103168, ENSG00000167978, ENSG00000186635, ENSG00000100296, ENSG00000166888, ENSG00000076924, ENSG00000104960, ENSG00000215301, ENSG00000182979, ENSG00000100083, ENSG00000148341, ENSG00000008838, ENSG00000132716, ENSG00000094631, ENSG00000127481, ENSG00000171163, ENSG00000131069, ENSG00000172775, ENSG00000130254, ENSG00000144028, ENSG00000141551, ENSG00000031823, ENSG00000105373, ENSG00000108883, ENSG00000071626, ENSG00000179335, ENSG00000160957, ENSG00000149262, ENSG00000129158, ENSG00000198231, ENSG00000039650, ENSG00000110274, ENSG00000130024, ENSG00000140451, ENSG00000058673, ENSG00000148737, ENSG00000100911, ENSG00000187741, ENSG00000082641, ENSG00000126602, ENSG00000125755, ENSG00000146038, ENSG00000148337, ENSG00000099622, ENSG00000110107, ENSG00000077312, ENSG00000025434, ENSG00000104907, ENSG00000196923, ENSG00000143952, ENSG00000038358, ENSG00000159692, ENSG00000159210, ENSG00000089820, ENSG00000087365, ENSG00000161547, ENSG00000162599, ENSG00000087191, ENSG00000140829, ENSG00000125450, ENSG00000178028, ENSG00000072310, ENSG00000132382, ENSG00000131051, ENSG00000104859, ENSG00000132780, ENSG00000130640, ENSG00000258366, ENSG00000100650, ENSG00000067082, ENSG00000143420, ENSG00000108651, ENSG00000127511, ENSG00000108773, ENSG00000113916, ENSG00000198563, ENSG00000104529, ENSG00000090905, ENSG00000148308, ENSG00000102901, ENSG00000169045, ENSG00000165802, ENSG00000163348, ENSG00000142208, ENSG00000187555, ENSG00000160752, ENSG00000127445, ENSG00000101361, ENSG00000132522, ENSG00000127054, ENSG00000129351, ENSG00000145020, ENSG00000147162, ENSG00000177595, ENSG00000270647, ENSG00000137497, ENSG00000177479, ENSG00000155229, ENSG00000242372, ENSG00000100949, ENSG00000009950, ENSG00000169696, ENSG00000185122, ENSG00000166508	420	3903	17529	1.4756670692873615	2.118907802215464E-4	1.0595659320313847E-4	1.0552411731251341E-4
GOTERM_MF_DIRECT	GO:0003723~RNA binding	64	14.317673378076062	2.2596746391692268E-6	ENSG00000103495, ENSG00000090097, ENSG00000099622, ENSG00000077312, ENSG00000115677, ENSG00000248643, ENSG00000004534, ENSG00000104907, ENSG00000255508, ENSG00000125844, ENSG00000087365, ENSG00000161547, ENSG00000164896, ENSG00000167526, ENSG00000160214, ENSG00000106244, ENSG00000182944, ENSG00000140829, ENSG00000147140, ENSG00000132382, ENSG00000131051, ENSG00000107929, ENSG00000061936, ENSG00000165271, ENSG00000157106, ENSG00000268083, ENSG00000171824, ENSG00000086504, ENSG00000249141, ENSG00000101104, ENSG00000141526, ENSG00000126226, ENSG00000011485, ENSG00000100650, ENSG00000167978, ENSG00000121057, ENSG00000215301, ENSG00000198563, ENSG00000130811, ENSG00000144381, ENSG00000139746, ENSG00000158545, ENSG00000130254, ENSG00000136271, ENSG00000144028, ENSG00000229117, ENSG00000090905, ENSG00000159592, ENSG00000169045, ENSG00000106263, ENSG00000105373, ENSG00000071626, ENSG00000160752, ENSG00000108883, ENSG00000101361, ENSG00000179335, ENSG00000198231, ENSG00000129351, ENSG00000141738, ENSG00000270647, ENSG00000196535, ENSG00000058673, ENSG00000126602, ENSG00000076928	419	1401	16929	1.8456915363897932	0.0014880190698324247	0.0014913852618516897	0.0014891255872125204
GOTERM_MF_DIRECT	GO:0005524~ATP binding	63	14.093959731543624	2.4851416456541876E-5	ENSG00000071054, ENSG00000099624, ENSG00000064687, ENSG00000269547, ENSG00000133422, ENSG00000285238, ENSG00000095066, ENSG00000255508, ENSG00000007047, ENSG00000187097, ENSG00000136098, ENSG00000100504, ENSG00000141736, ENSG00000164896, ENSG00000105397, ENSG00000087191, ENSG00000140829, ENSG00000131778, ENSG00000141959, ENSG00000133275, ENSG00000104936, ENSG00000118046, ENSG00000268643, ENSG00000157106, ENSG00000163050, ENSG00000168067, ENSG00000011485, ENSG00000258366, ENSG00000214021, ENSG00000178950, ENSG00000215301, ENSG00000172890, ENSG00000198563, ENSG00000144381, ENSG00000173020, ENSG00000172053, ENSG00000074582, ENSG00000197912, ENSG00000131069, ENSG00000168237, ENSG00000136271, ENSG00000144028, ENSG00000141551, ENSG00000142208, ENSG00000102225, ENSG00000179335, ENSG00000160957, ENSG00000198231, ENSG00000130822, ENSG00000134905, ENSG00000039650, ENSG00000197586, ENSG00000136883, ENSG00000026036, ENSG00000196535, ENSG00000137411, ENSG00000140451, ENSG00000117266, ENSG00000145348, ENSG00000166508, ENSG00000126602, ENSG00000124067, ENSG00000278259	419	1479	16929	1.7210348216317226	0.016243908300698662	0.00820096743065882	0.008188541722430548
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	168	37.58389261744966	1.0522643486074964E-4	ENSG00000197530, ENSG00000198742, ENSG00000104946, ENSG00000115677, ENSG00000168096, ENSG00000133422, ENSG00000248643, ENSG00000095066, ENSG00000136098, ENSG00000100504, ENSG00000100867, ENSG00000215041, ENSG00000257524, ENSG00000100344, ENSG00000126456, ENSG00000215440, ENSG00000108465, ENSG00000182944, ENSG00000141959, ENSG00000133275, ENSG00000158793, ENSG00000118046, ENSG00000002586, ENSG00000157106, ENSG00000268643, ENSG00000225663, ENSG00000164068, ENSG00000171824, ENSG00000086504, ENSG00000165795, ENSG00000126226, ENSG00000103326, ENSG00000060491, ENSG00000127831, ENSG00000121057, ENSG00000186635, ENSG00000100296, ENSG00000166888, ENSG00000240303, ENSG00000103197, ENSG00000215301, ENSG00000182979, ENSG00000161999, ENSG00000148341, ENSG00000172890, ENSG00000130811, ENSG00000144381, ENSG00000132716, ENSG00000094631, ENSG00000215305, ENSG00000131584, ENSG00000172932, ENSG00000131069, ENSG00000115211, ENSG00000130254, ENSG00000141551, ENSG00000229117, ENSG00000123607, ENSG00000139344, ENSG00000031823, ENSG00000125503, ENSG00000141556, ENSG00000079805, ENSG00000181513, ENSG00000100241, ENSG00000099999, ENSG00000160957, ENSG00000129158, ENSG00000198231, ENSG00000130822, ENSG00000134905, ENSG00000136883, ENSG00000145348, ENSG00000184470, ENSG00000137171, ENSG00000100911, ENSG00000187741, ENSG00000160282, ENSG00000125755, ENSG00000146038, ENSG00000076928, ENSG00000258890, ENSG00000090097, ENSG00000071054, ENSG00000099622, ENSG00000110107, ENSG00000169660, ENSG00000073350, ENSG00000196642, ENSG00000025434, ENSG00000143434, ENSG00000122218, ENSG00000111271, ENSG00000038358, ENSG00000007047, ENSG00000125967, ENSG00000160691, ENSG00000159210, ENSG00000163162, ENSG00000089820, ENSG00000087088, ENSG00000161547, ENSG00000167526, ENSG00000125046, ENSG00000141258, ENSG00000105397, ENSG00000087191, ENSG00000102030, ENSG00000178028, ENSG00000072310, ENSG00000132382, ENSG00000132780, ENSG00000144908, ENSG00000085733, ENSG00000168067, ENSG00000165912, ENSG00000101104, ENSG00000141524, ENSG00000183963, ENSG00000143420, ENSG00000127511, ENSG00000108773, ENSG00000178950, ENSG00000177225, ENSG00000198563, ENSG00000173020, ENSG00000164828, ENSG00000172053, ENSG00000070061, ENSG00000104529, ENSG00000203880, ENSG00000177106, ENSG00000168237, ENSG00000120896, ENSG00000167264, ENSG00000165802, ENSG00000142208, ENSG00000102225, ENSG00000250151, ENSG00000147459, ENSG00000185813, ENSG00000073605, ENSG00000160752, ENSG00000127445, ENSG00000101361, ENSG00000105443, ENSG00000243989, ENSG00000127054, ENSG00000129351, ENSG00000124181, ENSG00000177595, ENSG00000270647, ENSG00000135596, ENSG00000175455, ENSG00000196535, ENSG00000177479, ENSG00000155229, ENSG00000242372, ENSG00000100949, ENSG00000117266, ENSG00000204843, ENSG00000009950, ENSG00000117385, ENSG00000169696, ENSG00000185122, ENSG00000014216, ENSG00000126522, ENSG00000278259	420	5484	17529	1.2785557986870897	0.05025681836880347	0.01718698436058911	0.017116833404015274
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	21	4.697986577181208	1.3907717551997975E-4	ENSG00000213983, ENSG00000076944, ENSG00000100083, ENSG00000065000, ENSG00000105514, ENSG00000215305, ENSG00000094631, ENSG00000104946, ENSG00000104915, ENSG00000064601, ENSG00000122218, ENSG00000085733, ENSG00000145348, ENSG00000124839, ENSG00000169696, ENSG00000101246, ENSG00000254995, ENSG00000141258, ENSG00000142765, ENSG00000181789, ENSG00000103365	409	320	16565	2.657892726161369	0.2570224919858247	0.2969297697351568	0.2969297697351568
GOTERM_CC_DIRECT	GO:0005802~trans-Golgi network	14	3.131991051454139	5.221576457162356E-4	ENSG00000099999, ENSG00000100083, ENSG00000104886, ENSG00000120708, ENSG00000104915, ENSG00000196535, ENSG00000095066, ENSG00000136699, ENSG00000143952, ENSG00000137221, ENSG00000101246, ENSG00000103365, ENSG00000186635, ENSG00000079805	420	185	17529	3.1583783783783783	0.22579924727071576	0.06396431160023885	0.06370323277738074
GOTERM_MF_DIRECT	GO:0003678~DNA helicase activity	8	1.7897091722595078	6.00079394582056E-4	ENSG00000140451, ENSG00000160957, ENSG00000215301, ENSG00000131778, ENSG00000166508, ENSG00000026036, ENSG00000258366, ENSG00000285238	419	59	16929	5.47841915780106	0.3267045356577739	0.10049915391668272	0.10034688247135441
GOTERM_MF_DIRECT	GO:0005515~protein binding	328	73.37807606263982	6.090857813132286E-4	ENSG00000049449, ENSG00000076944, ENSG00000103051, ENSG00000064961, ENSG00000104946, ENSG00000007923, ENSG00000077232, ENSG00000004534, ENSG00000136098, ENSG00000205403, ENSG00000090565, ENSG00000257524, ENSG00000107404, ENSG00000131778, ENSG00000067445, ENSG00000178188, ENSG00000133275, ENSG00000104936, ENSG00000158555, ENSG00000002586, ENSG00000157106, ENSG00000204305, ENSG00000165795, ENSG00000086504, ENSG00000165792, ENSG00000060491, ENSG00000167615, ENSG00000127831, ENSG00000105220, ENSG00000103168, ENSG00000167978, ENSG00000121057, ENSG00000166888, ENSG00000076924, ENSG00000240303, ENSG00000103197, ENSG00000215301, ENSG00000161999, ENSG00000148187, ENSG00000172890, ENSG00000132716, ENSG00000215305, ENSG00000144381, ENSG00000178078, ENSG00000127481, ENSG00000077454, ENSG00000158545, ENSG00000172775, ENSG00000249115, ENSG00000144028, ENSG00000141551, ENSG00000031823, ENSG00000163702, ENSG00000125503, ENSG00000141556, ENSG00000105373, ENSG00000142765, ENSG00000107551, ENSG00000110719, ENSG00000108883, ENSG00000149262, ENSG00000198231, ENSG00000065000, ENSG00000039650, ENSG00000242612, ENSG00000178761, ENSG00000044446, ENSG00000110274, ENSG00000137171, ENSG00000148737, ENSG00000121716, ENSG00000100911, ENSG00000162066, ENSG00000126602, ENSG00000125755, ENSG00000076928, ENSG00000125991, ENSG00000165458, ENSG00000090539, ENSG00000103495, ENSG00000213983, ENSG00000130511, ENSG00000101194, ENSG00000071054, ENSG00000099622, ENSG00000099624, ENSG00000110107, ENSG00000103811, ENSG00000073350, ENSG00000111674, ENSG00000196642, ENSG00000120708, ENSG00000104907, ENSG00000197969, ENSG00000122218, ENSG00000143952, ENSG00000142188, ENSG00000038358, ENSG00000125967, ENSG00000160691, ENSG00000089820, ENSG00000087088, ENSG00000161547, ENSG00000101199, ENSG00000167526, ENSG00000160214, ENSG00000087191, ENSG00000102030, ENSG00000105426, ENSG00000131051, ENSG00000061936, ENSG00000173531, ENSG00000196998, ENSG00000130640, ENSG00000163050, ENSG00000168067, ENSG00000165912, ENSG00000182473, ENSG00000141526, ENSG00000164946, ENSG00000169718, ENSG00000141524, ENSG00000258366, ENSG00000100650, ENSG00000103365, ENSG00000092098, ENSG00000164828, ENSG00000152767, ENSG00000070061, ENSG00000203485, ENSG00000177106, ENSG00000136271, ENSG00000090905, ENSG00000169045, ENSG00000141756, ENSG00000127445, ENSG00000105443, ENSG00000103264, ENSG00000126001, ENSG00000213398, ENSG00000124181, ENSG00000147162, ENSG00000141738, ENSG00000177595, ENSG00000106538, ENSG00000139679, ENSG00000116337, ENSG00000104915, ENSG00000177479, ENSG00000155229, ENSG00000137497, ENSG00000196535, ENSG00000242372, ENSG00000114270, ENSG00000167792, ENSG00000141505, ENSG00000124067, ENSG00000071894, ENSG00000130158, ENSG00000105514, ENSG00000197530, ENSG00000105518, ENSG00000198742, ENSG00000115677, ENSG00000164050, ENSG00000168096, ENSG00000157873, ENSG00000133422, ENSG00000095066, ENSG00000124839, ENSG00000255508, ENSG00000137221, ENSG00000100504, ENSG00000100867, ENSG00000183010, ENSG00000153827, ENSG00000141736, ENSG00000184465, ENSG00000215041, ENSG00000126456, ENSG00000108344, ENSG00000078618, ENSG00000108465, ENSG00000133316, ENSG00000182944, ENSG00000141959, ENSG00000147140, ENSG00000269699, ENSG00000165271, ENSG00000107929, ENSG00000118046, ENSG00000118960, ENSG00000225663, ENSG00000171824, ENSG00000126226, ENSG00000103326, ENSG00000011485, ENSG00000186635, ENSG00000100296, ENSG00000182979, ENSG00000100083, ENSG00000148341, ENSG00000198089, ENSG00000008838, ENSG00000130811, ENSG00000094631, ENSG00000171163, ENSG00000196465, ENSG00000139746, ENSG00000074582, ENSG00000132670, ENSG00000115211, ENSG00000130254, ENSG00000163660, ENSG00000229117, ENSG00000123607, ENSG00000159592, ENSG00000147257, ENSG00000164877, ENSG00000140983, ENSG00000079805, ENSG00000071626, ENSG00000179335, ENSG00000160957, ENSG00000129158, ENSG00000022277, ENSG00000149782, ENSG00000139636, ENSG00000058673, ENSG00000184470, ENSG00000150527, ENSG00000160285, ENSG00000187741, ENSG00000160282, ENSG00000082641, ENSG00000167110, ENSG00000146830, ENSG00000146038, ENSG00000148337, ENSG00000258890, ENSG00000184939, ENSG00000213347, ENSG00000077312, ENSG00000106927, ENSG00000025434, ENSG00000196923, ENSG00000188186, ENSG00000007047, ENSG00000187097, ENSG00000159692, ENSG00000159210, ENSG00000095539, ENSG00000049089, ENSG00000087365, ENSG00000164896, ENSG00000185359, ENSG00000105397, ENSG00000106244, ENSG00000140829, ENSG00000125450, ENSG00000178028, ENSG00000072310, ENSG00000104859, ENSG00000132780, ENSG00000141002, ENSG00000085733, ENSG00000175309, ENSG00000007392, ENSG00000203896, ENSG00000067082, ENSG00000143420, ENSG00000108651, ENSG00000181789, ENSG00000108773, ENSG00000127511, ENSG00000113916, ENSG00000178950, ENSG00000132635, ENSG00000214530, ENSG00000198563, ENSG00000104886, ENSG00000173020, ENSG00000172053, ENSG00000104529, ENSG00000203880, ENSG00000197912, ENSG00000168237, ENSG00000092929, ENSG00000148308, ENSG00000120896, ENSG00000102901, ENSG00000167264, ENSG00000163348, ENSG00000142208, ENSG00000102225, ENSG00000187555, ENSG00000106263, ENSG00000147459, ENSG00000185813, ENSG00000160752, ENSG00000104760, ENSG00000101361, ENSG00000243989, ENSG00000127054, ENSG00000132522, ENSG00000129351, ENSG00000168918, ENSG00000270647, ENSG00000074276, ENSG00000135596, ENSG00000159423, ENSG00000175455, ENSG00000100949, ENSG00000137411, ENSG00000117266, ENSG00000204843, ENSG00000142552, ENSG00000117385, ENSG00000169696, ENSG00000168000, ENSG00000185122, ENSG00000124103, ENSG00000166508, ENSG00000101246, ENSG00000101004, ENSG00000162267, ENSG00000014216, ENSG00000126522	419	12054	16929	1.099410647313818	0.33069125245120046	0.10049915391668272	0.10034688247135441
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	14	3.131991051454139	9.696659905318157E-4	ENSG00000076924, ENSG00000140829, ENSG00000198563, ENSG00000110107, ENSG00000077312, ENSG00000248643, ENSG00000004534, ENSG00000144028, ENSG00000169045, ENSG00000087365, ENSG00000161547, ENSG00000167978, ENSG00000100650, ENSG00000108883	409	192	16565	2.953214140179299	0.874092956547432	1.0	1.0
