Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	51	57.30337078651685	2.3937759885339085E-29	ENSG00000108349, ENSG00000134318, ENSG00000133226, ENSG00000076108, ENSG00000092199, ENSG00000072501, ENSG00000099783, ENSG00000113013, ENSG00000086758, ENSG00000166598, ENSG00000116560, ENSG00000205323, ENSG00000087365, ENSG00000141456, ENSG00000196235, ENSG00000117523, ENSG00000156976, ENSG00000140350, ENSG00000137154, ENSG00000182196, ENSG00000143748, ENSG00000164548, ENSG00000167978, ENSG00000108654, ENSG00000108848, ENSG00000163938, ENSG00000265681, ENSG00000130175, ENSG00000130254, ENSG00000080824, ENSG00000144028, ENSG00000229117, ENSG00000125944, ENSG00000119707, ENSG00000183431, ENSG00000125107, ENSG00000106344, ENSG00000109971, ENSG00000129347, ENSG00000188846, ENSG00000125351, ENSG00000118181, ENSG00000137776, ENSG00000174720, ENSG00000205531, ENSG00000179218, ENSG00000055044, ENSG00000159140, ENSG00000147604, ENSG00000123136, ENSG00000187109	87	1024	10709	6.1305563038793105	4.428485578787731E-27	4.45242333867307E-27	4.428485578787731E-27
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	20	22.47191011235955	2.026237005364837E-12	ENSG00000108349, ENSG00000109920, ENSG00000076108, ENSG00000133226, ENSG00000108848, ENSG00000204371, ENSG00000159140, ENSG00000116560, ENSG00000205323, ENSG00000182196, ENSG00000153827, ENSG00000119707, ENSG00000183431, ENSG00000125676, ENSG00000273559, ENSG00000123136, ENSG00000087365, ENSG00000221978, ENSG00000167978, ENSG00000108654	89	307	11171	8.176993741536434	4.4983150537802885E-10	4.498246151909938E-10	4.2753600813198057E-10
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	52	58.42696629213483	4.834817429443092E-12	ENSG00000108349, ENSG00000133226, ENSG00000092199, ENSG00000072501, ENSG00000099783, ENSG00000145734, ENSG00000168259, ENSG00000086758, ENSG00000116560, ENSG00000205323, ENSG00000153827, ENSG00000087365, ENSG00000221978, ENSG00000141456, ENSG00000163605, ENSG00000115504, ENSG00000196235, ENSG00000140350, ENSG00000137154, ENSG00000143748, ENSG00000164548, ENSG00000121851, ENSG00000167978, ENSG00000108654, ENSG00000092010, ENSG00000108848, ENSG00000112983, ENSG00000130254, ENSG00000204371, ENSG00000080824, ENSG00000144028, ENSG00000125944, ENSG00000119707, ENSG00000183431, ENSG00000273559, ENSG00000123562, ENSG00000109971, ENSG00000109920, ENSG00000125351, ENSG00000118181, ENSG00000111602, ENSG00000137776, ENSG00000137337, ENSG00000174720, ENSG00000111642, ENSG00000137497, ENSG00000055044, ENSG00000125676, ENSG00000123136, ENSG00000204209, ENSG00000090615, ENSG00000148337	89	2643	11171	2.469495423569573	1.0733254285355542E-9	5.366647346681832E-10	5.100732388062463E-10
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	15	16.853932584269664	1.663381590221037E-11	ENSG00000108349, ENSG00000133226, ENSG00000092199, ENSG00000108848, ENSG00000163605, ENSG00000174720, ENSG00000159140, ENSG00000116560, ENSG00000182196, ENSG00000119707, ENSG00000125676, ENSG00000087365, ENSG00000108654, ENSG00000109971, ENSG00000106344	87	153	10635	11.984448951994592	9.381466270497185E-9	7.71621461731808E-9	7.647686956418273E-9
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	14	15.730337078651685	2.741106435992213E-11	ENSG00000108349, ENSG00000133226, ENSG00000092199, ENSG00000099783, ENSG00000144028, ENSG00000125944, ENSG00000183431, ENSG00000273559, ENSG00000123136, ENSG00000164548, ENSG00000087365, ENSG00000167978, ENSG00000108654, ENSG00000109971	87	129	10635	13.26650628174285	1.5459845292831176E-8	7.71621461731808E-9	7.647686956418273E-9
GOTERM_CC_DIRECT	GO:0005634~nucleus	58	65.1685393258427	2.65540965633493E-10	ENSG00000108349, ENSG00000134318, ENSG00000133226, ENSG00000076108, ENSG00000092199, ENSG00000072501, ENSG00000196642, ENSG00000099783, ENSG00000159335, ENSG00000086758, ENSG00000166598, ENSG00000116560, ENSG00000205323, ENSG00000153827, ENSG00000087365, ENSG00000221978, ENSG00000141456, ENSG00000163605, ENSG00000196235, ENSG00000140350, ENSG00000137154, ENSG00000182196, ENSG00000143748, ENSG00000164548, ENSG00000121851, ENSG00000167978, ENSG00000108654, ENSG00000108848, ENSG00000163938, ENSG00000112983, ENSG00000265681, ENSG00000130254, ENSG00000204371, ENSG00000080824, ENSG00000144028, ENSG00000125944, ENSG00000183431, ENSG00000273559, ENSG00000125107, ENSG00000251562, ENSG00000165525, ENSG00000109971, ENSG00000125351, ENSG00000118181, ENSG00000111602, ENSG00000137776, ENSG00000137337, ENSG00000174720, ENSG00000205531, ENSG00000111642, ENSG00000179218, ENSG00000137497, ENSG00000143401, ENSG00000147604, ENSG00000123136, ENSG00000204209, ENSG00000148337, ENSG00000187109	89	3580	11171	2.033513276002762	5.8950083037245804E-8	1.9650031456878485E-8	1.8676381249555673E-8
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	14	15.730337078651685	8.880819786963426E-10	ENSG00000108349, ENSG00000133226, ENSG00000163605, ENSG00000174720, ENSG00000159140, ENSG00000116560, ENSG00000125944, ENSG00000182196, ENSG00000119707, ENSG00000183431, ENSG00000125676, ENSG00000087365, ENSG00000109971, ENSG00000106344	87	170	10635	10.066937119675456	5.008780896709197E-7	1.666633846686803E-7	1.6518324803751973E-7
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	11	12.359550561797752	2.874588942861192E-9	ENSG00000144028, ENSG00000133226, ENSG00000092199, ENSG00000125944, ENSG00000183431, ENSG00000164548, ENSG00000099783, ENSG00000087365, ENSG00000108654, ENSG00000109971, ENSG00000106344	89	94	11171	14.688142481472626	6.38158533128319E-7	1.5953968632879615E-7	1.5163456673592788E-7
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	13	14.606741573033707	8.969364632371483E-9	ENSG00000108349, ENSG00000125351, ENSG00000108848, ENSG00000196235, ENSG00000174720, ENSG00000099783, ENSG00000179218, ENSG00000080824, ENSG00000147604, ENSG00000125944, ENSG00000119707, ENSG00000125676, ENSG00000167978	87	169	10709	9.468611847922192	1.659331078873727E-6	8.341509108105479E-7	8.296662284943622E-7
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	9	10.112359550561797	2.9195897405715844E-8	ENSG00000144028, ENSG00000133226, ENSG00000092199, ENSG00000125944, ENSG00000183431, ENSG00000099783, ENSG00000087365, ENSG00000167978, ENSG00000108654	89	63	11171	17.930979133226323	6.481468305175042E-6	1.2962978448137835E-6	1.2320668705212087E-6
