Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	49	25.789473684210527	1.0111059171828683E-11	ENSG00000076108, ENSG00000147274, ENSG00000181222, ENSG00000099622, ENSG00000114867, ENSG00000099821, ENSG00000107937, ENSG00000135486, ENSG00000156508, ENSG00000142541, ENSG00000126457, ENSG00000164896, ENSG00000153187, ENSG00000159840, ENSG00000116754, ENSG00000156976, ENSG00000197958, ENSG00000169710, ENSG00000117360, ENSG00000102317, ENSG00000188976, ENSG00000167978, ENSG00000108654, ENSG00000198242, ENSG00000174231, ENSG00000163938, ENSG00000132591, ENSG00000265681, ENSG00000136270, ENSG00000115053, ENSG00000174748, ENSG00000169045, ENSG00000090621, ENSG00000183431, ENSG00000109971, ENSG00000071626, ENSG00000101361, ENSG00000130305, ENSG00000008988, ENSG00000198755, ENSG00000179218, ENSG00000055044, ENSG00000123136, ENSG00000130816, ENSG00000089597, ENSG00000163714, ENSG00000089154, ENSG00000147403, ENSG00000161016	177	1024	10709	2.895154705155367	4.469072223400872E-9	4.479199213120107E-9	4.408421798917306E-9
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	80	42.10526315789473	3.8402973748275513E-10	ENSG00000071894, ENSG00000168090, ENSG00000147274, ENSG00000181222, ENSG00000099622, ENSG00000129484, ENSG00000090013, ENSG00000128272, ENSG00000107937, ENSG00000135486, ENSG00000154920, ENSG00000089820, ENSG00000084774, ENSG00000126457, ENSG00000183255, ENSG00000177084, ENSG00000179262, ENSG00000140400, ENSG00000214078, ENSG00000072778, ENSG00000127586, ENSG00000197170, ENSG00000163126, ENSG00000153187, ENSG00000075624, ENSG00000072310, ENSG00000175634, ENSG00000116754, ENSG00000130165, ENSG00000188130, ENSG00000117360, ENSG00000102317, ENSG00000188976, ENSG00000184216, ENSG00000103168, ENSG00000167978, ENSG00000108654, ENSG00000076924, ENSG00000076604, ENSG00000131788, ENSG00000094631, ENSG00000174231, ENSG00000127481, ENSG00000171163, ENSG00000076201, ENSG00000092094, ENSG00000178999, ENSG00000115053, ENSG00000166851, ENSG00000122952, ENSG00000204256, ENSG00000168036, ENSG00000054267, ENSG00000169045, ENSG00000061273, ENSG00000183431, ENSG00000167548, ENSG00000106462, ENSG00000109971, ENSG00000141510, ENSG00000071626, ENSG00000101361, ENSG00000160957, ENSG00000197063, ENSG00000126088, ENSG00000130305, ENSG00000111602, ENSG00000010292, ENSG00000008988, ENSG00000134222, ENSG00000111642, ENSG00000170322, ENSG00000055044, ENSG00000172977, ENSG00000113141, ENSG00000123136, ENSG00000163636, ENSG00000130816, ENSG00000163714, ENSG00000148337	177	2643	11171	1.9103441347039722	1.3172217738777192E-7	7.588208547152814E-8	7.278485749309841E-8
GOTERM_CC_DIRECT	GO:0005634~nucleus	97	51.05263157894737	4.4246113977567425E-10	ENSG00000071894, ENSG00000168090, ENSG00000181222, ENSG00000147274, ENSG00000114867, ENSG00000117616, ENSG00000107937, ENSG00000154920, ENSG00000142541, ENSG00000126457, ENSG00000183255, ENSG00000142945, ENSG00000177084, ENSG00000179262, ENSG00000214078, ENSG00000163126, ENSG00000162039, ENSG00000175197, ENSG00000075624, ENSG00000175634, ENSG00000116754, ENSG00000130165, ENSG00000188130, ENSG00000102878, ENSG00000184216, ENSG00000100056, ENSG00000167978, ENSG00000076924, ENSG00000198242, ENSG00000094631, ENSG00000163938, ENSG00000265681, ENSG00000178999, ENSG00000204536, ENSG00000115053, ENSG00000204256, ENSG00000168036, ENSG00000061273, ENSG00000183431, ENSG00000106462, ENSG00000184009, ENSG00000109971, ENSG00000071626, ENSG00000160957, ENSG00000130702, ENSG00000010292, ENSG00000111642, ENSG00000198755, ENSG00000179218, ENSG00000113141, ENSG00000130816, ENSG00000163714, ENSG00000147403, ENSG00000100075, ENSG00000186812, ENSG00000148337, ENSG00000076108, ENSG00000158805, ENSG00000129484, ENSG00000099622, ENSG00000128272, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000084774, ENSG00000127586, ENSG00000153187, ENSG00000072310, ENSG00000159840, ENSG00000265972, ENSG00000141002, ENSG00000102317, ENSG00000117360, ENSG00000188976, ENSG00000126787, ENSG00000108654, ENSG00000105576, ENSG00000076604, ENSG00000131788, ENSG00000104763, ENSG00000174231, ENSG00000076201, ENSG00000092094, ENSG00000136436, ENSG00000166851, ENSG00000174748, ENSG00000054267, ENSG00000169045, ENSG00000090621, ENSG00000167548, ENSG00000141510, ENSG00000197063, ENSG00000133612, ENSG00000111602, ENSG00000170322, ENSG00000172977, ENSG00000123136	177	3580	11171	1.7100448189881008	1.5176417289541888E-7	7.588208547152814E-8	7.278485749309841E-8
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	14	7.368421052631578	1.860871897559013E-7	ENSG00000076924, ENSG00000153187, ENSG00000147274, ENSG00000174231, ENSG00000135486, ENSG00000113141, ENSG00000117360, ENSG00000169045, ENSG00000183431, ENSG00000123136, ENSG00000167978, ENSG00000108654, ENSG00000100056, ENSG00000109971	176	129	10635	6.557875264270613	2.58813806978786E-4	2.586611937607028E-4	2.586611937607028E-4
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	11	5.7894736842105265	2.4977821420254187E-7	ENSG00000197958, ENSG00000142541, ENSG00000198242, ENSG00000174748, ENSG00000008988, ENSG00000156508, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000089154, ENSG00000161016	177	75	11171	9.2565725047081	8.56702682712207E-5	2.855797582382395E-5	2.7392344157545427E-5
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	10	5.263157894736842	5.554428582677074E-7	ENSG00000076924, ENSG00000153187, ENSG00000147274, ENSG00000174231, ENSG00000169045, ENSG00000183431, ENSG00000135486, ENSG00000167978, ENSG00000108654, ENSG00000100056	177	63	11171	10.01793561115595	1.90498806092676E-4	4.762922509645591E-5	4.568517509251893E-5
GOTERM_MF_DIRECT	GO:0005515~protein binding	156	82.10526315789474	7.338417299227649E-7	ENSG00000071894, ENSG00000104783, ENSG00000069696, ENSG00000168090, ENSG00000181222, ENSG00000147274, ENSG00000099821, ENSG00000114867, ENSG00000128591, ENSG00000117616, ENSG00000107937, ENSG00000154920, ENSG00000013810, ENSG00000139641, ENSG00000126457, ENSG00000183255, ENSG00000142945, ENSG00000130827, ENSG00000177084, ENSG00000179262, ENSG00000140521, ENSG00000214078, ENSG00000163126, ENSG00000175197, ENSG00000134802, ENSG00000075624, ENSG00000115307, ENSG00000116754, ENSG00000130165, ENSG00000188130, ENSG00000187961, ENSG00000137076, ENSG00000256269, ENSG00000103326, ENSG00000184216, ENSG00000100056, ENSG00000103168, ENSG00000167978, ENSG00000076924, ENSG00000161638, ENSG00000198242, ENSG00000105655, ENSG00000077458, ENSG00000196187, ENSG00000094631, ENSG00000127481, ENSG00000171163, ENSG00000163938, ENSG00000265681, ENSG00000064547, ENSG00000005961, ENSG00000178999, ENSG00000204536, ENSG00000115053, ENSG00000172889, ENSG00000134294, ENSG00000204256, ENSG00000168036, ENSG00000061273, ENSG00000183431, ENSG00000106462, ENSG00000184009, ENSG00000109971, ENSG00000071626, ENSG00000160957, ENSG00000010292, ENSG00000134222, ENSG00000175137, ENSG00000111642, ENSG00000198755, ENSG00000179218, ENSG00000055044, ENSG00000184470, ENSG00000113141, ENSG00000130816, ENSG00000163714, ENSG00000147403, ENSG00000186812, ENSG00000148337, ENSG00000161016, ENSG00000076108, ENSG00000158805, ENSG00000129484, ENSG00000099622, ENSG00000090013, ENSG00000128272, ENSG00000178814, ENSG00000135486, ENSG00000156508, ENSG00000120708, ENSG00000104904, ENSG00000132254, ENSG00000008130, ENSG00000146826, ENSG00000089820, ENSG00000161542, ENSG00000164896, ENSG00000072778, ENSG00000127586, ENSG00000185359, ENSG00000197170, ENSG00000153187, ENSG00000072310, ENSG00000159840, ENSG00000172046, ENSG00000265972, ENSG00000156976, ENSG00000141002, ENSG00000197958, ENSG00000169710, ENSG00000102317, ENSG00000117360, ENSG00000188976, ENSG00000126787, ENSG00000108654, ENSG00000237441, ENSG00000105576, ENSG00000076604, ENSG00000131788, ENSG00000104763, ENSG00000174231, ENSG00000173020, ENSG00000171241, ENSG00000076201, ENSG00000132591, ENSG00000092094, ENSG00000136436, ENSG00000136270, ENSG00000174903, ENSG00000122952, ENSG00000143811, ENSG00000166851, ENSG00000174748, ENSG00000054267, ENSG00000169045, ENSG00000090621, ENSG00000168758, ENSG00000167548, ENSG00000141510, ENSG00000101361, ENSG00000197063, ENSG00000126088, ENSG00000066651, ENSG00000155463, ENSG00000124181, ENSG00000111602, ENSG00000116857, ENSG00000008988, ENSG00000170322, ENSG00000172977, ENSG00000134262, ENSG00000123136, ENSG00000163636, ENSG00000101246, ENSG00000089597, ENSG00000142798	177	7812	10709	1.2081977314344727	3.2430556522455856E-4	1.6254594317789242E-4	1.5997749712316276E-4
GOTERM_CC_DIRECT	GO:0005829~cytosol	91	47.89473684210526	8.319340626589007E-7	ENSG00000104783, ENSG00000168090, ENSG00000076108, ENSG00000090013, ENSG00000114867, ENSG00000128591, ENSG00000178814, ENSG00000107937, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000132254, ENSG00000013810, ENSG00000142541, ENSG00000008130, ENSG00000089820, ENSG00000084774, ENSG00000126457, ENSG00000142945, ENSG00000179262, ENSG00000140400, ENSG00000214078, ENSG00000127586, ENSG00000185359, ENSG00000197170, ENSG00000163126, ENSG00000175197, ENSG00000153187, ENSG00000075624, ENSG00000070610, ENSG00000072310, ENSG00000159840, ENSG00000172046, ENSG00000265972, ENSG00000156976, ENSG00000141002, ENSG00000197958, ENSG00000169710, ENSG00000188130, ENSG00000117360, ENSG00000137076, ENSG00000188976, ENSG00000126787, ENSG00000256269, ENSG00000184216, ENSG00000108654, ENSG00000237441, ENSG00000076604, ENSG00000198242, ENSG00000105655, ENSG00000173020, ENSG00000094631, ENSG00000127481, ENSG00000076201, ENSG00000111696, ENSG00000132591, ENSG00000265681, ENSG00000092094, ENSG00000136436, ENSG00000178999, ENSG00000204536, ENSG00000174903, ENSG00000166851, ENSG00000122952, ENSG00000174748, ENSG00000168036, ENSG00000054267, ENSG00000169045, ENSG00000061273, ENSG00000090621, ENSG00000184009, ENSG00000109971, ENSG00000141510, ENSG00000071626, ENSG00000126088, ENSG00000124181, ENSG00000010292, ENSG00000008988, ENSG00000134222, ENSG00000198755, ENSG00000179218, ENSG00000055044, ENSG00000172977, ENSG00000184470, ENSG00000134262, ENSG00000163636, ENSG00000101246, ENSG00000089154, ENSG00000147403, ENSG00000186812, ENSG00000161016	177	3738	11171	1.536458663958188	2.8531279274468524E-4	5.707067669840058E-5	5.474126132295566E-5
GOTERM_BP_DIRECT	GO:0006412~translation	14	7.368421052631578	9.195939099701657E-7	ENSG00000198242, ENSG00000114867, ENSG00000175634, ENSG00000008988, ENSG00000156508, ENSG00000198755, ENSG00000265681, ENSG00000197958, ENSG00000142541, ENSG00000174748, ENSG00000090621, ENSG00000162910, ENSG00000147403, ENSG00000161016	176	148	10635	5.715985872235872	0.0012783379460388211	6.391177674292651E-4	6.391177674292651E-4
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	8	4.2105263157894735	4.270833232814952E-6	ENSG00000197958, ENSG00000142541, ENSG00000198242, ENSG00000174748, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000161016	177	43	11171	11.741952437261858	0.0014638264863404693	2.441492998092547E-4	2.3418402226601986E-4
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	26	13.684210526315791	5.937209444637401E-6	ENSG00000131788, ENSG00000094631, ENSG00000128272, ENSG00000171163, ENSG00000178999, ENSG00000166851, ENSG00000168036, ENSG00000054267, ENSG00000061273, ENSG00000106462, ENSG00000141510, ENSG00000175197, ENSG00000197063, ENSG00000153187, ENSG00000072310, ENSG00000111602, ENSG00000111642, ENSG00000265972, ENSG00000179218, ENSG00000141002, ENSG00000172977, ENSG00000102878, ENSG00000188976, ENSG00000130816, ENSG00000147403, ENSG00000108654	176	567	10635	2.7708633958633957	0.008224673621261003	0.002750907042681996	0.002750907042681996
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	10	5.263157894736842	1.6430331610739546E-5	ENSG00000115053, ENSG00000147274, ENSG00000099622, ENSG00000174231, ENSG00000117360, ENSG00000102317, ENSG00000183431, ENSG00000135486, ENSG00000108654, ENSG00000109971	177	94	11171	6.714148335136434	0.005619799554614668	8.050862489262378E-4	7.722255857047586E-4
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	9	4.736842105263158	2.4758707820133634E-5	ENSG00000197958, ENSG00000142541, ENSG00000198242, ENSG00000174748, ENSG00000008988, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000161016	176	73	10635	7.4497976338729766	0.03385348934180721	0.008603650967496438	0.008603650967496438
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	11	5.7894736842105265	3.113619168722513E-5	ENSG00000142541, ENSG00000115053, ENSG00000153187, ENSG00000075624, ENSG00000147274, ENSG00000169045, ENSG00000090621, ENSG00000135486, ENSG00000108654, ENSG00000109971, ENSG00000071626	177	127	11171	5.466479825615019	0.010623052579739278	0.0013349642185897775	0.0012804758831371334
GOTERM_BP_DIRECT	GO:0048026~positive regulation of mRNA splicing, via spliceosome	6	3.1578947368421053	4.6348062558837644E-5	ENSG00000115053, ENSG00000147274, ENSG00000099622, ENSG00000102317, ENSG00000109971, ENSG00000071626	176	25	10635	14.502272727272727	0.062437305367558316	0.012884761391356865	0.012884761391356865
