Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	146	25.749559082892414	1.0767156129476653E-10	ENSG00000092199, ENSG00000123064, ENSG00000181222, ENSG00000110700, ENSG00000099821, ENSG00000114867, ENSG00000099783, ENSG00000115677, ENSG00000113013, ENSG00000167962, ENSG00000116001, ENSG00000167721, ENSG00000142541, ENSG00000099381, ENSG00000138398, ENSG00000126457, ENSG00000101158, ENSG00000179950, ENSG00000136709, ENSG00000104897, ENSG00000132507, ENSG00000147140, ENSG00000137996, ENSG00000132341, ENSG00000241343, ENSG00000107929, ENSG00000143621, ENSG00000171824, ENSG00000088247, ENSG00000026297, ENSG00000182154, ENSG00000011243, ENSG00000106348, ENSG00000215301, ENSG00000135829, ENSG00000145592, ENSG00000078269, ENSG00000165280, ENSG00000132153, ENSG00000130255, ENSG00000229117, ENSG00000140988, ENSG00000183431, ENSG00000172809, ENSG00000125107, ENSG00000160710, ENSG00000108883, ENSG00000071626, ENSG00000103353, ENSG00000130305, ENSG00000132603, ENSG00000175931, ENSG00000134186, ENSG00000198755, ENSG00000011304, ENSG00000056097, ENSG00000076928, ENSG00000163950, ENSG00000143321, ENSG00000105364, ENSG00000124541, ENSG00000106211, ENSG00000197451, ENSG00000137309, ENSG00000124193, ENSG00000129084, ENSG00000204351, ENSG00000135486, ENSG00000156508, ENSG00000108829, ENSG00000171863, ENSG00000104907, ENSG00000171858, ENSG00000170889, ENSG00000204356, ENSG00000112081, ENSG00000120438, ENSG00000161265, ENSG00000087365, ENSG00000161547, ENSG00000143793, ENSG00000164896, ENSG00000167526, ENSG00000149658, ENSG00000070756, ENSG00000087087, ENSG00000153187, ENSG00000003756, ENSG00000129250, ENSG00000006744, ENSG00000105705, ENSG00000072274, ENSG00000156976, ENSG00000248333, ENSG00000233927, ENSG00000149806, ENSG00000197958, ENSG00000204469, ENSG00000169710, ENSG00000029363, ENSG00000102317, ENSG00000231500, ENSG00000168066, ENSG00000182196, ENSG00000143947, ENSG00000183684, ENSG00000182872, ENSG00000162244, ENSG00000125970, ENSG00000108654, ENSG00000065150, ENSG00000132478, ENSG00000182934, ENSG00000178952, ENSG00000197111, ENSG00000174231, ENSG00000129460, ENSG00000111057, ENSG00000204574, ENSG00000265241, ENSG00000130175, ENSG00000136271, ENSG00000010244, ENSG00000130726, ENSG00000090621, ENSG00000072518, ENSG00000160633, ENSG00000141994, ENSG00000084072, ENSG00000148303, ENSG00000105202, ENSG00000141738, ENSG00000270647, ENSG00000198830, ENSG00000155506, ENSG00000152234, ENSG00000196924, ENSG00000204569, ENSG00000168488, ENSG00000084623, ENSG00000100316, ENSG00000168003, ENSG00000048162, ENSG00000123136, ENSG00000089597, ENSG00000143761	546	571	3411	1.5973711052520159	9.098244579952564E-8	9.109014085537248E-8	9.087479773278295E-8
GOTERM_CC_DIRECT	GO:0005634~nucleus	278	49.029982363315696	3.136679245687333E-7	ENSG00000092199, ENSG00000181222, ENSG00000120071, ENSG00000110700, ENSG00000181220, ENSG00000114867, ENSG00000064961, ENSG00000116922, ENSG00000084207, ENSG00000116001, ENSG00000167721, ENSG00000142541, ENSG00000099381, ENSG00000138398, ENSG00000089902, ENSG00000168137, ENSG00000058600, ENSG00000204435, ENSG00000276043, ENSG00000177084, ENSG00000179262, ENSG00000125520, ENSG00000179950, ENSG00000075624, ENSG00000132507, ENSG00000068654, ENSG00000137996, ENSG00000143621, ENSG00000204304, ENSG00000137193, ENSG00000143624, ENSG00000088247, ENSG00000089693, ENSG00000167615, ENSG00000094914, ENSG00000163930, ENSG00000087152, ENSG00000241878, ENSG00000106348, ENSG00000215301, ENSG00000044574, ENSG00000068745, ENSG00000189091, ENSG00000132153, ENSG00000132155, ENSG00000133247, ENSG00000178999, ENSG00000168036, ENSG00000013275, ENSG00000183431, ENSG00000161888, ENSG00000167986, ENSG00000108883, ENSG00000134107, ENSG00000153406, ENSG00000175931, ENSG00000158773, ENSG00000171453, ENSG00000100906, ENSG00000162063, ENSG00000167996, ENSG00000011304, ENSG00000056097, ENSG00000100239, ENSG00000093009, ENSG00000185049, ENSG00000163950, ENSG00000051523, ENSG00000167513, ENSG00000165458, ENSG00000106211, ENSG00000126012, ENSG00000105556, ENSG00000107854, ENSG00000129084, ENSG00000204351, ENSG00000196642, ENSG00000004975, ENSG00000104907, ENSG00000077152, ENSG00000167522, ENSG00000142186, ENSG00000204356, ENSG00000125968, ENSG00000087088, ENSG00000161547, ENSG00000167526, ENSG00000127586, ENSG00000070756, ENSG00000087087, ENSG00000197162, ENSG00000149480, ENSG00000153187, ENSG00000003756, ENSG00000111669, ENSG00000214706, ENSG00000198258, ENSG00000072274, ENSG00000112511, ENSG00000154832, ENSG00000248333, ENSG00000168066, ENSG00000143947, ENSG00000167770, ENSG00000183684, ENSG00000090238, ENSG00000141644, ENSG00000125970, ENSG00000141522, ENSG00000272333, ENSG00000147050, ENSG00000065150, ENSG00000105576, ENSG00000076604, ENSG00000175166, ENSG00000265241, ENSG00000132475, ENSG00000130299, ENSG00000136271, ENSG00000186185, ENSG00000010244, ENSG00000005483, ENSG00000100567, ENSG00000165802, ENSG00000130726, ENSG00000149115, ENSG00000101412, ENSG00000108840, ENSG00000169727, ENSG00000167548, ENSG00000127564, ENSG00000185658, ENSG00000197063, ENSG00000105202, ENSG00000177595, ENSG00000198830, ENSG00000068438, ENSG00000242372, ENSG00000204569, ENSG00000175727, ENSG00000100316, ENSG00000167671, ENSG00000103266, ENSG00000123064, ENSG00000135723, ENSG00000134759, ENSG00000099783, ENSG00000115317, ENSG00000114346, ENSG00000115677, ENSG00000139645, ENSG00000062822, ENSG00000163882, ENSG00000126457, ENSG00000142945, ENSG00000101158, ENSG00000136709, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000237649, ENSG00000172366, ENSG00000115548, ENSG00000132341, ENSG00000198858, ENSG00000188130, ENSG00000171824, ENSG00000120129, ENSG00000063241, ENSG00000184216, ENSG00000011243, ENSG00000131467, ENSG00000145191, ENSG00000135829, ENSG00000094631, ENSG00000213523, ENSG00000025770, ENSG00000165280, ENSG00000132793, ENSG00000205581, ENSG00000122515, ENSG00000100888, ENSG00000140988, ENSG00000187514, ENSG00000103479, ENSG00000125107, ENSG00000160710, ENSG00000184009, ENSG00000176170, ENSG00000167106, ENSG00000215021, ENSG00000071626, ENSG00000160957, ENSG00000160714, ENSG00000136807, ENSG00000099875, ENSG00000105647, ENSG00000130702, ENSG00000111640, ENSG00000134186, ENSG00000111642, ENSG00000198755, ENSG00000164880, ENSG00000137331, ENSG00000171848, ENSG00000080345, ENSG00000165175, ENSG00000166946, ENSG00000143442, ENSG00000143321, ENSG00000142599, ENSG00000197451, ENSG00000158805, ENSG00000137309, ENSG00000135486, ENSG00000112245, ENSG00000156508, ENSG00000135363, ENSG00000171863, ENSG00000080603, ENSG00000149091, ENSG00000170889, ENSG00000116285, ENSG00000187531, ENSG00000138073, ENSG00000087365, ENSG00000125686, ENSG00000116717, ENSG00000072310, ENSG00000006744, ENSG00000041357, ENSG00000105705, ENSG00000188290, ENSG00000265972, ENSG00000116830, ENSG00000142453, ENSG00000029363, ENSG00000231500, ENSG00000182196, ENSG00000102317, ENSG00000152804, ENSG00000165516, ENSG00000182199, ENSG00000182872, ENSG00000079616, ENSG00000108654, ENSG00000067057, ENSG00000197111, ENSG00000213445, ENSG00000174231, ENSG00000117713, ENSG00000177508, ENSG00000172732, ENSG00000169689, ENSG00000169567, ENSG00000106261, ENSG00000090621, ENSG00000102225, ENSG00000160633, ENSG00000160753, ENSG00000084072, ENSG00000148303, ENSG00000071564, ENSG00000133612, ENSG00000198793, ENSG00000270647, ENSG00000137413, ENSG00000205250, ENSG00000170322, ENSG00000152234, ENSG00000173039, ENSG00000196924, ENSG00000117385, ENSG00000141582, ENSG00000169696, ENSG00000103549, ENSG00000185122, ENSG00000123136	546	1429	3483	1.2410046216904158	1.8410615095398875E-4	1.8412307172184644E-4	1.8192739624986533E-4
GOTERM_CC_DIRECT	GO:0042788~polysomal ribosome	12	2.1164021164021163	5.435891705344715E-5	ENSG00000233927, ENSG00000171858, ENSG00000229117, ENSG00000135829, ENSG00000107929, ENSG00000204574, ENSG00000155506, ENSG00000172809, ENSG00000241343, ENSG00000198755, ENSG00000148303, ENSG00000130255	546	20	3483	3.8274725274725276	0.03140581409077403	0.01595434215518674	0.015764085945499672
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	23	4.056437389770723	9.46521384215155E-5	ENSG00000145592, ENSG00000110700, ENSG00000241343, ENSG00000198755, ENSG00000068438, ENSG00000171863, ENSG00000130255, ENSG00000149806, ENSG00000197958, ENSG00000233927, ENSG00000142541, ENSG00000171858, ENSG00000229117, ENSG00000170889, ENSG00000100316, ENSG00000231500, ENSG00000143947, ENSG00000140988, ENSG00000232112, ENSG00000172809, ENSG00000162244, ENSG00000167526, ENSG00000148303	539	61	3362	2.351835518111865	0.22991337178045468	0.1339631053350159	0.1339631053350159
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	28	4.938271604938271	9.710989875680747E-5	ENSG00000092199, ENSG00000174231, ENSG00000135486, ENSG00000189091, ENSG00000265241, ENSG00000116001, ENSG00000138398, ENSG00000126457, ENSG00000087365, ENSG00000161547, ENSG00000108883, ENSG00000179950, ENSG00000003756, ENSG00000104897, ENSG00000147140, ENSG00000270647, ENSG00000105705, ENSG00000104957, ENSG00000134186, ENSG00000104859, ENSG00000116830, ENSG00000011304, ENSG00000029363, ENSG00000182196, ENSG00000088247, ENSG00000182872, ENSG00000011243, ENSG00000108654	539	82	3362	2.12987012987013	0.23512001152298878	0.1339631053350159	0.1339631053350159
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	234	41.269841269841265	1.3115749772618692E-4	ENSG00000092199, ENSG00000181222, ENSG00000120071, ENSG00000110700, ENSG00000181220, ENSG00000064961, ENSG00000116922, ENSG00000116001, ENSG00000167721, ENSG00000099381, ENSG00000138398, ENSG00000089902, ENSG00000168137, ENSG00000058600, ENSG00000204435, ENSG00000276043, ENSG00000177084, ENSG00000179262, ENSG00000167965, ENSG00000179950, ENSG00000075624, ENSG00000110931, ENSG00000068654, ENSG00000137996, ENSG00000143621, ENSG00000137193, ENSG00000143624, ENSG00000088247, ENSG00000105220, ENSG00000094914, ENSG00000163930, ENSG00000104960, ENSG00000215301, ENSG00000131748, ENSG00000127481, ENSG00000068745, ENSG00000189091, ENSG00000177666, ENSG00000133247, ENSG00000131069, ENSG00000178999, ENSG00000162298, ENSG00000168036, ENSG00000013275, ENSG00000183431, ENSG00000160799, ENSG00000161888, ENSG00000167986, ENSG00000108883, ENSG00000132603, ENSG00000130305, ENSG00000153406, ENSG00000175931, ENSG00000158773, ENSG00000171453, ENSG00000100906, ENSG00000011304, ENSG00000093009, ENSG00000185049, ENSG00000163950, ENSG00000124541, ENSG00000167513, ENSG00000177200, ENSG00000126012, ENSG00000105556, ENSG00000239857, ENSG00000124193, ENSG00000129084, ENSG00000004975, ENSG00000104907, ENSG00000077152, ENSG00000167522, ENSG00000204356, ENSG00000112081, ENSG00000125968, ENSG00000149930, ENSG00000161547, ENSG00000127586, ENSG00000087087, ENSG00000149480, ENSG00000153187, ENSG00000003756, ENSG00000198258, ENSG00000112511, ENSG00000154832, ENSG00000149806, ENSG00000204469, ENSG00000168066, ENSG00000143947, ENSG00000167770, ENSG00000183684, ENSG00000125733, ENSG00000141644, ENSG00000148834, ENSG00000272333, ENSG00000147050, ENSG00000065150, ENSG00000076604, ENSG00000175166, ENSG00000136718, ENSG00000204574, ENSG00000265241, ENSG00000132475, ENSG00000158864, ENSG00000143258, ENSG00000186185, ENSG00000010244, ENSG00000005483, ENSG00000100567, ENSG00000165802, ENSG00000130726, ENSG00000101412, ENSG00000108840, ENSG00000169727, ENSG00000167548, ENSG00000127564, ENSG00000185658, ENSG00000197063, ENSG00000105202, ENSG00000177595, ENSG00000242372, ENSG00000198837, ENSG00000204569, ENSG00000168884, ENSG00000048162, ENSG00000103266, ENSG00000123064, ENSG00000135723, ENSG00000134759, ENSG00000099783, ENSG00000114346, ENSG00000062822, ENSG00000163882, ENSG00000126457, ENSG00000101158, ENSG00000140400, ENSG00000136709, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000115548, ENSG00000132341, ENSG00000116199, ENSG00000188130, ENSG00000171824, ENSG00000184216, ENSG00000011243, ENSG00000186635, ENSG00000131467, ENSG00000090273, ENSG00000135829, ENSG00000094631, ENSG00000213523, ENSG00000025770, ENSG00000165280, ENSG00000115216, ENSG00000205581, ENSG00000122515, ENSG00000100888, ENSG00000166012, ENSG00000140988, ENSG00000187514, ENSG00000103479, ENSG00000160710, ENSG00000071626, ENSG00000160957, ENSG00000136807, ENSG00000099875, ENSG00000111642, ENSG00000164880, ENSG00000161011, ENSG00000080345, ENSG00000124702, ENSG00000166946, ENSG00000143442, ENSG00000143321, ENSG00000142599, ENSG00000197451, ENSG00000137309, ENSG00000196365, ENSG00000135486, ENSG00000135363, ENSG00000171863, ENSG00000080603, ENSG00000196923, ENSG00000171858, ENSG00000170889, ENSG00000187531, ENSG00000161265, ENSG00000087365, ENSG00000125686, ENSG00000125450, ENSG00000116717, ENSG00000072310, ENSG00000006744, ENSG00000041357, ENSG00000105705, ENSG00000104859, ENSG00000156858, ENSG00000233927, ENSG00000142453, ENSG00000029363, ENSG00000231500, ENSG00000102317, ENSG00000165516, ENSG00000182872, ENSG00000108654, ENSG00000197111, ENSG00000174231, ENSG00000129460, ENSG00000117713, ENSG00000172732, ENSG00000117399, ENSG00000169689, ENSG00000142684, ENSG00000169567, ENSG00000122952, ENSG00000169683, ENSG00000072518, ENSG00000160633, ENSG00000084072, ENSG00000071564, ENSG00000198793, ENSG00000270647, ENSG00000137413, ENSG00000205250, ENSG00000170322, ENSG00000173039, ENSG00000141582, ENSG00000169696, ENSG00000168003, ENSG00000103549, ENSG00000185122, ENSG00000123136	546	1244	3483	1.1999310978410658	0.07410505442849724	0.025663150388423907	0.025357116227062805
GOTERM_BP_DIRECT	GO:0000381~regulation of alternative mRNA splicing, via spliceosome	11	1.9400352733686066	2.3755503719345722E-4	ENSG00000116001, ENSG00000179950, ENSG00000153187, ENSG00000011304, ENSG00000003756, ENSG00000124193, ENSG00000135486, ENSG00000182872, ENSG00000265241, ENSG00000161547, ENSG00000108654	539	19	3362	3.6111707841031144	0.480936883623842	0.1800887250682361	0.1800887250682361
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	27	4.761904761904762	2.6109275109566666E-4	ENSG00000092199, ENSG00000174231, ENSG00000124193, ENSG00000135486, ENSG00000099783, ENSG00000189091, ENSG00000265241, ENSG00000112081, ENSG00000183431, ENSG00000161265, ENSG00000087365, ENSG00000161547, ENSG00000084072, ENSG00000070756, ENSG00000108883, ENSG00000153187, ENSG00000003756, ENSG00000104897, ENSG00000198258, ENSG00000104957, ENSG00000134186, ENSG00000168066, ENSG00000183684, ENSG00000123136, ENSG00000182872, ENSG00000125970, ENSG00000108654	539	82	3362	2.053803339517625	0.5135932559577732	0.1800887250682361	0.1800887250682361
GOTERM_CC_DIRECT	GO:0000791~euchromatin	10	1.763668430335097	3.9343149434593893E-4	ENSG00000071564, ENSG00000005483, ENSG00000171824, ENSG00000168137, ENSG00000181222, ENSG00000168036, ENSG00000185122, ENSG00000130726, ENSG00000165802, ENSG00000276043	546	17	3483	3.7524240465416936	0.20625238180455885	0.05773607179526654	0.057047566680161144
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	33	5.82010582010582	5.376879978754931E-4	ENSG00000177200, ENSG00000126012, ENSG00000120071, ENSG00000064961, ENSG00000133247, ENSG00000205581, ENSG00000143258, ENSG00000005483, ENSG00000099381, ENSG00000089902, ENSG00000168137, ENSG00000100888, ENSG00000187531, ENSG00000130726, ENSG00000276043, ENSG00000126457, ENSG00000103479, ENSG00000167548, ENSG00000108840, ENSG00000160633, ENSG00000149480, ENSG00000153187, ENSG00000115548, ENSG00000198830, ENSG00000112511, ENSG00000111642, ENSG00000173039, ENSG00000142453, ENSG00000141582, ENSG00000103549, ENSG00000087152, ENSG00000272333, ENSG00000163930	539	113	3362	1.8215640238396245	0.7733657935960688	0.29669623722769706	0.29669623722769706
