Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	172	43.0	8.469211911849222E-29	ENSG00000178971, ENSG00000071894, ENSG00000116809, ENSG00000071655, ENSG00000148362, ENSG00000113810, ENSG00000006712, ENSG00000111596, ENSG00000175467, ENSG00000154889, ENSG00000004777, ENSG00000135446, ENSG00000138434, ENSG00000169180, ENSG00000062822, ENSG00000086758, ENSG00000099381, ENSG00000115274, ENSG00000166197, ENSG00000140400, ENSG00000144048, ENSG00000133316, ENSG00000179950, ENSG00000075624, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000065268, ENSG00000169592, ENSG00000115268, ENSG00000114573, ENSG00000198728, ENSG00000088247, ENSG00000102119, ENSG00000063244, ENSG00000184575, ENSG00000152291, ENSG00000184216, ENSG00000011243, ENSG00000183765, ENSG00000121058, ENSG00000105221, ENSG00000076924, ENSG00000160789, ENSG00000177302, ENSG00000160949, ENSG00000131748, ENSG00000172531, ENSG00000134057, ENSG00000115216, ENSG00000213923, ENSG00000133247, ENSG00000005206, ENSG00000178999, ENSG00000165684, ENSG00000134690, ENSG00000168036, ENSG00000166012, ENSG00000160392, ENSG00000140988, ENSG00000100764, ENSG00000187514, ENSG00000108883, ENSG00000160957, ENSG00000178127, ENSG00000092201, ENSG00000142507, ENSG00000010292, ENSG00000155827, ENSG00000137337, ENSG00000171453, ENSG00000111642, ENSG00000152795, ENSG00000115289, ENSG00000164880, ENSG00000011304, ENSG00000204922, ENSG00000101843, ENSG00000131508, ENSG00000102898, ENSG00000093009, ENSG00000109685, ENSG00000124541, ENSG00000167513, ENSG00000126012, ENSG00000197451, ENSG00000166949, ENSG00000130119, ENSG00000124193, ENSG00000198026, ENSG00000104907, ENSG00000099341, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000136450, ENSG00000084774, ENSG00000149930, ENSG00000105393, ENSG00000013573, ENSG00000141499, ENSG00000087087, ENSG00000148843, ENSG00000087191, ENSG00000149480, ENSG00000140829, ENSG00000104973, ENSG00000104852, ENSG00000116717, ENSG00000072310, ENSG00000006744, ENSG00000108819, ENSG00000132382, ENSG00000104859, ENSG00000132781, ENSG00000154832, ENSG00000133112, ENSG00000130640, ENSG00000204469, ENSG00000100813, ENSG00000168066, ENSG00000167770, ENSG00000143947, ENSG00000182872, ENSG00000125733, ENSG00000258366, ENSG00000141644, ENSG00000272333, ENSG00000160741, ENSG00000092010, ENSG00000104884, ENSG00000174231, ENSG00000108604, ENSG00000104889, ENSG00000112306, ENSG00000117713, ENSG00000005882, ENSG00000196700, ENSG00000132475, ENSG00000170312, ENSG00000173545, ENSG00000132510, ENSG00000132356, ENSG00000073050, ENSG00000080824, ENSG00000166333, ENSG00000143258, ENSG00000130726, ENSG00000101412, ENSG00000183751, ENSG00000169727, ENSG00000167548, ENSG00000180900, ENSG00000104881, ENSG00000173272, ENSG00000105325, ENSG00000105204, ENSG00000129351, ENSG00000174243, ENSG00000177595, ENSG00000137497, ENSG00000090060, ENSG00000143368, ENSG00000079432, ENSG00000079313, ENSG00000185122, ENSG00000141867, ENSG00000123136, ENSG00000166508, ENSG00000122566, ENSG00000103266, ENSG00000147687	386	4076	20647	2.2571682081894777	4.5056207371037863E-26	4.5056207371037863E-26	4.268482803572008E-26
GOTERM_MF_DIRECT	GO:0003723~RNA binding	100	25.0	4.1821725237734604E-27	ENSG00000114867, ENSG00000175467, ENSG00000167962, ENSG00000142541, ENSG00000086758, ENSG00000099381, ENSG00000166197, ENSG00000100345, ENSG00000144048, ENSG00000179950, ENSG00000104897, ENSG00000147140, ENSG00000115268, ENSG00000088247, ENSG00000063244, ENSG00000011243, ENSG00000130811, ENSG00000108528, ENSG00000132153, ENSG00000213923, ENSG00000265681, ENSG00000140988, ENSG00000100764, ENSG00000172809, ENSG00000125107, ENSG00000108883, ENSG00000092201, ENSG00000155660, ENSG00000156990, ENSG00000104835, ENSG00000174444, ENSG00000198755, ENSG00000152795, ENSG00000011304, ENSG00000089157, ENSG00000147403, ENSG00000124541, ENSG00000161016, ENSG00000103495, ENSG00000197451, ENSG00000130119, ENSG00000124193, ENSG00000156508, ENSG00000104907, ENSG00000163682, ENSG00000136450, ENSG00000143793, ENSG00000123384, ENSG00000167526, ENSG00000141499, ENSG00000087087, ENSG00000148843, ENSG00000179115, ENSG00000140829, ENSG00000104852, ENSG00000006744, ENSG00000132382, ENSG00000159840, ENSG00000133112, ENSG00000156976, ENSG00000204469, ENSG00000169710, ENSG00000100813, ENSG00000168066, ENSG00000182196, ENSG00000143947, ENSG00000182872, ENSG00000162244, ENSG00000167658, ENSG00000141367, ENSG00000174231, ENSG00000104889, ENSG00000112306, ENSG00000132591, ENSG00000173545, ENSG00000080824, ENSG00000117395, ENSG00000130726, ENSG00000161960, ENSG00000183751, ENSG00000141994, ENSG00000148303, ENSG00000129347, ENSG00000161847, ENSG00000129351, ENSG00000163902, ENSG00000174243, ENSG00000179134, ENSG00000178209, ENSG00000155506, ENSG00000090060, ENSG00000113460, ENSG00000196924, ENSG00000143368, ENSG00000168488, ENSG00000007376, ENSG00000123136, ENSG00000089597, ENSG00000122566, ENSG00000143761	388	1479	18967	3.3052076145068763	2.459117443978795E-24	2.463299616502568E-24	2.3838383385508723E-24
GOTERM_CC_DIRECT	GO:0005634~nucleus	205	51.24999999999999	1.747612262386159E-22	ENSG00000178971, ENSG00000114867, ENSG00000111596, ENSG00000175467, ENSG00000135446, ENSG00000142541, ENSG00000086758, ENSG00000099381, ENSG00000100106, ENSG00000100345, ENSG00000167968, ENSG00000144048, ENSG00000125520, ENSG00000179950, ENSG00000075624, ENSG00000178188, ENSG00000115268, ENSG00000088247, ENSG00000167615, ENSG00000183765, ENSG00000121058, ENSG00000105221, ENSG00000076924, ENSG00000103197, ENSG00000160789, ENSG00000177302, ENSG00000091640, ENSG00000108528, ENSG00000172531, ENSG00000132153, ENSG00000213923, ENSG00000133247, ENSG00000178999, ENSG00000165684, ENSG00000134690, ENSG00000168036, ENSG00000110719, ENSG00000108883, ENSG00000068078, ENSG00000142507, ENSG00000155827, ENSG00000171453, ENSG00000152795, ENSG00000115289, ENSG00000011304, ENSG00000133250, ENSG00000131508, ENSG00000093009, ENSG00000160447, ENSG00000147403, ENSG00000167513, ENSG00000103495, ENSG00000126012, ENSG00000076984, ENSG00000198026, ENSG00000196642, ENSG00000104904, ENSG00000104907, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000142186, ENSG00000149499, ENSG00000167526, ENSG00000087087, ENSG00000148843, ENSG00000087191, ENSG00000149480, ENSG00000130766, ENSG00000214706, ENSG00000132382, ENSG00000159840, ENSG00000154832, ENSG00000115464, ENSG00000133112, ENSG00000168066, ENSG00000143947, ENSG00000167770, ENSG00000258366, ENSG00000141644, ENSG00000167658, ENSG00000272333, ENSG00000105576, ENSG00000014164, ENSG00000108604, ENSG00000132475, ENSG00000132356, ENSG00000088038, ENSG00000130726, ENSG00000101412, ENSG00000169727, ENSG00000167548, ENSG00000105325, ENSG00000105204, ENSG00000177595, ENSG00000137497, ENSG00000143368, ENSG00000079432, ENSG00000187147, ENSG00000079313, ENSG00000141867, ENSG00000122566, ENSG00000103266, ENSG00000071894, ENSG00000071655, ENSG00000148362, ENSG00000113810, ENSG00000176953, ENSG00000169180, ENSG00000062822, ENSG00000133316, ENSG00000126581, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000198858, ENSG00000198728, ENSG00000063244, ENSG00000184575, ENSG00000105063, ENSG00000184216, ENSG00000011243, ENSG00000071994, ENSG00000145191, ENSG00000130811, ENSG00000134057, ENSG00000265681, ENSG00000008710, ENSG00000160392, ENSG00000140988, ENSG00000187634, ENSG00000100764, ENSG00000187514, ENSG00000125107, ENSG00000184009, ENSG00000160957, ENSG00000092201, ENSG00000149782, ENSG00000130702, ENSG00000010292, ENSG00000111640, ENSG00000137337, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000164880, ENSG00000101843, ENSG00000089157, ENSG00000109685, ENSG00000100075, ENSG00000160602, ENSG00000197451, ENSG00000040275, ENSG00000166949, ENSG00000156508, ENSG00000173801, ENSG00000099341, ENSG00000163682, ENSG00000136450, ENSG00000084774, ENSG00000105393, ENSG00000013573, ENSG00000123384, ENSG00000155090, ENSG00000075702, ENSG00000140829, ENSG00000104973, ENSG00000104852, ENSG00000196230, ENSG00000116717, ENSG00000072310, ENSG00000006744, ENSG00000188290, ENSG00000132781, ENSG00000265972, ENSG00000141002, ENSG00000100813, ENSG00000182196, ENSG00000166165, ENSG00000182199, ENSG00000182872, ENSG00000107443, ENSG00000160741, ENSG00000104884, ENSG00000174231, ENSG00000117713, ENSG00000170312, ENSG00000132510, ENSG00000080824, ENSG00000073050, ENSG00000146247, ENSG00000148303, ENSG00000104881, ENSG00000161847, ENSG00000129351, ENSG00000113108, ENSG00000174243, ENSG00000179134, ENSG00000135476, ENSG00000090060, ENSG00000196924, ENSG00000168005, ENSG00000185122, ENSG00000123136, ENSG00000166508	386	6100	20647	1.79760256519154	9.297297235894365E-20	4.648648617947183E-20	4.4039829012131204E-20
GOTERM_CC_DIRECT	GO:0005829~cytosol	192	48.0	2.8958414429302406E-21	ENSG00000178971, ENSG00000130158, ENSG00000114867, ENSG00000104823, ENSG00000113810, ENSG00000104946, ENSG00000111596, ENSG00000175467, ENSG00000172354, ENSG00000004777, ENSG00000135446, ENSG00000138434, ENSG00000204394, ENSG00000169180, ENSG00000062822, ENSG00000167962, ENSG00000142541, ENSG00000147955, ENSG00000086758, ENSG00000100345, ENSG00000140400, ENSG00000126581, ENSG00000075624, ENSG00000130204, ENSG00000141959, ENSG00000178188, ENSG00000130725, ENSG00000115268, ENSG00000114573, ENSG00000140474, ENSG00000164068, ENSG00000088247, ENSG00000102119, ENSG00000184575, ENSG00000105063, ENSG00000184216, ENSG00000105186, ENSG00000121058, ENSG00000105221, ENSG00000103197, ENSG00000105655, ENSG00000136878, ENSG00000160789, ENSG00000145191, ENSG00000130811, ENSG00000131748, ENSG00000172531, ENSG00000134057, ENSG00000132153, ENSG00000151239, ENSG00000213923, ENSG00000265681, ENSG00000178999, ENSG00000134690, ENSG00000168036, ENSG00000166012, ENSG00000140988, ENSG00000100764, ENSG00000187514, ENSG00000172809, ENSG00000125107, ENSG00000184009, ENSG00000108883, ENSG00000100241, ENSG00000178127, ENSG00000149782, ENSG00000142507, ENSG00000198355, ENSG00000010292, ENSG00000111640, ENSG00000174444, ENSG00000171453, ENSG00000198755, ENSG00000114993, ENSG00000152795, ENSG00000178921, ENSG00000204922, ENSG00000101843, ENSG00000131508, ENSG00000102898, ENSG00000125753, ENSG00000089157, ENSG00000146830, ENSG00000160447, ENSG00000147403, ENSG00000167513, ENSG00000161016, ENSG00000126012, ENSG00000177169, ENSG00000040275, ENSG00000166949, ENSG00000130119, ENSG00000076984, ENSG00000127580, ENSG00000114942, ENSG00000156508, ENSG00000196642, ENSG00000104904, ENSG00000173801, ENSG00000115234, ENSG00000099341, ENSG00000163682, ENSG00000038358, ENSG00000100429, ENSG00000142186, ENSG00000084774, ENSG00000149930, ENSG00000108262, ENSG00000105393, ENSG00000167526, ENSG00000185359, ENSG00000141499, ENSG00000103496, ENSG00000148843, ENSG00000087191, ENSG00000179115, ENSG00000075702, ENSG00000196230, ENSG00000130766, ENSG00000072310, ENSG00000006744, ENSG00000111665, ENSG00000159840, ENSG00000154832, ENSG00000265972, ENSG00000115464, ENSG00000133112, ENSG00000156976, ENSG00000173898, ENSG00000130640, ENSG00000141002, ENSG00000204469, ENSG00000169710, ENSG00000100813, ENSG00000167770, ENSG00000143947, ENSG00000166165, ENSG00000182199, ENSG00000125733, ENSG00000162244, ENSG00000167658, ENSG00000141367, ENSG00000092010, ENSG00000104884, ENSG00000213722, ENSG00000214655, ENSG00000104889, ENSG00000112306, ENSG00000132591, ENSG00000005882, ENSG00000170037, ENSG00000170312, ENSG00000173545, ENSG00000132356, ENSG00000080824, ENSG00000166333, ENSG00000007264, ENSG00000143258, ENSG00000116584, ENSG00000117394, ENSG00000187796, ENSG00000088038, ENSG00000161202, ENSG00000161960, ENSG00000169727, ENSG00000148303, ENSG00000104881, ENSG00000161203, ENSG00000173272, ENSG00000105325, ENSG00000163902, ENSG00000113108, ENSG00000132768, ENSG00000179134, ENSG00000177595, ENSG00000178209, ENSG00000135476, ENSG00000155506, ENSG00000116337, ENSG00000137497, ENSG00000196924, ENSG00000168488, ENSG00000185122, ENSG00000141503, ENSG00000166508, ENSG00000141985, ENSG00000203879, ENSG00000143761, ENSG00000107862, ENSG00000103266, ENSG00000126247, ENSG00000089351	386	5627	20647	1.8251306846799893	1.540587647638888E-18	5.135292158796294E-19	4.865013624122805E-19
GOTERM_MF_DIRECT	GO:0005515~protein binding	339	84.75	3.2204828301605575E-21	ENSG00000178971, ENSG00000116809, ENSG00000100580, ENSG00000132613, ENSG00000114867, ENSG00000104823, ENSG00000111596, ENSG00000006712, ENSG00000104946, ENSG00000154889, ENSG00000175467, ENSG00000004777, ENSG00000135446, ENSG00000167962, ENSG00000086758, ENSG00000099381, ENSG00000115274, ENSG00000166197, ENSG00000100345, ENSG00000179950, ENSG00000182307, ENSG00000075624, ENSG00000130204, ENSG00000178188, ENSG00000065268, ENSG00000169592, ENSG00000115268, ENSG00000140474, ENSG00000088247, ENSG00000167615, ENSG00000183765, ENSG00000121058, ENSG00000105221, ENSG00000161996, ENSG00000076924, ENSG00000103197, ENSG00000136878, ENSG00000160789, ENSG00000177302, ENSG00000091640, ENSG00000215305, ENSG00000131748, ENSG00000108528, ENSG00000172531, ENSG00000151239, ENSG00000132153, ENSG00000213923, ENSG00000133247, ENSG00000178999, ENSG00000134690, ENSG00000168036, ENSG00000125503, ENSG00000110719, ENSG00000108883, ENSG00000105245, ENSG00000068078, ENSG00000065000, ENSG00000142507, ENSG00000198355, ENSG00000104835, ENSG00000155827, ENSG00000171453, ENSG00000114993, ENSG00000152795, ENSG00000115289, ENSG00000011304, ENSG00000133250, ENSG00000131508, ENSG00000102898, ENSG00000125753, ENSG00000093009, ENSG00000160447, ENSG00000147403, ENSG00000167513, ENSG00000103495, ENSG00000126012, ENSG00000105677, ENSG00000076984, ENSG00000127580, ENSG00000124193, ENSG00000198026, ENSG00000114942, ENSG00000196642, ENSG00000104904, ENSG00000104907, ENSG00000205560, ENSG00000115234, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000168056, ENSG00000149930, ENSG00000160695, ENSG00000090006, ENSG00000140688, ENSG00000108262, ENSG00000149499, ENSG00000167526, ENSG00000087087, ENSG00000109113, ENSG00000103496, ENSG00000148843, ENSG00000087191, ENSG00000149480, ENSG00000130766, ENSG00000214706, ENSG00000108819, ENSG00000111665, ENSG00000159840, ENSG00000154832, ENSG00000115464, ENSG00000133112, ENSG00000130640, ENSG00000204469, ENSG00000169710, ENSG00000168066, ENSG00000143947, ENSG00000168067, ENSG00000167770, ENSG00000125734, ENSG00000125733, ENSG00000258366, ENSG00000141644, ENSG00000167658, ENSG00000272333, ENSG00000105576, ENSG00000213722, ENSG00000108604, ENSG00000112306, ENSG00000132591, ENSG00000203485, ENSG00000170037, ENSG00000132475, ENSG00000173545, ENSG00000132356, ENSG00000166333, ENSG00000143258, ENSG00000116584, ENSG00000088038, ENSG00000161202, ENSG00000130726, ENSG00000149357, ENSG00000101412, ENSG00000168758, ENSG00000169727, ENSG00000167548, ENSG00000161204, ENSG00000141994, ENSG00000161203, ENSG00000105325, ENSG00000105204, ENSG00000177595, ENSG00000178209, ENSG00000116337, ENSG00000137497, ENSG00000116213, ENSG00000143368, ENSG00000079432, ENSG00000187147, ENSG00000141867, ENSG00000141503, ENSG00000089597, ENSG00000122566, ENSG00000141985, ENSG00000124067, ENSG00000107862, ENSG00000103266, ENSG00000126247, ENSG00000089351, ENSG00000071894, ENSG00000130158, ENSG00000071655, ENSG00000148362, ENSG00000113810, ENSG00000172354, ENSG00000138434, ENSG00000204394, ENSG00000196449, ENSG00000169180, ENSG00000062822, ENSG00000147955, ENSG00000215041, ENSG00000103335, ENSG00000140521, ENSG00000133316, ENSG00000126581, ENSG00000104897, ENSG00000141959, ENSG00000147140, ENSG00000130725, ENSG00000114573, ENSG00000198728, ENSG00000102119, ENSG00000063244, ENSG00000184575, ENSG00000105063, ENSG00000152291, ENSG00000184216, ENSG00000105186, ENSG00000011243, ENSG00000071994, ENSG00000145191, ENSG00000105655, ENSG00000176058, ENSG00000184916, ENSG00000160949, ENSG00000130811, ENSG00000134057, ENSG00000064545, ENSG00000115216, ENSG00000173465, ENSG00000265681, ENSG00000008710, ENSG00000005206, ENSG00000166012, ENSG00000160392, ENSG00000140988, ENSG00000187634, ENSG00000100764, ENSG00000187514, ENSG00000172809, ENSG00000125107, ENSG00000140983, ENSG00000161249, ENSG00000184009, ENSG00000160957, ENSG00000198198, ENSG00000178127, ENSG00000092201, ENSG00000149782, ENSG00000155660, ENSG00000156990, ENSG00000010292, ENSG00000111640, ENSG00000196576, ENSG00000137337, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000176619, ENSG00000101843, ENSG00000188157, ENSG00000161013, ENSG00000089157, ENSG00000146830, ENSG00000109685, ENSG00000161016, ENSG00000177169, ENSG00000160602, ENSG00000197451, ENSG00000040275, ENSG00000166949, ENSG00000130119, ENSG00000156508, ENSG00000173801, ENSG00000099341, ENSG00000163682, ENSG00000136450, ENSG00000185475, ENSG00000105393, ENSG00000013573, ENSG00000143793, ENSG00000123384, ENSG00000185359, ENSG00000141499, ENSG00000155090, ENSG00000179115, ENSG00000075702, ENSG00000140829, ENSG00000104973, ENSG00000104852, ENSG00000104853, ENSG00000196230, ENSG00000116717, ENSG00000072310, ENSG00000188290, ENSG00000104859, ENSG00000132781, ENSG00000265972, ENSG00000156976, ENSG00000137312, ENSG00000141002, ENSG00000100813, ENSG00000182196, ENSG00000166165, ENSG00000182199, ENSG00000182872, ENSG00000141367, ENSG00000160741, ENSG00000092010, ENSG00000104884, ENSG00000113119, ENSG00000174231, ENSG00000137409, ENSG00000117713, ENSG00000005882, ENSG00000196700, ENSG00000170312, ENSG00000132510, ENSG00000080824, ENSG00000073050, ENSG00000007264, ENSG00000117395, ENSG00000187796, ENSG00000117394, ENSG00000161960, ENSG00000183751, ENSG00000146247, ENSG00000180900, ENSG00000148303, ENSG00000104881, ENSG00000173272, ENSG00000161847, ENSG00000129351, ENSG00000163902, ENSG00000113108, ENSG00000174243, ENSG00000132768, ENSG00000179134, ENSG00000135476, ENSG00000155506, ENSG00000244038, ENSG00000090060, ENSG00000113460, ENSG00000196924, ENSG00000168488, ENSG00000007376, ENSG00000168005, ENSG00000178719, ENSG00000185122, ENSG00000185246, ENSG00000123136, ENSG00000166508, ENSG00000203879, ENSG00000067182, ENSG00000142798, ENSG00000143761, ENSG00000214087, ENSG00000147687	388	12657	18967	1.309289957311426	1.893643904134408E-18	9.484321934822842E-19	9.17837606595759E-19
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	18	4.5	1.329273382888928E-12	ENSG00000112306, ENSG00000156508, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000115268, ENSG00000167962, ENSG00000142541, ENSG00000163682, ENSG00000143947, ENSG00000140988, ENSG00000172809, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	386	93	20647	10.352833026909575	7.071716545681284E-10	1.767933599242274E-10	1.6748844624400492E-10
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	33	8.25	4.212508216333318E-11	ENSG00000172354, ENSG00000151239, ENSG00000173801, ENSG00000166333, ENSG00000116584, ENSG00000142541, ENSG00000163682, ENSG00000168036, ENSG00000100106, ENSG00000100345, ENSG00000140988, ENSG00000172809, ENSG00000108262, ENSG00000123384, ENSG00000184009, ENSG00000148303, ENSG00000068078, ENSG00000075624, ENSG00000178209, ENSG00000137337, ENSG00000174444, ENSG00000198755, ENSG00000159840, ENSG00000115268, ENSG00000137312, ENSG00000196924, ENSG00000164889, ENSG00000125753, ENSG00000089157, ENSG00000142798, ENSG00000143761, ENSG00000141367, ENSG00000161016	386	434	20647	4.0671844034287625	2.2410542976913916E-8	4.482108742178651E-9	4.2462082820639845E-9
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	16	4.0	2.0714969204118104E-10	ENSG00000112306, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000115268, ENSG00000142541, ENSG00000163682, ENSG00000143947, ENSG00000140988, ENSG00000172809, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	376	91	19453	9.096563011456627	4.478576415278823E-7	4.476504845009922E-7	4.453718378885392E-7
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	165	41.25	3.619667560604574E-10	ENSG00000071655, ENSG00000114867, ENSG00000148362, ENSG00000006712, ENSG00000104946, ENSG00000111596, ENSG00000175467, ENSG00000172354, ENSG00000004777, ENSG00000135446, ENSG00000196449, ENSG00000176953, ENSG00000169180, ENSG00000142541, ENSG00000086758, ENSG00000166197, ENSG00000100106, ENSG00000100345, ENSG00000215041, ENSG00000167968, ENSG00000125520, ENSG00000126581, ENSG00000075624, ENSG00000141959, ENSG00000115268, ENSG00000173457, ENSG00000140474, ENSG00000164068, ENSG00000088247, ENSG00000102119, ENSG00000184575, ENSG00000184216, ENSG00000011243, ENSG00000183765, ENSG00000161996, ENSG00000071994, ENSG00000103197, ENSG00000105655, ENSG00000136878, ENSG00000145191, ENSG00000160949, ENSG00000130811, ENSG00000215305, ENSG00000131748, ENSG00000172531, ENSG00000134057, ENSG00000115216, ENSG00000132153, ENSG00000151239, ENSG00000213923, ENSG00000265681, ENSG00000177303, ENSG00000008710, ENSG00000131584, ENSG00000168036, ENSG00000140988, ENSG00000100764, ENSG00000172809, ENSG00000125503, ENSG00000184009, ENSG00000100241, ENSG00000105245, ENSG00000160957, ENSG00000142507, ENSG00000198355, ENSG00000010292, ENSG00000111640, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000152795, ENSG00000178921, ENSG00000101843, ENSG00000125753, ENSG00000089157, ENSG00000093009, ENSG00000109685, ENSG00000164403, ENSG00000161016, ENSG00000126012, ENSG00000177169, ENSG00000160602, ENSG00000197451, ENSG00000166949, ENSG00000076984, ENSG00000114942, ENSG00000156508, ENSG00000196642, ENSG00000104904, ENSG00000173801, ENSG00000115234, ENSG00000163682, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000142186, ENSG00000136450, ENSG00000084774, ENSG00000149930, ENSG00000149499, ENSG00000105393, ENSG00000013573, ENSG00000167526, ENSG00000087087, ENSG00000087191, ENSG00000179115, ENSG00000196230, ENSG00000130766, ENSG00000116717, ENSG00000072310, ENSG00000108819, ENSG00000132382, ENSG00000159840, ENSG00000265972, ENSG00000133112, ENSG00000169710, ENSG00000143947, ENSG00000168067, ENSG00000182199, ENSG00000125733, ENSG00000162244, ENSG00000167658, ENSG00000107443, ENSG00000160741, ENSG00000092010, ENSG00000105576, ENSG00000104884, ENSG00000112306, ENSG00000198720, ENSG00000170037, ENSG00000170312, ENSG00000132356, ENSG00000080824, ENSG00000007264, ENSG00000143258, ENSG00000116584, ENSG00000187796, ENSG00000088038, ENSG00000101412, ENSG00000161960, ENSG00000169727, ENSG00000148303, ENSG00000173272, ENSG00000161847, ENSG00000129351, ENSG00000113108, ENSG00000179134, ENSG00000177595, ENSG00000178209, ENSG00000135476, ENSG00000155506, ENSG00000090060, ENSG00000116213, ENSG00000196924, ENSG00000187147, ENSG00000185122, ENSG00000123136, ENSG00000141503, ENSG00000141985, ENSG00000203879, ENSG00000122566, ENSG00000143761, ENSG00000214087, ENSG00000103266, ENSG00000126247	386	5771	20647	1.5293346309895017	1.9256631367259303E-7	3.2094385704027226E-8	3.040520750907842E-8
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	40	10.0	1.0833186371214688E-9	ENSG00000116809, ENSG00000071655, ENSG00000105677, ENSG00000108604, ENSG00000158882, ENSG00000132475, ENSG00000004777, ENSG00000169180, ENSG00000080824, ENSG00000115234, ENSG00000116584, ENSG00000134690, ENSG00000168036, ENSG00000187796, ENSG00000084774, ENSG00000100345, ENSG00000130726, ENSG00000101412, ENSG00000140521, ENSG00000087087, ENSG00000149480, ENSG00000075624, ENSG00000196230, ENSG00000132768, ENSG00000149782, ENSG00000072310, ENSG00000111642, ENSG00000137497, ENSG00000198728, ENSG00000187147, ENSG00000131508, ENSG00000182872, ENSG00000184216, ENSG00000146830, ENSG00000203879, ENSG00000147403, ENSG00000167615, ENSG00000143761, ENSG00000105221, ENSG00000141367	386	697	20647	3.06970658856238	5.763253597690365E-7	8.233221642123163E-8	7.799894187274575E-8
